champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
35,Shaco,14,11,True,13,3,17,163609,13688,15,49,6630,3142
246,Qiyana,4,14,True,14,4,14,143402,13406,15,157,6630,3142
85,Kennen,4,12,True,6,3,10,129482,12123,16,218,1058,3152
555,Pyke,14,4,True,9,4,15,44479,12519,13,57,3026,3142
37,Sona,7,4,True,5,6,23,53110,11159,13,89,3853,3070
107,Rengar,4,14,False,5,10,0,79772,8084,13,118,3158,6692
201,Braum,3,4,False,0,10,9,21827,5918,10,33,3190,3857
120,Hecarim,6,11,False,3,11,6,123575,9117,13,37,3111,6632
81,Ezreal,4,7,False,6,11,2,80389,10677,12,146,3042,6632
58,Renekton,4,14,False,6,5,2,135616,11321,14,190,3082,3047
887,Gwen,12,6,True,9,5,8,136309,13511,16,173,3108,4629
119,Draven,4,1,True,9,1,9,115920,13031,14,139,6673,3036
412,Thresh,4,14,True,1,6,15,23622,8005,12,40,3857,2065
518,Neeko,12,4,True,10,2,12,96863,12218,14,128,3152,3165
203,Kindred,4,11,True,11,3,5,232767,14823,16,54,3031,3140
72,Skarner,11,4,False,1,6,7,121709,8122,13,64,8001,2031
99,Lux,4,3,False,6,6,7,42934,9627,12,38,1082,6655
147,Seraphine,4,12,False,2,9,8,83289,8236,13,124,3070,6617
85,Kennen,4,12,False,3,9,2,67995,7742,13,126,1055,0
777,Yone,14,4,False,5,10,4,115465,10010,14,169,6673,2055
98,Shen,4,14,True,5,10,23,27109,9884,14,37,3857,3158
26,Zilean,4,12,True,7,6,19,132667,12617,17,187,4629,3040
24,Jax,4,12,True,10,7,10,184398,15564,18,213,6632,3053
120,Hecarim,6,11,True,17,6,12,214793,17379,17,44,3047,6333
115,Ziggs,4,12,True,3,9,14,197977,12135,16,195,2055,3020
59,JarvanIV,4,11,False,16,11,14,176304,16602,16,31,3111,6630
126,Jayce,4,12,False,5,6,12,202670,14142,17,226,3042,6692
7,Leblanc,4,12,False,2,6,10,108572,10091,15,163,4629,6656
360,Samira,4,7,False,13,12,5,167921,15345,14,193,2055,3111
37,Sona,4,3,False,2,7,21,24442,8903,14,9,3158,3853
107,Rengar,4,12,True,16,10,6,220557,18807,18,198,3036,6692
887,Gwen,11,14,True,12,7,14,220708,15923,18,69,4633,3110
22,Ashe,4,7,True,6,6,13,204856,16052,17,210,3031,3006
246,Qiyana,4,14,True,11,15,5,131484,13228,17,143,6693,3142
99,Lux,4,3,True,3,5,23,80955,11770,17,53,3853,3135
240,Kled,14,12,False,3,10,15,165128,12558,17,214,6630,2055
64,LeeSin,4,14,False,15,7,9,196402,17356,18,210,6692,3071
67,Vayne,4,3,False,13,9,8,131404,15424,17,202,3046,2421
120,Hecarim,6,11,False,9,11,12,190600,13748,17,42,6632,3053
44,Taric,14,4,False,2,11,15,26354,8543,15,44,3860,2065
432,Bard,4,3,True,3,7,29,44616,9931,15,19,3190,3853
122,Darius,4,6,True,18,3,4,187190,16976,17,228,3211,3742
76,Nidalee,11,4,True,5,5,18,152535,11524,15,25,3102,2055
51,Caitlyn,7,4,True,10,6,15,191475,13870,16,180,6672,3072
91,Talon,4,14,True,15,1,5,195533,16749,18,223,3142,6695
8,Vladimir,6,14,False,5,6,3,169744,11659,15,209,3157,3089
164,Camille,14,12,False,3,13,5,75645,8562,13,129,3074,6632
236,Lucian,4,3,False,5,13,7,132512,11596,15,195,3031,3508
141,Kayn,4,11,False,7,11,5,127546,10379,14,66,6630,3142
85,Kennen,14,4,False,2,9,6,42372,6874,12,53,3152,3158
39,Irelia,12,4,False,6,8,5,169373,13061,15,220,6630,3091
134,Syndra,12,4,False,4,4,3,135370,10157,14,201,6653,3040
141,Kayn,4,11,False,9,3,6,160723,11630,13,19,6630,3142
432,Bard,3,4,False,0,4,8,17312,5756,10,29,3860,3111
81,Ezreal,4,7,False,1,8,4,89247,7725,11,125,3158,3070
37,Sona,3,4,True,2,3,16,24264,8071,13,15,3853,3070
234,Viego,4,11,True,10,5,6,138823,12386,14,28,6632,3153
147,Seraphine,12,4,True,2,7,8,102673,8631,13,141,1056,3070
114,Fiora,12,4,True,5,5,8,124810,10788,15,186,6630,3047
110,Varus,7,4,True,8,1,10,165528,13097,14,215,3042,3814
31,Chogath,4,14,True,9,7,11,128378,17753,18,81,6662,3111
31,Chogath,4,14,True,6,12,9,209333,17707,18,109,6656,3100
31,Chogath,14,4,True,13,9,14,203977,19968,18,117,6662,3111
31,Chogath,4,6,True,15,9,9,191316,23600,18,124,6662,3111
31,Chogath,14,4,True,6,8,12,108720,15099,18,39,6662,3111
90,Malzahar,4,14,False,13,6,14,178240,20838,18,120,3040,6653
90,Malzahar,4,12,False,8,6,17,149252,16803,18,116,6653,3111
90,Malzahar,4,3,False,5,12,16,147724,15171,18,112,3040,4637
90,Malzahar,14,4,False,3,14,14,101390,13455,18,74,6653,3108
90,Malzahar,14,4,False,15,11,18,207364,21296,18,110,3040,3089
240,Kled,4,14,True,9,5,19,87156,14885,16,74,3047,3068
240,Kled,4,14,True,4,3,15,53457,10145,14,36,1055,3068
240,Kled,4,7,True,1,3,5,22905,7585,12,35,1054,2031
240,Kled,14,4,True,26,4,10,101236,20890,16,59,3748,6630
240,Kled,14,4,True,13,4,9,85208,15901,16,100,6333,3047
157,Yasuo,4,14,False,3,9,7,42569,9380,14,39,6673,3006
157,Yasuo,4,14,False,5,11,6,91094,10353,14,78,6673,3006
157,Yasuo,14,4,False,7,8,5,83051,11791,14,70,6673,3006
157,Yasuo,4,6,False,3,14,5,70573,9957,14,75,3031,6672
157,Yasuo,14,4,False,1,11,6,31973,7618,13,38,1055,1037
875,Sett,4,6,False,5,6,1,33639,8585,12,50,3047,3153
875,Sett,4,6,False,1,7,4,35986,6382,11,37,3047,2031
875,Sett,4,14,False,3,2,0,20231,6842,11,35,6630,1054
875,Sett,4,14,False,1,5,2,29899,6533,11,47,1054,1031
875,Sett,12,4,False,2,2,0,37932,7598,13,81,2031,6630
238,Zed,4,14,True,5,4,4,31247,8571,12,35,6693,3158
238,Zed,14,4,True,6,1,8,75584,10988,13,100,6692,6694
238,Zed,4,6,True,3,5,2,45296,7114,12,48,6691,2031
238,Zed,14,4,True,1,3,3,27649,5898,11,27,6692,3158
238,Zed,4,14,True,7,0,3,76296,11315,14,102,6695,6692
81,Ezreal,4,14,False,3,8,3,80119,10996,16,81,3042,3508
81,Ezreal,3,4,False,2,11,4,121172,11659,16,121,3042,3508
81,Ezreal,4,6,False,6,15,3,109063,15739,17,127,3042,3508
81,Ezreal,21,4,False,3,14,5,63801,10218,15,39,1055,6655
81,Ezreal,4,14,False,8,12,3,108428,14177,16,84,6694,3042
7,Leblanc,4,3,True,11,0,5,155718,18624,18,125,6655,3020
7,Leblanc,14,4,True,8,7,11,92642,13245,16,42,1056,6655
7,Leblanc,4,14,True,2,5,8,46068,9926,16,46,4629,6655
7,Leblanc,14,4,True,16,3,11,106017,17558,18,71,3040,4629
