champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
43,Karma,4,14,False,0,6,3,8842,3443,7,6,4642,3851
114,Fiora,4,12,False,0,2,0,19629,3924,9,71,1055,6029
112,Viktor,12,4,False,6,4,2,57877,7238,10,95,2033,3020
76,Nidalee,4,11,False,2,3,3,47092,5083,9,9,3145,2031
81,Ezreal,7,4,False,1,5,4,34145,5211,9,93,3158,3057
30,Karthus,3,11,True,5,5,3,97937,7310,11,25,2031,6653
555,Pyke,4,14,True,4,2,5,11696,5843,8,21,3855,6691
103,Ahri,14,4,True,4,1,2,76176,7976,12,147,2033,6655
202,Jhin,4,7,True,6,2,6,59214,8398,11,103,6671,2031
126,Jayce,4,12,True,1,0,3,79592,8214,12,152,1036,6692
81,Ezreal,3,4,False,5,8,3,99493,9493,12,171,3042,3158
104,Graves,14,4,False,3,8,4,128250,9617,14,166,6692,3111
37,Sona,7,4,False,2,5,6,19292,6737,11,28,2065,3853
114,Fiora,4,12,False,5,8,1,77216,9921,14,158,1037,6630
120,Hecarim,6,11,False,5,8,8,160754,10321,14,31,1037,1031
126,Jayce,4,12,True,9,6,9,133401,12270,16,188,3158,2055
22,Ashe,4,7,True,5,6,11,94441,10833,14,165,6673,3006
555,Pyke,14,4,True,6,1,15,28183,10403,13,30,3857,3179
101,Xerath,4,7,True,4,3,12,121759,10546,15,181,3157,1082
76,Nidalee,4,11,True,12,4,11,157974,12681,15,20,4636,4628
166,Akshan,4,14,True,22,3,7,206490,19268,17,217,3031,3072
45,Veigar,12,4,True,7,9,13,107674,11176,14,139,3157,3040
350,Yuumi,3,14,True,1,4,25,22548,9447,14,7,3853,3107
121,Khazix,11,4,True,6,8,2,137063,9783,14,9,3142,3158
122,Darius,6,4,True,12,5,5,154718,14405,16,181,3047,3078
141,Kayn,4,11,False,11,10,7,161259,12965,15,47,6693,3042
37,Sona,4,14,False,2,8,14,18109,7334,12,12,3011,3853
18,Tristana,3,4,False,4,12,7,124958,9867,13,177,6671,3046
62,MonkeyKing,4,14,False,4,8,3,74379,9020,14,170,6632,3044
157,Yasuo,4,14,False,7,10,6,172890,11845,15,171,1055,2420
236,Lucian,4,14,False,3,7,6,126394,10776,14,187,1055,6671
33,Rammus,6,11,False,4,6,11,122726,10588,14,38,3075,1057
126,Jayce,4,12,False,8,10,4,116524,11119,15,173,1055,6692
45,Veigar,7,4,False,1,9,4,26003,6768,13,23,6656,3916
115,Ziggs,4,12,False,5,5,4,170793,11604,14,222,6653,1058
22,Ashe,4,7,True,2,1,16,160824,12523,17,246,3091,0
131,Diana,4,14,True,11,5,7,186009,15490,17,211,1056,4630
114,Fiora,4,12,True,5,6,1,92692,10594,14,159,6333,6630
16,Soraka,3,4,True,4,5,18,20133,9010,13,12,3222,3853
141,Kayn,4,11,True,15,4,2,233058,14641,17,24,6693,3142
141,Kayn,4,11,True,18,6,9,261557,17608,18,43,6630,6695
26,Zilean,4,12,True,11,5,15,205461,16939,18,253,6655,4629
