champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
5,XinZhao,4,11,True,10,4,7,155157,12992,16,21,6630,2420
887,Gwen,6,12,True,5,9,5,166333,13024,17,187,3108,3067
236,Lucian,12,4,True,11,5,9,287369,17802,18,300,6671,6694
81,Ezreal,7,4,True,5,5,11,207888,14562,17,249,3158,3082
143,Zyra,14,4,True,3,7,7,41376,8961,14,25,3853,6653
14,Sion,4,12,False,5,9,8,179768,12725,16,220,3076,3181
103,Ahri,14,4,False,5,8,6,139105,11788,16,198,3157,6656
121,Khazix,4,11,False,13,6,0,237454,17278,17,66,3074,3142
267,Nami,4,14,False,5,5,12,26377,9214,14,29,3853,4005
145,Kaisa,4,3,False,2,6,11,136762,11307,15,205,6671,6676
17,Teemo,4,12,True,4,2,4,57358,7122,11,104,1056,6655
555,Pyke,14,4,True,9,3,7,20567,8962,9,29,3142,6693
517,Sylas,12,4,True,5,1,6,65475,8212,11,138,6656,1082
145,Kaisa,3,4,True,6,2,3,60845,8324,10,123,6671,3046
20,Nunu,4,11,True,6,0,9,95702,8012,11,12,3047,2031
11,MasterYi,14,11,False,2,4,0,56930,4936,8,27,6672,1042
115,Ziggs,4,12,False,1,6,2,32953,4670,7,75,1056,3070
117,Lulu,4,14,False,2,6,2,5040,3911,7,3,3851,2065
236,Lucian,12,4,False,2,9,1,33791,4667,9,65,6670,3155
103,Ahri,4,14,False,1,5,1,43437,4745,10,105,1056,2003
92,Riven,4,12,True,1,7,3,104639,8678,14,176,3071,6029
81,Ezreal,4,3,True,4,1,9,156458,12820,14,226,3042,3158
37,Sona,14,4,True,4,0,18,32155,10009,15,24,3222,3853
64,LeeSin,11,4,True,5,6,6,172110,10507,14,18,6630,2055
517,Sylas,4,14,True,9,3,5,165185,14148,17,231,4629,3157
41,Gangplank,4,12,False,4,1,7,140759,12297,15,200,3133,6632
121,Khazix,4,11,False,1,5,8,176977,9286,14,24,2055,1036
432,Bard,4,14,False,1,7,10,15779,6428,11,32,2031,3860
99,Lux,4,14,False,7,4,3,126297,10930,15,219,1056,3020
8,Vladimir,14,6,False,4,6,3,95012,9253,14,174,1058,1082
62,MonkeyKing,4,12,True,3,2,2,69518,9033,14,120,1054,3123
141,Kayn,11,4,True,4,3,4,139553,8837,13,22,6630,2031
42,Corki,12,4,True,15,4,5,124958,14739,15,145,3042,3508
143,Zyra,4,14,True,2,4,13,48501,8569,12,26,2420,3853
18,Tristana,7,4,True,7,4,10,115759,11407,14,169,6672,3046
350,Yuumi,3,14,False,2,7,3,7405,5623,11,4,3853,6617
523,Aphelios,7,4,False,3,8,2,85188,7969,11,139,1055,6671
203,Kindred,11,4,False,7,5,4,135308,9960,14,40,3046,6671
126,Jayce,4,12,False,4,6,2,108509,10677,14,192,6692,3042
147,Seraphine,4,12,False,0,5,6,84319,7289,13,159,6655,3158
82,Mordekaiser,12,4,True,13,4,8,138797,14396,16,181,3115,1052
166,Akshan,4,14,True,13,5,3,127795,13949,14,149,1055,3091
201,Braum,4,14,True,1,5,22,21575,7816,14,25,0,3190
29,Twitch,4,7,True,10,4,5,116033,12342,15,172,1055,6671
5,XinZhao,4,11,True,5,4,16,184225,11751,16,25,6630,2031
1,Annie,14,4,False,5,8,5,67988,10030,13,140,1056,1052
223,TahmKench,4,14,False,3,5,8,45640,7215,11,48,3047,6662
11,MasterYi,11,4,False,5,11,6,162409,10631,13,36,6672,3086
81,Ezreal,7,4,False,7,8,5,112227,11470,13,173,1055,6632
106,Volibear,12,4,False,2,10,4,90645,8238,13,128,1054,3067
526,Rell,4,14,False,1,7,5,11496,4285,9,20,3859,2055
25,Morgana,12,4,False,3,6,3,56397,6303,11,98,6653,2424
145,Kaisa,4,1,False,3,7,4,62814,6937,11,125,1055,6672
107,Rengar,4,11,False,4,6,1,101573,8278,11,20,3508,3158
150,Gnar,12,4,False,0,10,3,49725,5189,10,84,1055,3044
240,Kled,12,4,True,11,2,8,76562,10735,13,118,6630,1054
84,Akali,4,14,True,12,2,1,77332,9644,13,142,1056,3152
48,Trundle,4,14,True,2,1,13,20409,6126,11,38,3067,2055
22,Ashe,4,3,True,4,4,11,74540,8892,12,150,1055,6673
121,Khazix,4,11,True,7,2,6,130622,9466,13,17,6693,1036
84,Akali,4,14,True,5,7,10,43307,10402,14,53,3853,3152
77,Udyr,11,4,True,7,9,10,181745,13902,17,44,6630,0
236,Lucian,4,7,True,6,7,8,188874,13451,16,201,3006,6671
112,Viktor,4,12,True,16,5,9,203904,17615,18,211,3089,3020
98,Shen,12,14,True,6,5,13,200756,15679,18,243,8001,3068
48,Trundle,14,3,False,7,8,12,42148,11024,14,51,3857,2055
161,Velkoz,4,7,False,1,6,16,146775,10512,16,171,3158,6653
9,Fiddlesticks,11,4,False,5,8,12,153677,11882,15,56,3157,3152
99,Lux,4,3,False,10,8,3,153532,14633,17,239,4628,3135
114,Fiora,4,12,False,10,10,3,171182,13921,16,203,6333,6630
64,LeeSin,11,4,True,13,8,15,247057,16673,18,42,6035,6630
81,Ezreal,4,7,True,11,9,13,200362,15352,17,190,3042,6632
40,Janna,4,14,True,1,8,20,31814,10069,15,41,3222,3853
420,Illaoi,4,12,True,6,9,7,172689,14317,18,210,6632,3211
8,Vladimir,14,4,True,10,8,4,174581,15173,16,188,3089,3152
245,Ekko,4,11,False,8,6,17,242279,14021,16,48,3152,3100
