champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
61,Orianna,4,12,True,6,4,3,66667,7932,12,121,2033,6655
81,Ezreal,4,7,True,3,1,4,79202,8369,10,131,3042,2031
245,Ekko,4,11,True,8,2,3,127926,9290,12,13,3020,3152
98,Shen,14,12,True,6,0,5,75158,9102,13,152,1054,3068
99,Lux,4,14,True,2,2,6,16827,6069,9,18,2065,3851
122,Darius,6,4,False,0,9,0,31280,3688,8,59,1001,1018
37,Sona,7,4,False,0,5,3,21151,5279,8,71,3851,6617
555,Pyke,4,14,False,4,3,3,21541,6687,9,40,6691,3158
64,LeeSin,11,4,False,2,4,2,100898,6528,11,19,2031,6630
246,Qiyana,4,14,False,3,4,2,58911,6514,11,113,6693,2055
58,Renekton,12,4,False,5,9,7,73597,8803,12,107,6609,3047
13,Ryze,12,4,False,0,4,4,127222,7980,13,180,2033,6656
497,Rakan,4,14,False,1,10,11,16477,5585,10,26,2055,3076
18,Tristana,7,4,False,10,3,5,114986,10775,13,172,3006,1018
64,LeeSin,11,4,False,5,7,8,88146,7883,11,17,2055,6630
11,MasterYi,14,11,True,16,4,2,186962,14422,15,56,6672,3124
114,Fiora,12,4,True,11,5,6,158360,14501,15,181,6333,3074
115,Ziggs,4,12,True,1,4,6,83044,7440,11,133,1056,2031
350,Yuumi,7,3,True,0,2,15,8639,6881,12,4,3853,3011
84,Akali,12,4,True,5,6,10,80546,9214,13,125,1054,4633
777,Yone,3,4,True,8,2,4,164529,13129,17,170,6673,3031
11,MasterYi,14,11,True,12,7,6,255130,17218,18,105,6672,3124
39,Irelia,4,12,True,12,11,5,242009,16548,18,265,6673,3153
115,Ziggs,4,12,True,3,6,7,155675,12338,15,202,3020,2420
497,Rakan,4,14,True,0,4,12,18585,8270,14,42,2065,3860
50,Swain,12,4,False,10,6,5,188416,13675,16,229,4637,6653
236,Lucian,4,3,False,2,8,4,133075,10488,14,208,1038,6671
24,Jax,4,12,False,7,7,5,148264,13075,16,207,6632,1028
555,Pyke,4,14,False,1,7,11,28072,8386,13,37,3857,3117
64,LeeSin,4,11,False,10,7,8,170655,13390,15,50,0,3071
238,Zed,4,11,False,5,6,3,196340,12105,16,74,6692,2031
57,Maokai,4,14,False,3,9,8,34986,7815,12,53,3742,3047
517,Sylas,4,12,False,10,6,2,171276,15387,17,236,3089,3157
81,Ezreal,3,4,False,0,6,8,127735,10123,14,219,6632,3042
58,Renekton,4,12,False,0,9,8,118473,9074,14,167,1055,3053
236,Lucian,4,7,True,13,5,8,174058,15476,16,214,6671,0
412,Thresh,4,14,True,2,3,19,14985,8334,13,29,3190,3857
54,Malphite,4,12,True,9,3,8,191954,13885,17,241,3068,3047
64,LeeSin,4,11,True,10,3,10,193044,13488,16,30,3047,3053
13,Ryze,4,12,True,2,4,10,190261,12171,16,215,3040,6656
62,MonkeyKing,4,12,False,2,1,0,40602,5318,10,112,6630,2031
5,XinZhao,4,11,False,0,4,2,58857,4188,8,4,6029,2031
13,Ryze,4,12,False,0,4,2,58270,4497,10,98,3070,3020
43,Karma,4,14,False,0,4,0,7097,3216,7,13,1052,3851
110,Varus,4,7,False,0,6,0,24067,3918,8,85,3134,3006
16,Soraka,4,7,True,3,0,12,14906,6505,9,9,2055,3916
523,Aphelios,1,4,True,8,0,5,63845,8268,9,130,6673,3035
104,Graves,14,4,True,4,0,1,75199,7185,11,140,2033,6692
20,Nunu,11,4,True,3,0,8,83224,6456,10,5,6662,1082
85,Kennen,4,12,True,1,2,1,56789,6134,10,124,1055,3020
412,Thresh,4,14,False,0,8,11,14116,6290,11,37,3857,3190
14,Sion,11,4,False,5,8,4,152216,10172,14,41,6693,2055
122,Darius,6,4,False,4,5,3,136464,10810,15,209,6631,3211
110,Varus,7,4,False,3,5,0,163389,11457,15,263,1055,6673
30,Karthus,4,3,False,6,13,6,139290,10912,14,165,1056,6653
350,Yuumi,3,7,True,3,2,26,13068,9135,14,8,6617,3853
38,Kassadin,4,12,True,7,5,14,116546,12487,15,166,3040,4633
51,Caitlyn,1,4,True,6,2,9,201373,12812,16,217,2031,3046
245,Ekko,4,11,True,21,5,12,214788,16001,15,22,3100,3157
164,Camille,4,12,True,2,4,8,144582,11335,16,204,6632,3044
89,Leona,4,14,True,2,7,29,30124,10351,16,38,3024,3860
21,MissFortune,4,7,True,8,8,20,191515,15674,17,189,6676,6695
39,Irelia,4,12,True,8,9,11,237376,15457,18,248,6673,2421
2,Olaf,11,4,True,18,7,14,221775,17972,18,60,6630,3026
99,Lux,4,3,True,17,3,16,225216,17736,18,266,3157,6655
84,Akali,4,14,False,13,7,5,187679,16538,18,233,3165,3157
25,Morgana,4,14,False,1,12,14,41645,9196,15,27,3853,3157
145,Kaisa,4,1,False,13,13,11,234875,17666,17,251,6672,3026
48,Trundle,4,11,False,5,13,12,128515,12871,16,52,0,8001
24,Jax,4,12,False,2,8,8,191367,14555,18,258,6632,3153
43,Karma,4,14,True,4,8,29,63996,12226,18,36,3047,2065
126,Jayce,4,12,True,13,8,21,293110,19906,18,253,6692,6695
103,Ahri,14,4,True,20,7,16,184720,18335,18,188,3089,6656
110,Varus,1,4,True,7,7,19,285761,18203,18,283,6691,2421
234,Viego,11,4,True,12,10,19,232254,18106,18,47,3047,6632
81,Ezreal,7,4,False,8,5,17,298945,18070,18,275,6632,3042
166,Akshan,4,14,False,17,10,8,188204,19178,18,181,3036,6676
89,Leona,4,14,False,3,16,16,34898,10004,16,47,8001,3190
64,LeeSin,4,11,False,4,13,13,163410,12261,17,41,3076,6630
39,Irelia,12,4,False,8,12,13,320034,17961,18,322,3047,3026
13,Ryze,4,12,True,5,5,5,233637,14246,16,218,6656,3089
89,Leona,14,4,True,0,5,13,20746,7980,14,35,3860,3067
145,Kaisa,4,7,True,6,5,7,159054,13968,15,216,6672,3033
64,LeeSin,4,11,True,8,3,9,154402,12832,15,35,6630,2055
236,Lucian,4,12,True,8,3,5,187652,13995,17,238,1038,6671
412,Thresh,14,4,False,1,5,12,24940,6791,13,26,2055,3190
77,Udyr,4,11,False,0,5,5,120335,7972,14,18,3068,0
777,Yone,4,14,False,3,5,2,227062,12130,17,247,6673,2055
150,Gnar,4,12,False,2,7,7,125770,10256,15,179,6632,3053
523,Aphelios,4,1,False,15,5,1,220301,17641,16,279,6673,2421
48,Trundle,11,4,False,5,6,10,88038,8367,12,37,8001,3047
202,Jhin,7,4,False,5,7,8,69204,8896,11,124,1055,6671
246,Qiyana,14,4,False,14,6,2,103187,12188,12,123,6693,6695
497,Rakan,14,4,False,0,5,14,20655,5765,10,33,3860,3011
85,Kennen,4,12,False,2,6,8,69415,7510,12,146,3152,1058
59,JarvanIV,4,12,True,3,4,7,79224,9099,13,134,6630,2421
117,Lulu,7,4,True,0,7,11,13853,6439,11,20,2065,0
38,Kassadin,4,12,True,15,5,8,138870,15889,15,169,3041,6655
22,Ashe,3,4,True,3,5,9,108606,9537,13,159,3124,0
64,LeeSin,11,4,True,9,5,10,147155,12644,14,29,3133,6630
