champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
523,Aphelios,1,4,False,12,7,5,107154,11755,12,147,1055,6672
777,Yone,14,4,False,1,3,1,88347,7336,13,159,1055,2031
234,Viego,4,11,False,3,6,8,92056,8177,11,5,3111,6632
887,Gwen,14,12,False,4,5,4,84515,9301,13,178,1043,4633
111,Nautilus,14,4,False,2,8,11,19276,6180,10,33,3860,2055
32,Amumu,4,14,True,1,6,18,21804,7116,12,30,3047,3190
58,Renekton,12,4,True,3,6,6,87194,8592,13,147,6630,1028
222,Jinx,4,7,True,15,4,9,139060,14298,13,195,6672,0
4,TwistedFate,4,12,True,4,0,12,124979,11481,15,185,3158,2424
421,RekSai,4,11,True,6,6,7,107197,8461,13,6,6693,3047
5,XinZhao,11,4,True,7,2,8,129080,10126,13,20,2421,0
110,Varus,4,7,True,8,3,7,116397,10841,13,154,6691,3814
142,Zoe,14,4,True,5,1,8,103180,9950,14,164,2033,6655
37,Sona,3,4,True,0,7,16,17111,7015,11,17,3070,2065
126,Jayce,4,12,True,11,1,5,179979,14355,16,210,1055,3142
81,Ezreal,4,1,False,4,6,4,128801,9392,12,163,1036,1036
235,Senna,4,7,False,1,10,6,28090,6626,11,14,3864,6632
34,Anivia,4,12,False,4,4,2,107584,9991,13,191,6656,3157
114,Fiora,4,12,False,1,7,1,82251,7031,13,152,3070,3801
30,Karthus,11,4,False,4,4,2,129418,9296,12,24,6653,3157
27,Singed,4,14,False,3,5,1,61863,5855,11,114,1082,2033
67,Vayne,4,3,False,1,4,4,54333,6049,10,122,1055,2031
80,Pantheon,4,14,False,7,5,1,63736,7685,10,100,2033,3134
876,Lillia,11,4,False,0,8,2,79189,5157,10,17,6653,3020
37,Sona,14,4,False,1,6,6,13887,4828,8,8,3853,1001
117,Lulu,4,3,True,3,3,14,16550,6605,10,7,3853,2065
91,Talon,4,14,True,6,0,7,74526,8737,12,141,3142,3134
39,Irelia,4,12,True,6,2,2,92838,8771,12,176,1055,3153
76,Nidalee,11,4,True,9,2,6,121396,10057,12,11,3157,2031
22,Ashe,4,7,True,4,5,6,65115,8287,11,126,3006,6673
245,Ekko,4,11,True,19,7,5,126087,13114,13,21,0,3152
37,Sona,3,4,True,3,3,25,22608,8303,12,11,3853,3070
24,Jax,12,4,True,4,4,9,54381,7639,12,76,2033,6632
246,Qiyana,14,4,True,6,5,10,73311,8656,13,112,6693,1036
119,Draven,4,7,True,7,4,9,108584,11423,12,170,3047,6673
85,Kennen,4,12,False,3,7,2,56928,7385,12,129,3020,3152
91,Talon,4,14,False,7,7,7,93027,11283,12,151,6692,6695
18,Tristana,4,3,False,2,8,5,58822,6718,10,107,6672,3006
80,Pantheon,4,14,False,3,10,7,27231,5873,10,28,2055,6692
35,Shaco,14,11,False,8,7,4,74479,8102,11,21,6695,6691
24,Jax,4,12,True,11,2,10,151058,14709,16,185,6632,3091
141,Kayn,4,11,True,10,4,14,190082,13563,16,37,3142,6630
10,Kayle,12,4,True,12,4,4,197894,15305,17,240,3157,0
67,Vayne,7,4,True,9,6,11,82339,12034,15,143,3031,3006
412,Thresh,4,14,True,0,4,20,21095,7424,13,35,3857,3117
112,Viktor,4,12,False,2,9,5,113085,8834,14,170,3040,1052
58,Renekton,4,12,False,2,11,1,91599,8070,13,166,1055,6630
245,Ekko,11,4,False,3,7,5,134116,9215,14,63,2031,3152
432,Bard,14,4,False,1,7,12,16902,7172,12,20,3853,3190
236,Lucian,3,4,False,12,8,2,146541,15025,15,187,6671,3031
18,Tristana,3,4,False,6,4,3,52545,7938,10,108,1055,6672
555,Pyke,4,14,False,2,5,5,10062,4382,8,20,3855,3134
7,Leblanc,4,14,False,1,6,1,25223,3733,9,62,2033,3802
126,Jayce,4,12,False,0,11,0,52540,4014,9,92,1053,1036
2,Olaf,4,11,False,4,7,2,63267,6338,10,20,2031,6630
164,Camille,4,12,True,15,1,3,76752,9549,13,118,1054,3053
48,Trundle,14,4,True,2,3,2,15322,4280,8,26,3855,3158
236,Lucian,4,12,True,6,3,6,69688,7788,11,126,3508,2031
145,Kaisa,4,7,True,5,2,6,57198,7721,9,124,1037,6671
76,Nidalee,11,4,True,5,4,12,79882,7583,10,6,4636,3158
76,Nidalee,4,11,True,8,0,2,122301,9148,12,17,3057,2031
498,Xayah,1,4,True,1,3,2,78258,7191,11,143,1055,6671
16,Soraka,4,7,True,3,2,16,10439,6903,10,5,0,3853
126,Jayce,4,12,True,8,1,6,104690,10736,13,164,1055,3142
157,Yasuo,14,4,True,4,3,4,79467,8720,11,131,1055,3006
22,Ashe,3,4,False,0,4,5,55618,5098,10,101,3123,3006
104,Graves,11,4,False,6,8,1,82436,7210,10,24,6671,3047
13,Ryze,12,4,False,0,5,1,41772,4479,9,90,3070,6656
79,Gragas,4,14,False,2,2,4,22841,4741,8,34,3859,3158
85,Kennen,4,12,False,1,5,1,45242,5613,11,122,3152,2031
106,Volibear,12,4,False,1,7,6,92450,7958,14,117,6662,3076
35,Shaco,14,11,False,10,8,10,128780,11527,14,30,3158,4629
89,Leona,14,4,False,2,8,11,19811,7006,12,29,3860,3190
236,Lucian,4,7,False,8,10,5,124588,12590,13,176,3508,6671
99,Lux,12,4,False,5,9,4,115501,10924,14,199,3020,6655
498,Xayah,4,1,True,3,3,11,100081,9213,12,130,3508,2031
91,Talon,4,14,True,15,3,9,137666,14335,16,138,6630,3142
114,Fiora,12,4,True,12,8,6,181628,15979,17,210,1055,3111
245,Ekko,4,11,True,11,4,7,184214,12089,15,41,3152,0
497,Rakan,4,14,True,1,9,16,25383,7297,12,33,2055,3860
78,Poppy,11,4,False,2,5,7,83167,6363,11,22,3068,1029
555,Pyke,14,4,False,3,10,4,15130,6447,9,32,3134,3134
126,Jayce,4,12,False,3,5,4,83026,8578,13,154,3111,1055
115,Ziggs,4,12,False,2,6,8,62099,7298,11,109,1056,3157
55,Katarina,14,12,False,7,9,1,65917,8586,12,116,6632,3153
236,Lucian,4,3,True,5,4,6,94728,9354,11,127,3508,6671
107,Rengar,11,4,True,9,2,7,132372,11470,13,25,3508,3158
157,Yasuo,14,4,True,16,4,3,129680,12748,13,139,6673,3006
85,Kennen,4,12,True,3,5,3,64207,7599,12,134,3108,3152
117,Lulu,4,7,True,2,2,20,12995,8644,12,10,3853,2065
114,Fiora,4,12,True,10,3,9,121876,13004,15,177,1055,6630
245,Ekko,11,4,True,8,5,8,148314,10012,13,16,3020,2421
145,Kaisa,4,1,True,11,5,8,109251,12224,13,130,6672,6676
4,TwistedFate,14,4,True,8,4,6,87209,10229,13,151,3094,6656
111,Nautilus,4,14,True,2,8,15,16391,6890,10,26,3190,3859
13,Ryze,4,12,False,10,8,5,132634,12021,14,155,3111,3157
41,Gangplank,4,12,False,0,7,4,107226,8013,13,155,2033,3142
412,Thresh,4,14,False,2,7,16,18051,6907,11,34,3857,2031
110,Varus,3,4,False,9,9,7,79780,10329,12,142,3133,3158
35,Shaco,14,11,False,4,8,10,88758,8150,12,10,6653,3108
