champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
58,Renekton,12,4,True,5,1,7,79203,7585,12,119,1055,1055
81,Ezreal,4,7,True,3,5,3,46468,6134,9,98,3004,3158
117,Lulu,3,4,True,0,2,12,9026,4505,8,9,2065,3851
28,Evelynn,11,4,True,11,1,3,57247,7557,10,8,3041,3152
42,Corki,4,12,True,0,2,1,70885,5564,11,139,1054,1053
142,Zoe,4,14,False,2,2,2,53207,6207,11,113,2033,6655
147,Seraphine,14,4,False,2,4,3,19814,4692,7,6,6617,2055
2,Olaf,6,11,False,3,3,0,85236,6247,10,13,0,6630
236,Lucian,7,4,False,2,3,4,58606,6175,10,126,3006,1036
114,Fiora,14,12,False,1,7,0,45848,4565,9,89,6029,2031
