champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
78,Poppy,4,3,False,2,10,9,16038,10016,16,11,3065,3047
84,Akali,4,32,False,18,12,13,43370,14168,17,7,3157,1026
236,Lucian,4,7,False,8,11,8,62772,12476,16,86,3508,3111
19,Warwick,4,32,False,7,11,9,31261,11526,17,29,3748,3047
45,Veigar,4,32,False,5,11,11,74154,11524,16,68,6655,3020
21,MissFortune,3,4,True,8,5,29,86446,13227,18,68,6672,3006
112,Viktor,4,13,True,10,9,25,64973,12883,16,62,6655,3020
246,Qiyana,32,4,True,10,11,22,41914,12210,16,19,6692,3111
29,Twitch,4,21,True,9,10,22,48314,12503,17,45,6672,3006
101,Xerath,4,21,True,18,5,23,59258,14763,18,38,3112,3040
104,Graves,32,4,True,18,10,24,118312,17309,18,93,6692,3508
64,LeeSin,32,4,True,11,10,36,78105,15503,18,42,6692,3053
161,Velkoz,21,4,True,8,9,27,54851,14035,18,34,3040,3112
222,Jinx,4,7,True,10,15,28,63872,14526,18,44,1037,3046
236,Lucian,7,4,True,16,8,22,106324,17220,18,69,3036,6673
7,Leblanc,4,14,False,13,14,9,58327,14921,18,38,6655,3157
32,Amumu,4,32,False,1,11,21,28906,11947,18,16,3145,3075
126,Jayce,4,32,False,14,12,24,93036,16721,18,58,3142,6694
234,Viego,32,4,False,17,13,10,77656,15521,18,49,3153,3184
127,Lissandra,4,32,False,7,14,23,86441,14147,18,59,6655,3020
222,Jinx,7,4,False,8,8,23,45720,14391,18,48,6672,3031
67,Vayne,7,4,False,10,7,22,74959,14993,18,62,6673,3006
63,Brand,4,3,False,9,11,27,100968,14526,18,48,3020,2421
166,Akshan,4,21,False,14,11,15,88814,16326,18,82,3006,6676
105,Fizz,4,32,False,15,10,17,44790,14509,18,27,3157,4636
21,MissFortune,32,4,True,9,13,12,46534,14629,18,21,6671,3006
777,Yone,4,32,True,7,7,16,109480,15866,18,105,3006,6673
157,Yasuo,4,14,True,5,10,8,63276,13093,18,41,3006,2031
164,Camille,4,32,True,13,14,16,78414,15962,18,43,2420,3074
13,Ryze,32,4,True,10,12,8,113001,15279,18,96,6656,3158
92,Riven,32,4,True,17,10,22,97156,17671,18,73,6333,6630
89,Leona,32,4,True,9,12,30,26689,14282,18,10,3143,3190
126,Jayce,4,3,True,15,10,23,77095,16504,18,62,3042,6692
54,Malphite,4,32,True,11,13,25,56699,14823,18,32,4636,3158
17,Teemo,32,4,True,10,8,30,93987,16575,18,83,6653,4637
143,Zyra,32,4,False,4,11,21,48041,13317,18,29,6653,3020
157,Yasuo,4,14,False,9,12,26,126794,16124,18,116,3031,3072
38,Kassadin,4,21,False,9,11,17,36340,13905,18,18,3020,6656
51,Caitlyn,4,32,False,14,16,22,64479,15694,18,50,3139,6672
268,Azir,32,4,False,16,12,20,134374,17432,18,97,6655,3089
18,Tristana,3,4,False,9,12,13,69778,12526,16,73,6672,3006
84,Akali,32,4,False,7,13,11,34007,11602,16,19,4636,3157
8,Vladimir,6,4,False,9,12,17,54375,12733,17,34,3157,3020
166,Akshan,4,6,False,6,16,15,39018,11247,16,27,6673,3091
45,Veigar,7,4,False,4,10,20,42828,10542,16,33,3112,3070
875,Sett,32,4,True,6,11,25,28346,11524,17,12,6630,3065
142,Zoe,4,14,True,13,4,25,79311,13377,17,54,6655,3020
80,Pantheon,4,21,True,8,6,14,28853,11202,17,13,6676,6630
121,Khazix,4,32,True,26,8,13,77011,15116,17,47,3177,6695
5,XinZhao,32,4,True,10,7,22,55635,12386,17,54,6630,3047
887,Gwen,12,6,True,5,14,12,140986,11905,17,113,3115,4633
39,Irelia,4,12,True,4,5,15,251291,16979,18,299,6630,3091
234,Viego,4,11,True,15,7,13,347591,21996,18,106,3143,3153
