champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
238,Zed,4,14,True,14,2,9,162469,13998,17,173,3142,6693
39,Irelia,12,4,True,12,9,6,217893,16697,17,223,3091,3153
145,Kaisa,4,3,True,14,6,11,173131,14757,16,191,3046,6672
412,Thresh,4,14,True,1,6,25,21082,9004,14,40,3860,3190
60,Elise,4,11,True,7,3,18,121859,11536,16,26,1028,3157
13,Ryze,12,4,False,3,10,4,167128,10949,15,180,6656,3157
121,Khazix,11,3,False,6,10,8,156506,12521,15,38,6695,2055
164,Camille,14,12,False,6,7,9,140348,13405,16,217,2055,3133
526,Rell,14,4,False,4,9,12,28625,8799,14,42,3860,3190
18,Tristana,4,7,False,7,12,6,158634,13260,15,205,3031,6672
35,Shaco,14,11,True,15,4,8,184887,15443,17,25,3142,6691
18,Tristana,7,4,True,5,5,10,239834,15382,18,217,6672,2420
39,Irelia,4,12,True,12,3,5,213969,17391,18,278,6630,2420
201,Braum,14,4,True,2,6,20,29444,10230,15,38,2055,3190
517,Sylas,4,12,True,7,9,8,119997,13342,17,166,1058,6656
267,Nami,14,4,False,4,7,15,24683,9447,14,20,3853,2055
126,Jayce,4,12,False,6,7,10,233735,15170,18,287,6609,6692
104,Graves,11,4,False,0,9,7,162897,9566,15,62,3047,6676
236,Lucian,4,3,False,9,7,9,179832,14813,16,229,6671,3508
55,Katarina,14,12,False,8,11,9,169450,13535,16,212,3135,3153
236,Lucian,4,3,True,8,5,12,139260,12275,15,182,6671,3031
201,Braum,4,14,True,4,3,16,25422,8883,13,32,3857,3190
5,XinZhao,11,4,True,8,2,15,154601,12780,15,33,6630,3053
875,Sett,4,12,True,5,4,6,134492,13334,16,215,6630,2055
127,Lissandra,4,12,True,9,4,13,133555,11756,15,175,2033,6656
79,Gragas,11,4,False,4,9,4,115690,9139,12,18,4636,3157
24,Jax,12,4,False,3,6,3,128649,10504,14,184,2033,2421
147,Seraphine,7,4,False,2,4,9,40565,7164,12,21,2065,3158
157,Yasuo,4,14,False,4,7,5,140261,10986,14,174,1055,3006
67,Vayne,3,4,False,5,8,1,101087,10079,13,187,3006,3124
202,Jhin,4,3,False,5,1,6,98569,8978,12,173,6676,6671
9,Fiddlesticks,11,4,False,4,7,3,113087,8059,11,30,4633,3157
126,Jayce,4,12,False,4,7,1,105108,8460,12,128,6692,2031
37,Sona,14,4,False,3,2,11,17942,6629,11,18,2421,3853
7,Leblanc,4,12,False,1,2,3,62309,6981,13,144,6655,3020
43,Karma,14,4,True,2,5,3,23186,6665,10,20,0,3853
8,Vladimir,4,14,True,4,1,3,145355,10811,15,197,3152,1082
164,Camille,14,12,True,10,4,3,129037,13785,15,185,0,3053
5,XinZhao,11,4,True,3,2,8,125327,9613,13,12,6630,3111
18,Tristana,4,3,True,0,5,0,118066,8760,13,158,2031,6671
59,JarvanIV,11,4,True,5,7,12,156233,12338,16,28,6630,3193
