champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
79,Gragas,4,14,True,2,7,13,34992,8518,13,22,3853,6656
27,Singed,4,14,True,7,1,4,140380,11987,16,199,3157,2033
157,Yasuo,4,3,True,10,3,9,166106,14200,15,198,6333,3006
81,Ezreal,4,3,True,3,3,5,139589,10922,15,184,3110,6632
33,Rammus,11,6,True,6,3,5,165366,12610,16,51,6664,3111
91,Talon,14,4,False,4,4,1,143908,10572,15,193,6692,3042
64,LeeSin,11,4,False,6,7,7,148599,10237,14,26,3111,2055
62,MonkeyKing,4,12,False,1,6,2,126188,10335,15,215,6632,1028
115,Ziggs,12,4,False,2,8,8,127593,10410,13,179,2031,6653
555,Pyke,4,14,False,3,4,9,23285,8550,12,49,0,3857
498,Xayah,4,1,True,14,12,14,205337,17579,16,235,3006,3031
234,Viego,11,4,True,6,9,10,159359,11746,15,35,3047,3071
133,Quinn,4,14,True,13,5,6,209724,16465,18,211,6672,1037
497,Rakan,4,14,True,1,8,30,28489,9903,15,49,3860,3190
54,Malphite,4,14,True,3,2,20,127992,11875,17,198,3047,3157
33,Rammus,11,6,False,3,7,14,191351,12494,16,66,6664,3047
89,Leona,4,14,False,2,8,12,26625,8077,12,53,3860,3190
145,Kaisa,4,7,False,6,10,7,170020,13280,14,222,3031,6672
62,MonkeyKing,4,12,False,7,6,10,130011,12875,16,207,6630,3142
238,Zed,4,14,False,18,6,6,160127,16277,16,186,6695,3071
234,Viego,4,11,True,9,3,11,176942,12880,16,49,1031,3153
21,MissFortune,4,7,True,9,2,17,179616,14632,16,231,3142,6609
62,MonkeyKing,4,12,True,9,5,6,109548,12186,16,179,6632,3133
38,Kassadin,4,12,True,3,7,11,161095,12228,16,208,1055,6656
412,Thresh,4,14,True,3,3,24,20470,9130,13,31,3857,3190
13,Ryze,4,12,False,4,5,6,192144,12105,16,230,3040,6656
497,Rakan,4,14,False,0,7,8,24266,6636,12,48,3114,3860
64,LeeSin,4,11,False,8,8,8,149295,12470,15,10,3142,2055
58,Renekton,4,12,False,6,5,1,155197,12891,16,239,3053,2055
236,Lucian,4,3,False,2,8,5,123208,9849,14,215,3508,6672
33,Rammus,11,6,False,5,5,11,170571,11772,16,33,6664,3075
164,Camille,14,12,False,10,6,3,136047,13194,16,207,3078,3748
69,Cassiopeia,3,4,False,2,7,9,100482,9795,14,168,3157,2031
147,Seraphine,4,7,False,0,8,15,28038,7213,12,24,3853,2055
67,Vayne,3,4,False,10,10,1,109224,12119,13,173,3072,6673
62,MonkeyKing,4,14,True,1,8,8,76673,8723,14,137,6632,1028
523,Aphelios,4,1,True,14,4,9,180281,15946,15,178,6673,3006
117,Lulu,4,14,True,6,4,18,22173,10484,13,17,3853,2065
163,Taliyah,4,11,True,12,4,13,191372,14605,17,52,6653,3135
166,Akshan,4,14,True,3,7,5,120670,10886,15,186,1055,1037
136,AurelionSol,12,4,True,7,4,11,113359,11445,15,178,3165,6656
203,Kindred,11,4,True,18,5,5,180193,14464,15,44,3814,3031
42,Corki,4,12,True,8,7,15,93950,10870,14,113,3042,3508
523,Aphelios,4,3,True,12,5,9,134864,14638,14,166,3046,6673
53,Blitzcrank,4,14,True,6,3,13,27776,9240,13,29,3860,2065
18,Tristana,4,3,False,4,10,2,61653,7493,12,115,3006,6672
62,MonkeyKing,4,12,False,6,9,5,91105,11360,14,160,6630,3142
28,Evelynn,4,11,False,4,13,7,59128,7597,11,5,1082,3152
555,Pyke,14,4,False,7,9,7,14107,9884,12,19,3855,3158
236,Lucian,12,4,False,3,10,5,109219,9542,14,200,3047,6671
62,MonkeyKing,4,12,True,6,3,3,91821,10469,13,154,6632,1036
22,Ashe,4,7,True,1,3,12,67362,8617,11,139,1055,6673
412,Thresh,4,14,True,5,3,9,14591,6801,9,31,3190,3857
35,Shaco,14,11,True,7,4,8,104217,9075,12,14,3158,4629
104,Graves,14,4,True,7,3,4,101936,9988,13,159,6692,6676
7,Leblanc,4,14,False,3,5,2,57854,6927,12,126,3020,2033
48,Trundle,4,3,False,0,7,12,12308,5075,9,29,3855,3190
126,Jayce,12,4,False,1,6,6,99663,7696,12,148,3004,6692
202,Jhin,4,1,False,9,3,3,92433,10388,11,134,3009,6671
245,Ekko,11,4,False,3,6,3,69361,6318,9,8,3117,3026
517,Sylas,12,4,True,14,3,3,103643,11524,14,157,6656,3158
110,Varus,4,7,True,12,1,9,121406,12054,13,196,3042,3142
234,Viego,4,11,True,4,3,10,105199,9014,12,18,6632,2031
48,Trundle,4,14,True,0,1,19,25516,7045,11,31,3109,3857
62,MonkeyKing,4,12,True,2,2,9,80928,8782,13,154,6632,3071
84,Akali,4,14,False,4,8,1,54034,7633,11,100,3191,2031
54,Malphite,4,12,False,0,5,4,71404,6668,12,140,3076,3047
117,Lulu,4,14,False,1,7,3,13148,5706,10,13,2065,3853
72,Skarner,11,4,False,4,4,3,111814,9187,13,43,8001,0
523,Aphelios,7,4,False,1,8,1,81530,6697,10,150,6673,1042
157,Yasuo,4,14,False,2,7,7,141906,10608,15,179,3031,3051
72,Skarner,11,4,False,6,5,9,143168,12122,14,35,8001,0
26,Zilean,4,3,False,4,5,15,33471,9924,15,39,3853,2065
887,Gwen,14,12,False,2,4,8,137465,10333,15,182,4633,3157
523,Aphelios,4,7,False,11,8,10,132341,14172,14,155,3026,6673
18,Tristana,4,3,True,9,6,6,222848,16277,16,226,2421,3139
131,Diana,11,4,True,5,7,9,181010,11017,16,24,3152,3135
34,Anivia,4,12,True,7,5,11,150907,12280,16,184,3157,4637
117,Lulu,14,4,True,3,4,16,13650,8778,14,12,3853,3158
62,MonkeyKing,12,14,True,5,3,10,124921,13771,16,216,2421,6632
267,Nami,4,7,False,2,7,40,35101,11843,15,30,3853,3107
78,Poppy,4,11,False,9,9,16,141546,12345,15,18,3075,3053
55,Katarina,12,14,False,19,10,9,146296,17429,16,144,3152,3157
62,MonkeyKing,4,12,False,5,7,8,131045,11427,16,179,2421,6632
360,Samira,4,3,False,15,11,13,166098,17215,16,185,6673,3026
523,Aphelios,7,4,True,3,11,17,143957,11866,16,168,6673,3006
5,XinZhao,11,4,True,2,10,15,142356,11219,16,30,3111,3075
10,Kayle,4,6,True,21,10,8,236741,21178,18,237,3089,3157
39,Irelia,12,4,True,7,8,22,216724,18079,18,265,3091,6630
555,Pyke,4,14,True,11,11,10,34336,14064,16,41,3857,6691
35,Shaco,14,11,True,15,4,6,154200,14020,16,38,3142,3508
38,Kassadin,14,4,True,10,4,8,140859,12847,16,156,1082,3110
555,Pyke,4,14,True,4,5,11,30200,10861,13,55,6691,3857
62,MonkeyKing,4,12,True,2,5,12,111610,10760,15,138,2421,3044
498,Xayah,3,4,True,7,6,9,194943,13783,16,232,6671,0
89,Leona,14,4,False,1,7,9,30196,6802,12,41,2055,3190
28,Evelynn,4,11,False,9,7,7,149470,12010,14,13,3020,1058
236,Lucian,4,12,False,2,10,0,132664,9596,14,202,2033,6692
150,Gnar,12,4,False,7,6,6,128732,12719,15,175,6632,3143
145,Kaisa,4,7,False,5,8,8,127056,11405,14,196,1055,6671
