champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
15,Sivir,7,4,True,9,8,24,145744,15915,18,120,6691,3042
429,Kalista,4,7,True,9,7,24,89218,15665,18,79,6673,3085
98,Shen,4,32,True,10,10,27,54236,15103,18,27,3748,6662
1,Annie,32,4,True,11,10,25,80401,15553,18,38,6655,3020
43,Karma,4,3,True,8,8,26,52659,14742,18,28,3040,6653
412,Thresh,4,32,False,4,6,28,27601,13380,18,29,2051,3107
28,Evelynn,4,14,False,9,11,13,52971,13364,18,14,4636,3020
236,Lucian,4,21,False,12,11,10,89615,15394,17,66,3184,3508
126,Jayce,4,6,False,15,6,21,199206,18586,18,146,6694,3142
234,Viego,4,32,False,3,13,19,32740,12522,17,20,6632,3153
4,TwistedFate,4,32,False,8,11,33,46631,15927,18,31,3042,3111
147,Seraphine,4,14,False,4,15,33,29619,13485,18,9,6655,3020
163,Taliyah,4,21,False,22,14,20,73800,17480,18,33,4637,3040
21,MissFortune,4,6,False,13,11,28,110244,17204,18,85,3184,6694
13,Ryze,4,21,False,16,9,25,166780,18154,18,132,6656,3040
245,Ekko,32,4,True,9,15,20,110926,15816,18,69,6655,3157
96,KogMaw,21,4,True,17,9,31,115354,18163,18,47,6653,3040
12,Alistar,32,4,True,2,17,32,16766,13880,18,4,3111,3001
62,MonkeyKing,32,4,True,17,12,14,125415,18907,18,97,6692,6676
79,Gragas,14,4,True,15,10,14,73463,17127,18,58,3100,6655
131,Diana,4,21,True,14,12,20,49572,13490,17,18,3112,3157
26,Zilean,4,3,True,3,6,34,45838,12109,18,40,3070,6653
45,Veigar,21,4,True,10,7,23,54756,12830,18,46,6656,3110
64,LeeSin,4,32,True,14,11,25,68019,13982,18,39,2051,6630
145,Kaisa,4,3,True,12,9,19,83905,14541,17,67,6671,6676
81,Ezreal,4,7,False,9,9,21,68956,13043,17,54,3508,3158
41,Gangplank,32,4,False,13,11,15,108834,13670,17,66,3508,3158
114,Fiora,32,4,False,10,11,14,43516,12508,17,42,3078,3053
22,Ashe,21,4,False,2,8,33,52655,10980,17,29,4005,3074
517,Sylas,4,32,False,11,14,17,50031,12115,16,19,3916,3157
203,Kindred,21,4,False,7,14,17,68296,12844,18,60,6673,3006
555,Pyke,4,32,False,16,12,26,35529,16885,18,13,6691,6609
4,TwistedFate,4,3,False,3,12,23,37533,10905,17,17,6655,3100
55,Katarina,4,14,False,10,11,20,70583,12787,18,44,4633,3020
126,Jayce,32,4,False,15,13,19,75074,14803,18,51,6694,3042
38,Kassadin,4,21,True,26,13,20,91111,16755,18,59,4630,3040
147,Seraphine,4,3,True,6,9,42,66448,13167,18,59,3040,6653
111,Nautilus,32,4,True,1,11,41,23695,11117,18,10,3190,3193
245,Ekko,4,32,True,14,8,26,68474,13946,17,46,3135,3115
24,Jax,4,32,True,15,13,22,61389,13873,18,45,6632,3153
84,Akali,4,14,True,6,2,3,84493,8133,13,126,1026,2031
412,Thresh,4,3,True,0,2,14,14630,6330,10,29,3009,3857
9,Fiddlesticks,4,11,True,5,2,4,148494,9333,13,24,3152,3041
875,Sett,4,14,True,1,0,1,93999,7591,13,122,1054,3047
29,Twitch,4,14,True,8,3,5,106415,10447,13,167,1082,3085
202,Jhin,4,7,False,6,3,2,92807,9569,11,159,6676,6671
150,Gnar,4,12,False,0,3,0,87932,7026,13,172,6632,1037
245,Ekko,4,11,False,1,7,5,112232,6781,11,18,3152,2031
104,Graves,4,14,False,2,3,2,113696,8857,13,183,6692,2033
117,Lulu,3,4,False,0,5,8,9010,5126,9,12,3851,2055
89,Leona,4,14,True,1,4,13,19922,7580,11,33,3047,3857
2,Olaf,11,4,True,7,3,7,133418,10495,13,29,1029,6630
223,TahmKench,12,14,True,3,4,9,59733,8665,14,111,1054,3075
517,Sylas,12,4,True,11,2,7,193480,14697,16,233,6656,1082
236,Lucian,4,7,True,8,4,8,162385,13329,14,209,6671,3508
126,Jayce,4,14,False,4,5,7,138344,10527,14,201,3123,6692
67,Vayne,4,1,False,4,5,6,108867,9747,13,155,3006,6673
887,Gwen,12,14,False,7,6,3,127031,11145,14,181,3157,3047
497,Rakan,4,3,False,0,7,13,14673,5401,10,29,2065,3859
234,Viego,4,11,False,2,7,9,107485,7602,13,21,6632,3091
29,Twitch,4,3,True,10,6,10,115991,12480,14,158,3089,3157
201,Braum,4,14,True,4,3,22,23491,9289,14,32,3109,3857
266,Aatrox,4,12,True,3,5,6,114779,10846,15,185,6694,6630
76,Nidalee,4,11,True,12,0,8,197549,13841,16,47,3020,3089
81,Ezreal,4,21,True,3,4,11,129630,10865,15,193,2031,3042
238,Zed,14,4,False,5,4,1,153549,12062,16,235,6693,3142
412,Thresh,4,14,False,0,7,10,17482,6001,12,24,3857,2055
236,Lucian,4,7,False,7,8,5,140299,11267,14,200,1037,1038
23,Tryndamere,4,6,False,3,6,3,133010,10580,15,206,3157,6672
131,Diana,4,11,False,3,7,7,167968,9739,14,19,3020,1058
7,Leblanc,4,12,False,0,3,2,39555,4867,10,121,3111,2033
58,Renekton,4,12,False,1,4,2,49998,5203,10,91,1054,6029
51,Caitlyn,7,4,False,2,1,2,60420,6382,11,148,6671,3006
111,Nautilus,14,4,False,0,6,2,14568,3456,7,23,3047,3067
59,JarvanIV,11,4,False,4,3,2,85378,6768,10,16,6630,2031
236,Lucian,4,7,True,4,1,3,62251,7534,10,129,1055,6672
412,Thresh,4,14,True,1,1,10,11982,4951,8,24,2031,3855
25,Morgana,12,4,True,0,2,6,48293,5654,11,119,3020,6656
64,LeeSin,4,11,True,8,2,4,74948,8132,10,8,2055,6630
887,Gwen,14,12,True,4,1,1,58291,6937,12,115,1055,3191
39,Irelia,4,14,True,4,3,3,126106,10289,14,201,1055,3153
154,Zac,4,11,True,7,3,10,148555,11194,15,32,3047,3075
523,Aphelios,4,7,True,6,7,3,136976,11646,14,180,1037,6673
412,Thresh,4,14,True,2,6,9,23392,7380,12,38,3190,2055
164,Camille,14,12,True,11,7,6,105972,13444,14,118,2421,3074
92,Riven,4,12,False,5,11,6,88525,9610,13,162,3071,6630
35,Shaco,14,11,False,5,6,13,143826,9736,14,33,3158,4629
81,Ezreal,3,4,False,7,5,6,124902,10855,13,191,3110,6632
238,Zed,4,14,False,7,5,3,117788,10995,14,166,2031,3158
201,Braum,4,14,False,2,3,18,27178,7498,12,34,3067,3857
115,Ziggs,4,12,True,2,6,12,116346,9472,14,166,3135,3916
777,Yone,14,4,True,9,8,4,164666,13033,15,174,1055,3006
48,Trundle,4,3,True,2,4,16,31217,8369,13,42,3047,3857
141,Kayn,11,4,True,4,4,17,184235,12833,15,53,3071,6630
240,Kled,14,4,True,12,5,7,110772,13879,14,148,3071,6630
145,Kaisa,3,4,False,5,3,7,149762,11923,14,211,2055,6672
53,Blitzcrank,4,14,False,1,6,16,24099,7190,12,31,3076,3190
19,Warwick,14,21,False,4,7,5,88336,8702,14,152,6632,2055
2,Olaf,4,11,False,14,4,6,234172,15269,16,35,3053,6630
131,Diana,12,4,False,3,9,5,96861,8812,14,138,3020,3152
