champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
518,Neeko,4,12,True,9,8,7,221952,17128,18,253,3020,4628
62,MonkeyKing,4,12,True,6,3,12,204797,17657,18,237,3026,3035
89,Leona,14,4,True,2,9,17,26652,10770,17,48,3067,3857
67,Vayne,7,4,True,11,5,12,314579,18584,18,262,3026,6672
5,XinZhao,11,4,True,12,6,12,237441,16866,18,43,1033,3143
145,Kaisa,1,4,False,13,7,8,305237,19951,18,322,3031,3033
432,Bard,4,3,False,1,8,20,33696,10046,15,25,2055,3190
35,Shaco,14,11,False,11,7,11,227340,15434,17,35,6653,4629
13,Ryze,4,12,False,1,9,9,277177,14305,18,244,3040,6656
234,Viego,4,12,False,5,10,7,214842,15863,17,234,1043,6609
134,Syndra,12,4,True,9,3,9,171423,14286,17,205,6655,2033
432,Bard,4,3,True,1,6,21,17904,8749,13,17,0,3190
131,Diana,4,11,True,8,4,10,239398,13737,17,22,1058,3157
126,Jayce,12,4,True,7,7,5,169618,13621,17,229,0,6692
81,Ezreal,7,4,True,10,6,10,159797,13986,15,183,6632,3042
64,LeeSin,4,11,False,4,8,13,98932,9819,14,18,2055,2420
164,Camille,14,4,False,2,8,9,23306,6960,11,38,3111,6632
13,Ryze,4,12,False,5,8,3,136461,9565,14,185,3040,6656
202,Jhin,7,4,False,5,6,9,130093,10354,14,203,6671,1037
86,Garen,4,12,False,10,5,8,146689,13886,16,226,3033,6631
43,Karma,12,4,False,0,4,1,56123,5603,11,127,3020,6655
523,Aphelios,4,7,False,1,3,0,83381,7416,11,168,2031,6673
62,MonkeyKing,12,14,False,2,5,0,34477,5470,11,76,1055,6632
201,Braum,4,3,False,0,5,1,13364,4054,8,26,1033,3857
5,XinZhao,11,4,False,1,5,1,84123,5688,9,15,2055,2031
412,Thresh,14,4,True,1,0,12,15075,5323,10,26,4642,3857
164,Camille,12,14,True,3,2,9,63317,7521,12,122,1055,3077
13,Ryze,4,12,True,11,1,7,137003,11389,13,171,3040,3020
202,Jhin,7,4,True,3,1,5,66816,7433,11,160,6671,1036
234,Viego,4,11,True,4,0,10,103743,8169,12,13,3047,2055
13,Ryze,4,12,True,2,2,9,173785,10789,15,219,3158,2033
126,Jayce,4,12,True,6,6,15,133114,10486,14,176,6692,3042
37,Sona,4,7,True,4,3,20,27541,8797,13,41,3853,3158
147,Seraphine,3,4,True,4,4,15,59090,8410,12,77,3158,3853
141,Kayn,4,11,True,17,0,10,186838,14829,15,65,3053,3074
7,Leblanc,4,12,False,3,4,0,85081,9085,14,166,2033,2055
58,Renekton,4,12,False,2,7,4,153420,10996,14,212,0,6630
64,LeeSin,4,11,False,4,8,1,113325,8018,12,9,2031,0
412,Thresh,4,14,False,1,7,4,20365,5662,9,24,3857,2065
523,Aphelios,7,4,False,5,7,2,115656,10895,13,182,6673,6676
254,Vi,11,4,False,1,9,5,93073,6921,11,31,3044,1028
51,Caitlyn,4,7,False,4,10,2,75781,7929,10,143,6671,1055
85,Kennen,4,12,False,1,9,1,59824,7076,12,143,3108,3152
201,Braum,4,3,False,1,7,6,14937,5237,8,29,3855,2055
13,Ryze,12,4,False,6,4,4,108738,9744,13,164,2033,6656
134,Syndra,4,12,True,9,2,11,101145,11132,13,168,3040,6655
5,XinZhao,4,11,True,7,2,12,123626,10125,13,16,3111,6630
12,Alistar,14,4,True,4,3,19,18733,7267,11,23,2055,3190
50,Swain,4,7,True,9,5,11,79335,9958,12,131,1056,6653
164,Camille,12,4,True,10,1,7,110225,12155,14,140,1037,3074
432,Bard,4,14,True,2,2,8,18577,7134,12,18,3853,3158
234,Viego,4,12,True,2,5,3,90467,9631,14,189,2055,3082
18,Tristana,4,7,True,4,0,3,146715,11339,14,198,3006,6673
154,Zac,11,4,True,2,1,12,119953,9127,14,26,6662,3065
13,Ryze,4,12,True,8,3,4,170629,12273,15,201,6655,3157
777,Yone,4,12,False,6,2,2,152914,11643,14,181,6673,2031
76,Nidalee,4,11,False,3,3,5,112306,8857,13,25,3157,1052
104,Graves,4,12,False,2,6,4,125077,8787,13,170,6692,3036
40,Janna,4,7,False,0,4,4,10814,5278,9,15,3853,6617
115,Ziggs,12,4,False,0,3,3,105765,7687,13,200,3020,3145
30,Karthus,3,4,False,4,12,10,134734,10018,14,155,1056,3157
2,Olaf,11,4,False,4,8,7,131398,9979,13,21,6630,1036
126,Jayce,4,12,False,7,7,2,124590,10901,14,177,2055,3042
89,Leona,4,14,False,4,8,9,22165,7607,12,33,8001,3190
39,Irelia,12,4,False,3,9,1,140304,10241,14,230,1037,3091
61,Orianna,4,12,True,8,4,13,113153,11801,16,179,6653,3157
9,Fiddlesticks,4,11,True,10,3,15,154711,13374,15,22,3157,1082
48,Trundle,4,14,True,1,4,24,30536,8539,14,37,3158,3190
164,Camille,14,12,True,12,6,5,117966,13407,15,161,2420,1054
119,Draven,4,3,True,13,5,6,169850,15483,15,190,3036,6673
81,Ezreal,3,4,False,2,8,2,93026,8560,13,181,1055,1036
164,Camille,4,12,False,1,10,7,78472,9027,14,131,1036,6632
234,Viego,4,11,False,7,6,10,119608,11058,14,37,6632,3053
7,Leblanc,4,12,False,10,3,5,130892,13552,15,193,3135,1058
555,Pyke,4,14,False,4,6,7,19563,8390,11,37,3179,3857
89,Leona,4,14,True,3,5,20,25138,9315,13,32,3857,8001
145,Kaisa,4,7,True,17,1,3,201204,18534,16,215,6671,3026
13,Ryze,4,12,True,2,8,9,152374,10761,15,200,3040,6656
85,Kennen,4,12,True,7,7,3,137199,12138,15,167,3157,3152
104,Graves,11,4,True,4,3,18,218427,11761,15,37,6692,1018
104,Graves,4,3,False,4,5,7,105305,9980,13,177,2031,6673
154,Zac,11,4,False,3,2,7,91719,7645,11,26,8001,2055
497,Rakan,14,4,False,1,4,11,17591,5945,11,40,3158,3860
85,Kennen,4,12,False,2,6,7,56941,6874,12,126,1029,3152
246,Qiyana,4,14,False,6,4,1,106616,9315,14,183,2031,6693
150,Gnar,4,12,True,5,2,3,121553,10294,15,182,1054,2055
13,Ryze,4,12,True,5,1,6,157080,11608,15,191,3040,6656
121,Khazix,11,4,True,2,2,6,162459,9127,14,22,3179,2055
429,Kalista,4,7,True,9,8,5,108025,11629,13,175,6673,3006
25,Morgana,14,4,True,0,3,18,23826,7538,12,14,3158,6617
7,Leblanc,12,4,True,9,4,11,102198,11674,15,138,1082,0
497,Rakan,14,4,True,4,4,23,25400,8741,12,30,3860,2065
157,Yasuo,12,4,True,2,4,11,187094,12099,16,208,1055,3047
5,XinZhao,4,11,True,12,0,12,168923,13846,15,32,1038,3047
50,Swain,4,7,True,5,3,14,113971,12003,14,190,4637,6653
202,Jhin,4,3,False,3,8,2,86136,8717,11,155,2055,6671
13,Ryze,4,12,False,6,8,4,140867,11080,14,185,3040,3916
58,Renekton,14,4,False,3,3,4,134366,10603,15,222,6692,3044
64,LeeSin,4,11,False,3,8,7,90516,8197,12,20,6630,2031
3,Galio,14,4,False,0,5,7,30622,5500,10,43,3860,3190
24,Jax,4,12,True,9,1,1,119369,11939,14,174,3153,2033
112,Viktor,4,12,True,4,4,5,105816,10111,14,176,1056,0
432,Bard,14,4,True,3,2,7,18838,6774,11,43,0,3190
113,Sejuani,11,4,True,0,1,10,86107,7718,13,15,3047,2031
39,Irelia,4,12,True,2,6,8,103947,9275,13,172,3111,3153
7,Leblanc,4,14,False,3,4,5,75953,7440,13,152,3020,2033
412,Thresh,14,4,False,2,2,9,16486,5863,10,28,2065,3158
164,Camille,12,4,False,1,4,4,54838,6153,12,124,6632,1055
5,XinZhao,4,11,False,4,6,5,128273,8047,12,21,3111,6630
429,Kalista,4,7,False,4,2,3,83504,9212,12,197,3047,6673
67,Vayne,12,4,False,6,9,7,175521,13356,17,215,1038,2421
26,Zilean,14,4,False,2,7,12,35019,8232,15,35,2055,3853
76,Nidalee,4,11,False,14,7,7,194392,14555,16,47,4636,3089
202,Jhin,4,3,False,3,8,11,150296,11415,15,203,3094,6671
34,Anivia,14,4,False,4,7,10,195043,13569,17,239,6656,3157
39,Irelia,4,12,True,2,9,8,211863,13412,17,250,3091,6631
163,Taliyah,4,11,True,3,6,9,244385,13352,18,63,3102,6655
523,Aphelios,4,7,True,17,3,4,304200,20091,18,298,3026,6676
111,Nautilus,14,4,True,3,5,23,29867,10796,16,39,0,3190
62,MonkeyKing,4,12,True,13,7,7,170235,17748,18,201,3111,6630
112,Viktor,4,12,True,4,5,16,95182,9889,13,142,3157,3070
54,Malphite,4,12,True,7,0,17,120620,12590,15,173,3110,6662
203,Kindred,11,4,True,17,7,13,165260,13822,14,27,0,3006
432,Bard,4,14,True,6,6,32,21328,9648,13,11,2055,3190
81,Ezreal,4,1,True,12,3,11,167945,13696,14,175,2055,3158
875,Sett,12,4,False,11,7,1,93920,12565,13,160,3133,6630
234,Viego,11,4,False,3,12,4,82743,8218,11,37,3111,6632
39,Irelia,4,12,False,0,10,6,118239,8983,13,183,6632,2033
12,Alistar,14,4,False,1,11,12,16645,6315,11,23,2055,3190
147,Seraphine,4,12,False,6,6,8,119902,10400,13,156,6653,3040
58,Renekton,12,4,False,4,6,3,113427,10215,14,187,6630,3053
875,Sett,12,4,False,2,7,3,73058,8002,12,152,3047,6630
115,Ziggs,4,12,False,4,7,3,84684,8439,12,158,1056,1058
234,Viego,4,11,False,2,4,3,127276,7921,12,21,6632,3053
497,Rakan,14,4,False,1,9,9,13698,5715,10,30,0,2065
110,Varus,4,7,True,5,5,10,105664,9530,13,164,3042,2055
43,Karma,4,14,True,1,3,14,21647,6754,12,23,3853,2055
84,Akali,4,12,True,11,2,9,110425,11232,15,156,1011,3041
39,Irelia,4,12,True,8,1,9,135454,12128,15,191,6630,2033
131,Diana,4,11,True,8,2,11,155062,11462,15,24,3152,3165
497,Rakan,4,3,True,3,4,16,18847,6784,10,31,3158,3916
41,Gangplank,4,12,True,10,2,11,115568,12881,14,174,6695,3123
60,Elise,4,11,True,10,2,9,89829,9351,12,8,3152,2420
236,Lucian,4,14,True,3,4,9,104835,8817,13,147,1055,6671
498,Xayah,4,7,True,6,4,11,100746,10177,13,152,6671,3006
48,Trundle,4,14,False,0,6,11,19532,5923,10,51,2031,3190
39,Irelia,4,12,False,3,8,5,90013,8082,12,176,2055,1055
85,Kennen,12,4,False,2,6,2,82903,7876,12,140,3152,3157
106,Volibear,11,4,False,1,6,4,85723,6141,11,15,3047,0
360,Samira,4,1,False,10,6,3,89438,10276,11,153,1055,6673
43,Karma,3,4,False,1,5,13,23599,7192,11,25,2421,3853
64,LeeSin,4,11,False,11,5,5,173430,12938,14,24,3044,3071
523,Aphelios,4,7,False,4,7,4,133599,10293,14,199,3085,2031
58,Renekton,4,12,False,0,8,5,100309,8522,13,177,0,3053
13,Ryze,4,12,False,4,6,5,181243,12423,15,219,3040,6656
432,Bard,4,14,True,2,5,21,20186,8144,13,18,3158,3190
22,Ashe,7,4,True,2,2,16,130408,11368,15,193,6673,3006
85,Kennen,4,12,True,7,7,4,127157,11940,15,183,3152,3157
234,Viego,11,4,True,13,4,8,149588,14212,15,44,6632,3026
236,Lucian,12,4,True,7,2,10,202277,15114,17,264,6694,6692
3,Galio,3,4,True,1,7,17,29475,8991,15,35,3860,2420
13,Ryze,4,12,True,7,8,9,214298,15091,17,209,3040,6656
203,Kindred,4,11,True,10,4,9,245038,16141,18,32,3031,6671
523,Aphelios,4,7,True,4,4,11,206506,14138,17,244,6676,3006
39,Irelia,4,12,True,15,5,10,342047,21970,18,308,6631,3748
412,Thresh,4,14,False,2,7,14,19137,9091,14,46,2065,3857
50,Swain,7,4,False,4,6,13,155183,13108,16,191,3135,6653
126,Jayce,12,4,False,7,11,6,234867,16492,18,262,6609,3042
131,Diana,11,4,False,5,5,10,213649,13644,16,57,3152,3157
236,Lucian,12,4,False,10,8,6,250018,17433,17,283,6671,3123
76,Nidalee,11,4,True,4,2,18,139868,9928,14,32,2031,0
54,Malphite,12,4,True,2,4,12,92455,9346,14,138,1054,3193
18,Tristana,4,7,True,17,4,8,192844,17108,15,220,6672,0
111,Nautilus,14,4,True,2,5,14,15387,6562,10,29,3143,3860
246,Qiyana,4,14,True,6,1,11,117150,10369,14,161,2031,6693
201,Braum,4,3,False,0,6,10,15636,5619,10,28,3857,3190
245,Ekko,11,4,False,2,7,6,113508,8240,12,27,3020,2031
164,Camille,12,4,False,9,3,0,114834,11686,14,193,3026,3158
236,Lucian,4,21,False,1,6,2,99548,8473,13,191,3508,6671
81,Ezreal,4,7,False,4,9,6,69520,8408,12,130,6632,2031
26,Zilean,4,12,True,1,8,10,18380,7910,13,26,3851,3157
114,Fiora,4,12,True,12,5,12,185222,16538,18,210,3074,6630
126,Jayce,4,12,True,10,9,3,198931,15782,16,184,6692,6609
143,Zyra,11,4,True,11,4,8,208313,13811,16,63,6653,0
81,Ezreal,4,7,True,4,8,8,89383,10195,14,133,3042,6632
166,Akshan,4,14,False,10,11,4,181204,15018,16,206,3035,6672
350,Yuumi,12,14,False,0,5,18,37928,8073,15,62,6616,1052
60,Elise,4,11,False,8,9,3,115334,10250,15,46,4636,2031
145,Kaisa,7,4,False,12,6,10,209414,16614,16,262,3046,6676
147,Seraphine,4,14,False,4,7,18,23820,8949,14,14,3853,3158
