champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
37,Sona,14,4,True,3,5,18,21586,8650,14,22,6617,3853
203,Kindred,4,11,True,13,6,4,152258,12703,14,30,6672,3035
81,Ezreal,7,4,True,5,4,10,123983,11801,14,197,0,6632
84,Akali,4,12,True,7,6,11,101998,11631,14,163,3020,1026
39,Irelia,12,4,True,9,6,10,138084,13193,15,180,6632,2421
246,Qiyana,14,4,False,13,8,6,101577,11931,13,120,6693,1036
62,MonkeyKing,12,14,False,6,10,7,83098,9857,13,116,6609,6632
76,Nidalee,4,11,False,5,7,10,108748,10687,13,16,2055,3157
89,Leona,14,4,False,0,9,10,19187,5734,10,31,3860,2031
202,Jhin,4,7,False,3,3,8,122001,9494,14,203,3009,6671
58,Renekton,4,12,True,6,1,5,93220,9249,12,146,1037,6630
523,Aphelios,4,3,True,3,2,8,50218,7491,9,110,1055,6673
412,Thresh,4,14,True,4,1,7,11540,5115,7,21,3855,3190
28,Evelynn,4,11,True,9,2,4,50435,6283,8,5,2422,2031
555,Pyke,14,4,True,2,3,3,16668,4462,8,54,3134,2031
121,Khazix,11,4,False,3,5,2,56059,6023,9,20,2422,2031
526,Rell,14,4,False,0,6,0,11726,2787,5,15,0,2031
79,Gragas,12,4,False,1,5,2,31548,4480,9,62,3070,3802
84,Akali,12,4,False,3,2,2,37828,5707,10,96,1056,1082
119,Draven,4,7,False,2,6,2,30593,4909,8,76,1053,1036
64,LeeSin,4,11,True,6,8,12,109171,10156,14,19,2055,6630
17,Teemo,4,14,True,7,4,4,211136,14888,17,244,3115,3135
432,Bard,4,3,True,1,3,24,22555,8464,14,11,3009,2065
238,Zed,4,14,True,8,4,4,146811,12524,15,200,6693,6695
81,Ezreal,4,7,True,10,5,8,145141,13676,15,193,3158,6632
497,Rakan,4,3,False,2,7,14,12034,7511,12,9,2065,2055
13,Ryze,4,12,False,4,8,7,138515,11274,15,189,1082,3158
202,Jhin,4,7,False,7,8,9,131822,11614,14,173,1055,6671
234,Viego,11,4,False,8,5,8,160683,13172,15,44,1031,2421
223,TahmKench,12,4,False,3,4,10,86591,10033,15,140,1054,1011
7,Leblanc,4,12,True,11,0,6,123034,12218,15,197,3020,1056
429,Kalista,7,4,True,3,7,10,79391,8666,12,127,3599,6673
53,Blitzcrank,4,14,True,4,5,11,21410,7451,11,23,3860,0
120,Hecarim,11,6,True,1,4,12,142297,8920,14,28,6632,3047
85,Kennen,4,12,True,8,3,7,82798,11342,14,150,3157,3152
5,XinZhao,4,11,False,4,5,4,125588,8476,12,14,6630,2031
523,Aphelios,3,4,False,6,6,2,84666,9892,12,167,1055,6676
412,Thresh,14,4,False,1,3,10,18167,6528,10,29,0,3857
55,Katarina,14,4,False,5,6,0,101903,10168,13,193,1054,0
126,Jayce,12,4,False,3,7,4,125841,9727,13,169,3042,2055
203,Kindred,4,11,False,0,4,1,66656,5334,9,14,2055,2031
17,Teemo,4,14,False,3,4,0,78483,7021,12,168,3191,2031
777,Yone,12,4,False,1,5,1,71684,6354,11,138,1054,2031
51,Caitlyn,7,4,False,2,6,1,76124,7351,10,147,1055,6673
201,Braum,3,4,False,0,4,2,15406,4207,8,27,3111,3855
22,Ashe,7,4,True,2,2,9,53386,7454,11,135,1055,2031
85,Kennen,4,14,True,8,0,5,81601,10331,13,149,3020,3135
64,LeeSin,12,4,True,5,2,3,80672,8503,13,136,0,3133
89,Leona,4,14,True,4,1,8,14326,6221,10,29,3855,2055
104,Graves,11,4,True,4,1,5,118711,8334,12,16,6692,2031
120,Hecarim,6,11,False,4,9,3,72571,6507,10,16,6632,2031
12,Alistar,4,14,False,2,7,6,14287,5814,8,25,3082,3859
115,Ziggs,4,12,False,1,4,2,68309,5673,11,120,1056,3070
223,TahmKench,12,4,False,2,4,5,31954,6014,11,95,6662,1028
