champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
412,Thresh,4,14,False,5,9,31,26075,11827,15,36,3857,4643
238,Zed,4,14,False,10,8,13,261529,17751,18,274,3071,3814
28,Evelynn,4,11,False,14,7,14,175883,15373,17,46,3135,1058
523,Aphelios,7,4,False,9,6,15,308043,18313,18,255,3031,3036
126,Jayce,4,12,False,9,10,15,285113,16655,18,196,3111,1036
12,Alistar,14,4,True,2,13,17,23911,10131,15,38,4643,3190
110,Varus,4,7,True,11,8,5,307713,18677,18,330,6693,3026
164,Camille,12,14,True,16,7,7,251405,18942,18,203,3047,3026
4,TwistedFate,4,12,True,8,5,12,293248,19686,18,268,6656,3157
32,Amumu,11,4,True,3,14,17,149029,12761,17,31,3157,8001
234,Viego,4,11,False,2,9,5,109094,8010,12,29,0,1043
119,Draven,7,4,False,11,8,4,114460,13657,11,153,1055,6673
79,Gragas,12,4,False,1,8,7,63601,6646,12,119,6656,2055
91,Talon,14,4,False,7,7,6,78526,8627,12,135,3158,6630
48,Trundle,14,4,False,0,6,14,23283,6388,10,41,2055,3857
127,Lissandra,4,12,True,3,4,17,118492,10921,14,176,2033,3157
523,Aphelios,7,4,True,1,6,18,69582,8350,12,111,1055,2031
150,Gnar,4,12,True,11,1,11,144561,12612,14,173,6632,1028
107,Rengar,11,4,True,21,5,5,135842,14329,14,24,6695,6631
117,Lulu,4,14,True,2,5,25,20252,7428,11,9,3853,2065
4,TwistedFate,12,4,True,3,1,6,69853,8059,11,133,6656,2033
121,Khazix,11,4,True,8,0,5,88159,7954,11,8,3134,3142
41,Gangplank,4,12,True,2,2,5,67001,6770,11,137,3078,2033
412,Thresh,4,3,True,0,2,6,11263,3703,8,25,0,3855
523,Aphelios,4,7,True,3,1,4,65586,7186,10,139,6673,0
245,Ekko,11,4,False,2,4,1,73159,5768,9,12,1026,2031
23,Tryndamere,4,6,False,2,4,1,62140,5723,11,143,1054,0
266,Aatrox,4,12,False,1,2,1,55068,5923,11,122,2031,6630
115,Ziggs,12,4,False,1,3,0,36175,4349,8,82,1056,3070
432,Bard,7,4,False,0,3,1,9946,3050,7,18,3111,3859
64,LeeSin,11,4,False,10,3,2,107684,10291,13,8,6630,2055
