champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
50,Swain,4,7,True,4,7,11,86576,9911,14,150,1026,6653
111,Nautilus,4,14,True,2,3,12,26635,7013,12,43,3860,3190
131,Diana,4,11,True,8,3,14,164195,12156,15,32,3102,3152
104,Graves,4,12,True,11,4,2,133520,12931,15,174,3142,2031
875,Sett,4,12,True,5,3,10,116384,10866,15,160,3053,3111
37,Sona,4,7,False,3,5,11,20626,7383,12,19,3853,3158
9,Fiddlesticks,4,11,False,7,5,9,119447,10519,13,31,3157,1082
126,Jayce,4,12,False,3,6,5,106944,8920,13,168,2031,0
516,Ornn,12,4,False,4,7,3,94467,8355,13,128,1054,3181
498,Xayah,3,4,False,3,7,8,100821,9787,12,162,6672,3006
64,LeeSin,11,4,True,16,5,12,177125,17030,17,54,3026,6630
115,Ziggs,1,4,True,7,3,15,231905,15038,17,231,3157,3165
777,Yone,4,12,True,5,8,10,126189,11513,16,152,2421,3031
164,Camille,12,4,True,15,2,10,130472,15278,17,157,3158,3078
412,Thresh,4,14,True,0,6,28,20033,8525,14,26,3190,3857
223,TahmKench,12,4,False,2,11,2,92848,9741,14,141,6662,3075
238,Zed,4,14,False,8,11,3,141262,11609,15,172,3142,6691
147,Seraphine,4,3,False,0,6,14,41176,7847,13,44,6617,3011
9,Fiddlesticks,4,11,False,5,10,8,121902,10079,13,28,3157,1026
110,Varus,4,7,False,9,5,2,160455,11912,14,205,1055,3042
555,Pyke,14,4,False,3,7,14,23194,8034,11,26,3857,6693
121,Khazix,4,11,False,0,6,7,90543,6261,11,29,6691,0
136,AurelionSol,12,4,False,8,8,6,82536,9792,12,110,3070,2033
107,Rengar,12,4,False,4,7,3,72444,9211,12,131,3071,6630
145,Kaisa,4,7,False,7,5,6,82427,9405,12,136,1055,3046
103,Ahri,14,4,True,7,6,5,57403,8596,12,92,3108,6656
81,Ezreal,7,4,True,1,8,6,100469,8817,13,182,1055,3070
92,Riven,14,4,True,4,2,2,94353,8701,14,141,6630,3047
120,Hecarim,6,11,True,20,3,3,184288,15556,15,27,6632,3044
350,Yuumi,3,14,True,0,3,18,5823,6017,11,4,2055,3851
240,Kled,4,12,False,0,6,0,19373,3474,8,65,1055,2031
777,Yone,4,12,False,0,4,0,54961,4912,10,115,1054,2031
497,Rakan,4,3,False,0,4,2,10751,3123,7,24,3111,3067
131,Diana,4,11,False,1,4,0,60315,4664,8,5,1052,0
523,Aphelios,4,1,False,1,7,1,43856,5027,9,83,6673,2031
36,DrMundo,4,12,True,2,0,6,51040,6172,11,120,0,2031
238,Zed,4,14,True,10,0,4,69348,9246,11,112,1055,6691
412,Thresh,3,4,True,3,1,12,16182,5681,9,27,3158,3190
9,Fiddlesticks,4,11,True,2,0,4,82383,6219,11,21,2424,2031
81,Ezreal,7,4,True,8,1,1,65890,8112,9,117,1055,6632
110,Varus,7,4,True,4,1,8,92345,9333,13,154,6691,2031
13,Ryze,4,12,True,7,1,9,183813,13589,15,213,3040,3157
92,Riven,14,4,True,8,1,10,112306,10731,14,153,3071,2031
120,Hecarim,6,11,True,9,2,8,121510,10466,13,15,6632,3053
101,Xerath,4,14,True,5,4,11,51749,7735,11,25,3853,2031
222,Jinx,1,4,False,2,4,3,78583,7822,10,176,1054,6672
350,Yuumi,3,7,False,0,6,5,8669,4478,10,6,3853,6617
777,Yone,4,14,False,0,7,3,70648,6144,11,131,1054,3006
245,Ekko,11,4,False,5,7,2,105968,8329,11,57,3152,3100
48,Trundle,12,4,False,1,9,2,40717,5315,10,92,3158,1029
31,Chogath,12,4,False,8,12,8,227266,14308,17,226,6630,3075
81,Ezreal,7,4,False,9,11,11,108838,13319,15,154,1036,3042
350,Yuumi,3,14,False,5,6,20,22865,8768,15,11,3853,6616
234,Viego,11,4,False,13,8,9,152838,14405,15,43,3075,0
117,Lulu,4,21,False,1,12,17,36191,7995,15,72,2033,6656
91,Talon,14,4,True,14,6,16,207865,18367,18,232,6694,3158
75,Nasus,6,4,True,5,11,8,182229,13746,17,177,3193,6632
121,Khazix,4,11,True,26,3,8,217279,20027,18,40,6691,3036
17,Teemo,14,4,True,1,9,18,50002,8948,14,16,3853,3165
69,Cassiopeia,21,4,True,3,8,18,143384,12255,15,153,3070,6653
30,Karthus,3,4,False,4,12,10,134734,10018,14,155,1056,3157
2,Olaf,11,4,False,4,8,7,131398,9979,13,21,6630,1036
126,Jayce,4,12,False,7,7,2,124590,10901,14,177,2055,3042
89,Leona,4,14,False,4,8,9,22165,7607,12,33,8001,3190
39,Irelia,12,4,False,3,9,1,140304,10241,14,230,1037,3091
61,Orianna,4,12,True,8,4,13,113153,11801,16,179,6653,3157
9,Fiddlesticks,4,11,True,10,3,15,154711,13374,15,22,3157,1082
48,Trundle,4,14,True,1,4,24,30536,8539,14,37,3158,3190
164,Camille,14,12,True,12,6,5,117966,13407,15,161,2420,1054
119,Draven,4,3,True,13,5,6,169850,15483,15,190,3036,6673
875,Sett,4,12,True,6,6,7,117587,11578,14,158,6630,3067
163,Taliyah,11,4,True,7,4,24,142248,11122,15,38,1058,2420
89,Leona,14,4,True,3,2,27,21996,7819,13,37,3860,3190
202,Jhin,7,4,True,16,1,12,157248,15405,15,186,6671,1036
166,Akshan,4,14,True,9,6,16,90640,10867,14,116,3006,2055
22,Ashe,4,1,False,3,8,4,110482,8724,12,154,6673,3006
350,Yuumi,7,3,False,1,9,9,9363,5990,12,4,3853,6617
69,Cassiopeia,4,14,False,5,9,4,125237,10646,14,193,2055,4629
9,Fiddlesticks,4,11,False,4,10,5,110601,8893,12,29,3157,2055
62,MonkeyKing,4,12,False,5,5,4,100094,10457,14,150,3053,1055
120,Hecarim,6,11,False,4,9,3,72571,6507,10,16,6632,2031
12,Alistar,4,14,False,2,7,6,14287,5814,8,25,3082,3859
115,Ziggs,4,12,False,1,4,2,68309,5673,11,120,1056,3070
223,TahmKench,12,4,False,2,4,5,31954,6014,11,95,6662,1028
236,Lucian,4,12,False,2,9,3,68978,5902,11,125,6671,3006
203,Kindred,4,11,True,17,1,6,105200,11788,12,27,3006,2031
412,Thresh,14,4,True,2,2,23,19146,7045,10,24,2065,3855
429,Kalista,7,4,True,3,4,5,78469,8212,12,153,6673,3085
67,Vayne,4,12,True,3,1,3,78683,8229,13,154,1053,1083
61,Orianna,12,4,True,8,3,10,85232,9613,12,134,3070,3157
12,Alistar,14,4,True,4,1,8,18509,7000,12,36,2055,3190
18,Tristana,12,4,True,4,5,4,128734,10414,14,167,6672,2031
37,Sona,7,4,True,1,3,5,40650,7529,12,128,3070,1082
69,Cassiopeia,4,12,True,7,3,4,100386,11098,14,164,3070,3165
234,Viego,4,11,True,7,1,12,174550,11557,14,36,3047,3153
115,Ziggs,4,12,False,0,4,2,111836,8242,12,170,1058,6655
39,Irelia,4,12,False,8,4,0,117273,10736,14,203,3047,3051
555,Pyke,14,4,False,2,4,5,15528,7754,9,34,3857,6691
240,Kled,4,12,False,1,6,3,65821,7049,11,121,6630,1054
120,Hecarim,6,11,False,2,5,5,118416,8044,12,8,6632,1036
18,Tristana,4,7,False,1,9,9,53661,7114,11,118,1055,1036
54,Malphite,4,14,False,4,6,4,51094,6974,12,111,1056,3020
103,Ahri,4,14,False,0,7,5,24188,5233,9,55,3860,6656
120,Hecarim,6,11,False,9,8,1,129223,10677,12,16,6632,3044
64,LeeSin,4,12,False,7,7,6,61075,8358,12,104,3053,2055
76,Nidalee,11,4,True,10,3,11,127963,10994,13,20,0,2031
80,Pantheon,14,4,True,6,8,12,37119,7523,11,33,6692,3857
246,Qiyana,4,14,True,11,4,4,108056,12406,14,154,6693,1036
22,Ashe,7,4,True,6,2,17,87429,10214,13,147,1055,6673
517,Sylas,4,12,True,4,4,11,83359,9172,14,152,6656,1052
29,Twitch,4,3,True,20,8,15,65287,13794,15,54,3184,3031
37,Sona,4,21,True,4,7,35,18357,9134,15,2,6617,3070
117,Lulu,4,13,True,3,5,33,15161,9178,15,7,2065,3158
131,Diana,32,4,True,5,9,18,33578,8889,14,15,4636,3020
157,Yasuo,32,4,True,9,8,11,68295,10648,14,68,6673,3031
4,TwistedFate,7,4,False,6,10,21,38303,9830,13,33,6655,3094
104,Graves,32,4,False,6,9,19,43433,9935,13,43,6676,3006
76,Nidalee,4,13,False,4,7,24,26467,8699,13,13,6655,0
887,Gwen,14,6,False,8,8,18,27437,9719,14,22,4633,2421
62,MonkeyKing,32,4,False,13,7,15,33821,10753,14,28,6630,3047
39,Irelia,4,12,True,10,9,14,187398,15534,17,212,3053,3153
15,Sivir,7,4,True,5,7,17,221113,15176,17,249,1055,6671
432,Bard,4,3,True,2,4,26,29028,9707,16,40,3117,2065
9,Fiddlesticks,4,11,True,14,6,14,188910,14540,17,25,3157,1058
114,Fiora,4,12,True,13,7,9,156100,15555,16,184,6630,3074
421,RekSai,11,4,False,12,8,9,114994,13382,15,31,6693,3026
3,Galio,12,4,False,7,5,13,142886,12380,16,201,1082,6656
45,Veigar,14,4,False,2,10,17,30438,7304,13,24,3853,3190
21,MissFortune,4,7,False,9,10,11,142823,13198,15,209,3072,3031
59,JarvanIV,12,4,False,3,11,22,77490,9674,16,125,2055,6630
111,Nautilus,4,14,True,1,2,12,17047,6019,10,35,3860,3190
50,Swain,3,4,True,6,1,3,66050,8640,12,129,1056,6653
2,Olaf,11,4,True,8,2,6,154263,10647,12,21,3047,3053
238,Zed,4,12,True,7,2,5,100123,10068,14,162,6691,3035
