champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
9,Fiddlesticks,4,11,True,5,0,14,95470,8214,11,13,3157,2031
62,MonkeyKing,4,12,True,1,2,4,32506,5403,10,101,1055,1001
236,Lucian,4,7,True,11,2,5,112991,11776,12,153,6671,2031
111,Nautilus,14,4,True,0,2,15,12991,5280,8,24,3190,2031
61,Orianna,4,12,True,4,1,11,74442,7653,12,129,1056,6653
15,Sivir,1,4,False,0,5,3,63822,6697,10,121,6673,1055
350,Yuumi,14,3,False,2,4,2,4880,4346,7,4,3851,6617
875,Sett,4,12,False,1,4,1,43686,5937,11,110,1054,1028
234,Viego,4,12,False,2,4,1,50106,5503,9,110,1054,6673
245,Ekko,11,4,False,2,4,3,111865,7546,11,29,3152,3111
4,TwistedFate,4,12,False,3,5,7,142308,11173,15,210,2033,6656
235,Senna,3,4,False,0,8,12,34766,7249,13,11,3009,6632
164,Camille,12,14,False,11,5,6,185633,15409,17,199,3074,3026
2,Olaf,11,6,False,10,4,6,198013,13882,15,59,3065,1031
81,Ezreal,4,1,False,1,9,7,103381,9175,13,180,1055,3042
103,Ahri,4,12,True,4,7,10,126192,11067,16,187,3191,6656
9,Fiddlesticks,4,11,True,9,3,6,168028,12299,16,38,3157,3135
110,Varus,4,7,True,9,5,9,161069,13234,15,206,2421,3042
114,Fiora,12,14,True,9,7,3,161517,15025,18,200,6630,3074
412,Thresh,14,4,True,0,3,21,21677,9250,14,38,2065,3860
234,Viego,4,11,True,21,1,3,208373,18342,17,56,3143,3091
202,Jhin,4,7,True,3,4,11,170212,11493,15,212,6671,3111
876,Lillia,4,12,True,4,8,6,152819,11346,15,187,3102,3157
246,Qiyana,14,4,True,5,3,11,106315,10974,15,158,3158,1036
432,Bard,3,4,True,0,3,17,26837,8022,13,27,3190,3853
55,Katarina,14,4,False,4,6,5,110918,10155,15,194,3135,3108
103,Ahri,4,3,False,1,5,9,30026,6767,12,25,3853,6656
9,Fiddlesticks,4,11,False,5,8,3,137521,9720,13,26,3157,1052
15,Sivir,4,7,False,4,5,4,117278,10500,13,186,1055,6672
236,Lucian,12,4,False,5,9,1,127675,10667,15,198,6692,6694
64,LeeSin,11,4,False,4,5,3,62155,7401,10,3,6630,2031
350,Yuumi,3,14,False,2,6,4,11246,5506,10,13,6617,3853
114,Fiora,12,4,False,4,4,3,63284,7266,12,124,1054,6630
81,Ezreal,4,7,False,1,11,1,60055,6344,11,105,3078,3070
4,TwistedFate,1,4,False,3,11,4,84653,7789,12,137,3102,2033
80,Pantheon,14,4,True,6,6,17,32305,7945,11,24,3117,3857
