champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
59,JarvanIV,4,11,False,5,14,15,166381,12206,17,37,2421,3075
166,Akshan,14,4,False,10,9,8,184307,16221,18,231,3036,6672
142,Zoe,3,4,False,7,12,11,109208,11893,15,141,6655,3157
555,Pyke,4,14,False,13,9,6,45487,16121,15,57,3179,3857
161,Velkoz,4,7,False,8,8,12,176019,14990,16,204,3157,6655
26,Zilean,12,4,True,2,10,21,65262,10624,16,62,3853,6656
37,Sona,4,7,True,2,8,26,41025,10096,16,52,6616,3158
92,Riven,4,14,True,6,6,9,185546,14257,18,191,6694,6630
246,Qiyana,14,4,True,27,10,7,198194,20658,18,173,3142,6693
141,Kayn,11,4,True,15,9,7,265030,16643,18,46,6695,6630
29,Twitch,3,4,True,3,5,10,146413,12206,15,217,3006,3031
76,Nidalee,4,11,True,11,6,14,209648,15234,17,44,4636,4628
85,Kennen,12,4,True,10,8,3,107380,12885,15,155,3152,3157
111,Nautilus,14,4,True,1,5,15,26957,8004,13,31,3860,3190
104,Graves,14,4,True,10,4,12,214769,15777,17,234,6676,3134
126,Jayce,4,12,False,11,9,3,187503,14867,17,216,6692,2421
81,Ezreal,4,7,False,4,6,9,119452,10698,14,160,6632,3042
127,Lissandra,12,4,False,3,7,6,160519,12317,16,213,2055,1058
432,Bard,3,4,False,1,8,15,19815,8898,14,18,1029,3853
245,Ekko,11,4,False,9,5,7,246300,14571,17,50,3100,3157
222,Jinx,7,4,False,4,6,8,235756,14914,16,255,3031,6672
141,Kayn,11,4,False,6,5,8,243850,14006,17,32,6695,6694
142,Zoe,4,14,False,4,8,7,127331,10814,16,184,4630,1082
92,Riven,4,12,False,3,9,6,132039,11204,16,164,6695,6632
432,Bard,14,4,False,4,4,9,47742,9196,15,40,2065,3860
37,Sona,4,7,True,0,2,22,45993,10050,15,66,3853,3158
223,TahmKench,14,4,True,7,10,11,142286,13855,17,169,1033,3075
117,Lulu,12,4,True,0,3,23,99185,11640,17,190,3916,3222
267,Nami,4,3,True,2,3,20,25639,9848,15,31,4642,8001
104,Graves,11,4,True,23,4,3,352975,21412,17,155,6692,3033
62,MonkeyKing,14,4,False,2,7,5,46842,5623,11,75,1055,6632
67,Vayne,7,4,False,2,7,2,57112,5966,9,107,1055,0
134,Syndra,4,14,False,2,6,1,43987,4776,10,72,6655,2033
30,Karthus,11,4,False,4,6,5,95031,8128,11,31,6653,1082
117,Lulu,14,4,False,0,7,3,8948,4369,8,6,3853,2065
37,Sona,4,7,True,0,1,15,25491,5978,10,40,3853,2065
64,LeeSin,14,4,True,4,4,7,84300,8467,12,127,6630,1028
61,Orianna,12,4,True,6,2,9,87689,8686,13,141,1056,1082
350,Yuumi,3,14,True,2,1,20,8505,5895,10,8,6617,2055
141,Kayn,11,4,True,21,2,3,127633,11838,12,26,6695,6630
350,Yuumi,3,14,True,1,1,9,5865,5006,8,6,3851,2065
104,Graves,4,14,True,7,2,2,90254,8408,11,118,1055,2010
32,Amumu,4,11,True,3,0,4,52855,5432,10,9,3068,2031
145,Kaisa,7,4,True,7,0,3,49031,6684,8,102,1055,2031
62,MonkeyKing,4,12,True,0,2,1,32891,4814,10,104,1054,3044
887,Gwen,12,6,False,0,4,1,29550,4658,8,101,1055,4635
122,Darius,4,6,False,2,1,0,55896,5751,11,126,1055,3078
150,Gnar,14,4,False,1,7,0,15058,3504,7,25,3855,2031
64,LeeSin,4,12,False,1,4,1,51521,5301,10,103,0,6630
234,Viego,11,4,False,1,2,0,62938,4905,9,4,6632,2031
350,Yuumi,3,14,False,1,8,24,11798,8466,15,9,3853,3011
104,Graves,4,14,False,15,10,5,185113,16051,17,196,3814,6692
33,Rammus,4,11,False,5,8,19,84997,10153,15,11,3075,6664
115,Ziggs,7,4,False,9,8,16,190012,13593,16,214,2055,3157
114,Fiora,4,12,False,9,8,6,119692,12224,16,170,6333,3123
131,Diana,4,11,True,3,7,12,196883,11364,16,27,3020,3152
266,Aatrox,14,4,True,18,4,2,318940,20619,18,250,3142,6695
82,Mordekaiser,4,14,True,5,10,9,46650,8617,14,41,0,3860
157,Yasuo,3,4,True,9,12,9,145123,12475,15,164,1055,3031
142,Zoe,4,14,True,7,6,10,136820,13295,16,192,3046,6673
18,Tristana,7,4,True,8,2,4,90223,10544,13,147,6672,3006
104,Graves,14,4,True,10,0,8,136545,11776,14,138,1055,3035
114,Fiora,12,4,True,2,6,7,89028,9517,13,142,6630,2031
412,Thresh,4,14,True,1,3,14,14691,6873,11,26,2031,3857
131,Diana,4,11,True,11,1,7,156428,12476,14,37,3152,3157
59,JarvanIV,14,4,False,3,6,3,84510,7507,13,136,6692,3004
41,Gangplank,4,12,False,3,7,2,76997,6934,12,121,2033,3158
111,Nautilus,3,4,False,0,5,6,21641,5470,10,51,3860,3158
