champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
22,Ashe,4,7,True,3,7,14,139442,11448,14,203,1055,6673
28,Evelynn,4,11,True,10,4,10,136118,12307,16,14,1058,3152
497,Rakan,14,4,True,1,7,22,22546,7961,13,36,3190,3860
246,Qiyana,4,14,True,20,7,4,140116,15208,15,177,1027,1027
164,Camille,14,12,True,12,6,14,122093,13946,16,165,3181,0
34,Anivia,14,4,False,5,10,9,93221,11261,14,147,0,0
18,Tristana,4,7,False,12,8,5,125730,13190,15,165,6673,2420
555,Pyke,14,4,False,3,10,10,14161,8219,12,13,3864,2031
114,Fiora,12,4,False,5,7,8,101742,10157,13,157,1054,3074
131,Diana,11,4,False,6,11,11,154025,12056,13,49,4633,3157
234,Viego,4,11,False,2,9,5,109094,8010,12,29,0,1043
119,Draven,7,4,False,11,8,4,114460,13657,11,153,1055,6673
79,Gragas,12,4,False,1,8,7,63601,6646,12,119,6656,2055
91,Talon,14,4,False,7,7,6,78526,8627,12,135,3158,6630
48,Trundle,14,4,False,0,6,14,23283,6388,10,41,2055,3857
127,Lissandra,4,12,True,3,4,17,118492,10921,14,176,2033,3157
523,Aphelios,7,4,True,1,6,18,69582,8350,12,111,1055,2031
150,Gnar,4,12,True,11,1,11,144561,12612,14,173,6632,1028
107,Rengar,11,4,True,21,5,5,135842,14329,14,24,6695,6631
117,Lulu,4,14,True,2,5,25,20252,7428,11,9,3853,2065
4,TwistedFate,12,4,True,3,1,6,69853,8059,11,133,6656,2033
121,Khazix,11,4,True,8,0,5,88159,7954,11,8,3134,3142
41,Gangplank,4,12,True,2,2,5,67001,6770,11,137,3078,2033
412,Thresh,4,3,True,0,2,6,11263,3703,8,25,0,3855
523,Aphelios,4,7,True,3,1,4,65586,7186,10,139,6673,0
245,Ekko,11,4,False,2,4,1,73159,5768,9,12,1026,2031
23,Tryndamere,4,6,False,2,4,1,62140,5723,11,143,1054,0
266,Aatrox,4,12,False,1,2,1,55068,5923,11,122,2031,6630
115,Ziggs,12,4,False,1,3,0,36175,4349,8,82,1056,3070
432,Bard,7,4,False,0,3,1,9946,3050,7,18,3111,3859
246,Qiyana,4,14,False,4,10,4,82778,7416,12,114,6630,6695
223,TahmKench,4,12,False,0,5,2,46738,5888,12,123,1054,3076
103,Ahri,4,3,False,0,7,6,23728,5274,10,45,3860,6656
22,Ashe,4,7,False,2,6,3,62847,7213,11,152,3086,0
245,Ekko,11,4,False,9,1,0,137802,10935,13,36,3152,0
876,Lillia,12,4,True,5,2,3,101045,8952,14,166,6653,3158
39,Irelia,4,14,True,6,3,2,125470,11589,15,194,1057,6632
117,Lulu,4,14,True,0,4,14,17934,6818,11,8,3853,2065
429,Kalista,4,1,True,11,4,5,124937,11773,13,179,6673,3091
131,Diana,4,11,True,7,2,5,177859,10132,14,20,2055,3152
103,Ahri,4,14,False,4,8,18,49345,10748,15,23,3853,6656
75,Nasus,6,4,False,8,3,8,214460,15096,17,209,6632,3193
119,Draven,3,4,False,11,10,11,233815,17576,16,221,3026,3006
76,Nidalee,11,4,False,8,7,13,196096,13415,16,26,3158,0
164,Camille,4,12,False,4,9,9,127925,11705,17,218,3078,3053
245,Ekko,4,11,True,19,6,9,267617,18377,18,59,3157,3100
51,Caitlyn,4,7,True,5,8,16,178713,14153,16,197,1055,6673
350,Yuumi,3,14,True,2,7,30,19790,10136,15,3,3853,3222
112,Viktor,1,4,True,7,6,11,215625,14395,17,252,3040,3158
122,Darius,4,6,True,4,8,8,167194,13816,17,189,3053,3078
517,Sylas,4,12,True,6,4,13,114272,11649,14,169,6656,3157
350,Yuumi,7,3,True,1,2,7,12502,6575,10,3,3853,6655
523,Aphelios,4,1,True,2,1,2,99964,9838,12,191,6673,3006
64,LeeSin,4,11,True,9,4,10,150579,11543,14,20,2420,2055
92,Riven,14,12,True,13,5,10,98155,12082,14,131,3142,6630
147,Seraphine,4,14,False,2,3,2,25216,5780,10,23,3916,6617
41,Gangplank,4,12,False,1,8,5,88285,7785,12,140,3035,2033
58,Renekton,4,12,False,3,8,9,71243,7923,12,121,0,6630
22,Ashe,7,4,False,1,3,2,73265,6652,11,152,6673,3006
11,MasterYi,11,14,False,9,9,2,97307,10364,12,20,3124,3047
234,Viego,4,11,False,3,5,3,76741,6003,10,17,3153,1001
887,Gwen,4,12,False,3,6,1,23266,5261,9,58,1054,2031
12,Alistar,14,4,False,0,8,4,6694,3185,7,19,3117,3858
145,Kaisa,7,4,False,1,4,3,25919,4558,9,77,1055,2031
240,Kled,4,12,False,3,4,1,56698,6522,10,113,6630,1036
64,LeeSin,11,4,True,10,3,4,62292,7570,10,7,6630,2055
432,Bard,4,14,True,2,1,16,13025,5820,9,4,3853,2055
15,Sivir,4,7,True,2,1,8,56234,6416,10,116,6673,3123
518,Neeko,4,14,True,4,2,6,82567,7708,11,131,3020,0
164,Camille,14,12,True,9,3,5,44401,7435,10,73,1055,1036
13,Ryze,4,12,True,2,2,9,173785,10789,15,219,3158,2033
126,Jayce,4,12,True,6,6,15,133114,10486,14,176,6692,3042
37,Sona,4,7,True,4,3,20,27541,8797,13,41,3853,3158
147,Seraphine,3,4,True,4,4,15,59090,8410,12,77,3158,3853
141,Kayn,4,11,True,17,0,10,186838,14829,15,65,3053,3074
7,Leblanc,4,12,False,3,4,0,85081,9085,14,166,2033,2055
58,Renekton,4,12,False,2,7,4,153420,10996,14,212,0,6630
64,LeeSin,4,11,False,4,8,1,113325,8018,12,9,2031,0
412,Thresh,4,14,False,1,7,4,20365,5662,9,24,3857,2065
523,Aphelios,7,4,False,5,7,2,115656,10895,13,182,6673,6676
143,Zyra,32,4,True,14,6,33,94978,16056,18,66,6653,4637
432,Bard,7,4,True,1,7,52,51693,12868,18,22,3112,3020
5,XinZhao,32,4,True,20,11,20,82542,16163,18,35,3111,6630
18,Tristana,21,4,True,18,10,20,100899,15940,18,70,3033,3006
25,Morgana,3,4,True,5,10,31,34244,12311,18,21,3020,3116
19,Warwick,4,32,False,11,13,17,83476,15222,18,57,2051,3111
223,TahmKench,4,32,False,5,8,20,37040,12491,18,29,6662,3111
497,Rakan,32,4,False,6,11,18,39123,12683,18,10,4636,3158
92,Riven,4,32,False,18,12,18,122573,18301,18,103,3065,3053
103,Ahri,4,32,False,3,14,23,95308,12176,18,42,6655,3020
246,Qiyana,32,4,True,19,12,17,61991,15325,18,40,3142,3158
29,Twitch,4,1,True,15,14,20,42026,14214,18,23,6672,3085
110,Varus,4,1,True,28,11,35,114807,19080,18,94,3157,6333
