champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
64,LeeSin,11,4,False,13,9,7,96047,11576,14,14,6630,0
32,Amumu,4,3,False,0,11,18,13889,6307,11,31,3047,3082
498,Xayah,4,7,False,5,8,8,85653,9565,13,154,6671,3508
164,Camille,4,12,False,5,8,10,106220,10098,14,160,3078,3074
1,Annie,4,12,False,8,5,9,62311,10608,13,129,4636,4630
81,Ezreal,4,7,True,4,5,10,111812,10497,14,153,1055,3158
80,Pantheon,14,4,True,2,9,10,20631,7223,11,34,3857,2031
157,Yasuo,4,1,True,13,6,14,165598,14645,15,168,3140,3031
92,Riven,12,4,True,10,8,5,119805,12634,15,144,3142,6630
131,Diana,4,11,True,12,3,20,210399,14569,16,25,3152,3157
104,Graves,4,11,True,6,1,9,209549,12484,16,59,6692,0
497,Rakan,14,4,True,2,6,11,14363,6575,10,32,2065,3860
41,Gangplank,4,12,True,7,2,5,136845,12059,15,168,2033,3078
85,Kennen,14,4,True,8,5,7,128791,11794,14,175,4629,3152
498,Xayah,4,7,True,5,10,8,94441,10045,12,129,6671,0
81,Ezreal,4,7,False,13,4,8,136708,12928,13,171,6632,6694
432,Bard,4,3,False,2,7,18,12234,7198,11,9,0,3190
245,Ekko,4,11,False,5,7,5,154118,8708,13,24,2055,3113
142,Zoe,4,14,False,4,6,4,78391,8905,12,163,6656,3157
98,Shen,4,12,False,0,4,5,41398,7068,13,147,1054,3047
85,Kennen,12,4,False,1,6,3,55862,6820,11,133,1052,3152
2,Olaf,11,12,False,9,6,2,179319,11930,14,24,3067,3211
92,Riven,12,4,False,1,7,2,62282,6861,12,138,3047,6630
498,Xayah,4,7,False,8,6,5,108962,11314,12,151,6671,3036
497,Rakan,14,4,False,2,6,14,16588,6780,10,29,2065,3859
134,Syndra,4,14,True,5,2,8,131107,11163,15,191,4630,3020
110,Varus,4,7,True,5,4,8,121319,10805,14,182,3004,0
64,LeeSin,11,4,True,14,4,12,109308,12400,13,20,6630,2055
39,Irelia,12,4,True,6,3,8,128351,11214,15,185,3053,3047
32,Amumu,4,3,True,1,8,17,20558,6598,11,31,3047,1028
61,Orianna,4,12,True,4,1,5,128856,10887,15,195,2033,6653
67,Vayne,7,4,True,10,3,5,153261,13909,15,196,3091,3124
432,Bard,3,4,True,0,3,18,20758,7847,12,35,2065,3860
5,XinZhao,11,4,True,9,4,8,192104,12838,15,49,3053,0
122,Darius,6,4,True,7,6,6,133089,12369,15,169,3076,6630
412,Thresh,4,14,False,0,7,8,14791,6287,12,32,3857,3190
523,Aphelios,4,7,False,2,10,6,122854,9203,13,175,2055,6676
64,LeeSin,4,11,False,10,2,3,189241,13940,16,40,2055,6630
103,Ahri,4,14,False,2,4,6,125128,9742,15,199,1056,6655
84,Akali,14,12,False,3,7,6,123969,9910,15,187,4637,3916
126,Jayce,12,4,False,5,6,3,106977,10328,13,165,6692,6695
13,Ryze,12,4,False,6,4,3,118990,9478,13,163,6655,0
523,Aphelios,4,7,False,4,6,3,79120,8078,11,133,6673,2055
89,Leona,14,4,False,0,6,9,16757,5476,10,42,3860,3190
48,Trundle,11,4,False,3,5,8,79775,7228,12,22,2421,2055
61,Orianna,4,12,True,5,3,7,84172,9336,13,152,2033,6653
22,Ashe,4,7,True,6,4,10,95779,11479,13,167,3006,3051
36,DrMundo,12,4,True,1,4,4,77132,7463,13,129,8001,3047
104,Graves,4,11,True,9,3,6,191553,12701,15,50,6692,3134
43,Karma,14,4,True,6,4,14,41990,8774,12,24,4005,3158
432,Bard,4,14,False,1,6,19,24796,7824,12,16,3190,3853
76,Nidalee,4,11,False,9,5,9,199393,14177,15,32,3157,4632
39,Irelia,12,4,False,9,11,4,108354,12092,14,159,2033,6630
523,Aphelios,7,4,False,6,5,10,159422,13120,14,204,6671,3085
58,Renekton,12,4,False,1,6,10,109763,9870,14,181,3053,6630
126,Jayce,12,4,True,8,8,12,196648,15815,17,224,3042,3026
497,Rakan,3,4,True,0,6,20,24225,7921,13,39,2065,3860
115,Ziggs,4,12,True,9,6,11,164278,12588,15,169,3157,0
64,LeeSin,4,11,True,9,2,13,169229,12951,15,38,0,6630
106,Volibear,4,14,True,7,4,8,122988,12866,15,169,3157,4633
119,Draven,3,4,False,1,13,4,129528,9335,13,181,3035,3006
30,Karthus,4,7,False,4,9,7,50594,8549,13,35,3191,3853
777,Yone,4,12,False,1,4,4,187091,12151,17,238,3031,6673
54,Malphite,4,14,False,9,10,4,78878,10922,14,125,3076,3135
2,Olaf,4,11,False,5,5,7,225436,13011,15,20,3047,6630
234,Viego,4,11,True,10,3,12,194919,14138,16,66,6632,0
29,Twitch,7,4,True,7,7,15,133371,11776,15,158,1055,3006
517,Sylas,12,4,True,7,7,5,127505,11898,16,177,3157,6656
350,Yuumi,3,14,True,4,2,22,15037,9515,15,9,6617,3853
147,Seraphine,4,14,True,13,1,12,173675,14944,16,219,3102,6655
81,Ezreal,7,4,False,4,7,2,84720,8241,12,153,1055,3042
59,JarvanIV,4,11,False,2,8,4,86733,6238,10,15,2422,2031
143,Zyra,14,4,False,0,8,3,22791,4665,8,26,3853,1026
42,Corki,12,4,False,2,3,4,90491,8327,13,181,3042,2010
164,Camille,12,14,False,2,7,2,51488,6663,12,135,6632,1053
117,Lulu,4,14,True,1,2,16,15290,6483,11,34,2031,2065
58,Renekton,12,4,True,3,1,7,107228,10921,13,144,1083,6630
48,Trundle,4,11,True,14,0,7,155969,12974,14,57,6632,0
13,Ryze,12,4,True,6,5,8,105924,9546,12,137,2033,6656
29,Twitch,3,4,True,9,2,6,91226,10210,12,137,3006,6671
238,Zed,4,14,False,4,3,1,105120,8995,14,195,6693,3158
157,Yasuo,4,3,False,3,7,1,91013,8805,12,185,6673,1018
3,Galio,4,14,False,1,4,6,29195,5499,11,40,3860,3158
131,Diana,4,11,False,1,5,7,144668,8111,13,20,2421,3108
13,Ryze,4,12,False,3,3,4,135912,9694,14,197,1082,3070
61,Orianna,4,12,True,2,4,8,105605,9429,14,192,2033,3157
121,Khazix,4,11,True,3,2,9,139602,9682,14,10,6630,3814
126,Jayce,12,4,True,8,4,4,148464,12736,15,218,6692,3042
81,Ezreal,4,3,True,4,1,13,109859,10946,14,183,1055,2421
497,Rakan,4,14,True,5,1,15,27560,8772,13,42,3860,3111
80,Pantheon,32,4,False,8,9,10,25081,10637,14,10,6692,6676
48,Trundle,32,4,False,0,6,15,17099,9018,14,25,2051,6662
115,Ziggs,7,4,False,9,5,17,70891,10772,15,26,6655,3020
90,Malzahar,4,3,False,3,5,8,31603,9466,14,42,6653,3165
236,Lucian,4,6,False,10,7,11,78995,11891,14,82,3042,6671
18,Tristana,4,7,True,4,9,11,32087,9536,14,22,6672,3046
523,Aphelios,4,14,True,8,6,20,78214,11567,16,63,3184,3006
8,Vladimir,6,4,True,11,5,12,52002,11867,15,35,3152,3112
161,Velkoz,6,4,True,3,6,21,43384,10091,15,25,6655,4637
67,Vayne,1,4,True,6,4,12,38066,11253,15,40,3184,6673
497,Rakan,4,3,False,1,4,1,5429,3636,7,6,3158,3067
164,Camille,12,14,False,4,3,0,40512,6007,10,94,1055,2055
203,Kindred,11,4,False,0,3,0,71520,4514,8,8,1037,1001
523,Aphelios,4,7,False,1,5,1,40429,4559,9,97,1055,2031
134,Syndra,4,14,False,0,3,0,38953,4437,10,113,1026,2031
76,Nidalee,4,11,True,7,1,6,95671,7644,11,7,3157,2055
92,Riven,4,14,True,6,0,4,52340,7565,11,121,6692,3077
78,Poppy,4,14,True,1,2,11,17025,4807,9,22,3047,2031
22,Ashe,7,4,True,3,1,1,54433,6376,10,123,6673,2055
240,Kled,4,12,True,1,2,6,56167,6430,10,114,6630,2031
76,Nidalee,14,4,False,1,10,7,43143,7737,14,47,4633,3115
76,Nidalee,4,14,False,6,9,9,85149,11841,16,93,3020,3157
76,Nidalee,14,4,False,9,8,11,58913,13453,16,57,4636,3100
76,Nidalee,12,4,False,7,5,9,82095,13284,16,107,6632,3026
76,Nidalee,4,14,False,0,0,0,0,4613,9,0,0,0
64,LeeSin,4,14,True,7,6,5,96104,13108,15,63,1036,6692
64,LeeSin,14,4,True,8,5,3,76622,12869,15,52,3111,3074
64,LeeSin,4,14,True,4,5,1,86933,12021,15,104,3074,1055
64,LeeSin,14,4,True,1,4,8,97323,10635,15,53,1055,6692
64,LeeSin,4,11,True,12,3,6,152450,15433,18,21,2055,3091
136,AurelionSol,14,4,True,6,8,11,145088,12514,16,175,3020,3116
126,Jayce,4,12,True,12,5,9,311975,18975,18,296,6695,3158
48,Trundle,4,11,True,13,4,12,236453,18039,18,87,6632,3091
111,Nautilus,4,14,True,1,10,20,29610,8689,15,31,3190,0
69,Cassiopeia,4,3,True,5,7,12,158278,13876,16,211,6653,4629
523,Aphelios,7,4,False,8,6,13,239518,18376,17,254,3031,3140
412,Thresh,14,4,False,3,7,19,22367,9783,14,31,2065,3857
64,LeeSin,11,4,False,13,8,7,185739,14751,16,35,6630,3133
41,Gangplank,4,12,False,6,8,5,203432,13576,17,197,0,3078
13,Ryze,4,12,False,4,8,14,197901,13647,17,201,6656,3157
523,Aphelios,4,1,False,0,5,2,104486,8533,13,214,6673,6676
4,TwistedFate,12,4,False,2,4,5,135987,10500,13,198,6656,2033
126,Jayce,12,4,False,2,4,5,127161,9246,14,182,6692,3042
16,Soraka,4,7,False,0,5,5,8393,5138,10,8,1082,3158
76,Nidalee,4,11,False,6,5,1,111882,9171,12,25,4636,2031
234,Viego,4,11,True,8,2,5,194220,12131,14,22,6632,0
26,Zilean,14,4,True,4,1,9,39029,7827,12,25,3102,3853
62,MonkeyKing,4,12,True,7,3,6,77662,10401,14,149,1054,2420
115,Ziggs,4,12,True,2,1,10,170466,10711,14,220,3040,6653
103,Ahri,4,14,True,2,3,8,98405,8280,14,150,3165,2033
203,Kindred,4,11,True,5,1,6,90873,8240,12,20,2055,2031
164,Camille,12,14,True,4,0,8,82741,9452,13,146,1055,2420
246,Qiyana,4,14,True,6,3,3,78740,7784,12,130,6693,1037
40,Janna,14,4,True,2,2,11,15356,5851,9,6,3853,2065
115,Ziggs,12,4,True,4,3,7,109521,9199,12,155,6655,3020
131,Diana,4,11,False,3,6,1,103698,7041,11,27,1052,2055
147,Seraphine,4,7,False,2,4,4,53963,6190,10,109,3070,3158
44,Taric,4,3,False,1,2,3,18527,5002,9,36,3860,3111
114,Fiora,4,12,False,0,6,0,40717,5344,11,122,3067,6029
41,Gangplank,4,12,False,3,3,4,89436,7916,12,134,3047,3077
875,Sett,14,4,True,5,2,21,38494,9627,14,53,0,3190
246,Qiyana,14,4,True,4,7,17,139402,11256,16,172,6695,3035
56,Nocturne,11,3,True,10,5,16,222652,15172,17,51,3053,3026
24,Jax,4,12,True,8,2,7,145346,13219,17,196,3748,2420
30,Karthus,3,4,True,10,5,15,175496,14796,16,206,3165,3157
64,LeeSin,4,12,False,6,10,10,159700,12701,16,194,2055,3053
3,Galio,4,14,False,0,6,13,17505,6883,12,14,3853,3190
240,Kled,4,12,False,3,6,4,158753,12224,16,246,6630,3181
9,Fiddlesticks,4,11,False,3,8,7,152542,10257,15,40,3157,4636
21,MissFortune,4,7,False,9,7,3,157865,14703,15,196,3026,6672
18,Tristana,4,7,False,2,8,9,178335,11915,15,251,6672,1018
234,Viego,4,12,False,5,8,7,112451,10559,15,159,1054,6632
64,LeeSin,4,11,False,7,6,7,156935,12020,15,47,2055,2420
147,Seraphine,12,4,False,2,7,9,145618,10043,14,195,6653,1011
497,Rakan,14,4,False,3,5,11,20726,7464,12,33,3860,2065
412,Thresh,3,4,True,3,3,20,19000,9069,14,38,3117,2055
106,Volibear,4,11,True,2,4,8,172226,10931,15,25,6632,2055
126,Jayce,12,4,True,16,6,10,193058,17462,17,209,3047,3042
523,Aphelios,4,7,True,2,5,12,139883,12064,15,207,6673,3046
517,Sylas,12,4,True,11,1,9,181612,15366,17,222,6656,3158
131,Diana,4,11,True,7,4,13,182687,12366,15,42,3157,0
157,Yasuo,4,14,True,10,3,7,150285,13864,15,197,3047,6673
266,Aatrox,4,12,True,4,4,8,102322,10061,14,159,3071,1054
45,Veigar,3,4,True,1,4,9,21332,5983,10,42,3158,2031
22,Ashe,4,7,True,6,7,9,60192,9731,12,112,1055,3047
876,Lillia,4,12,False,1,6,5,110206,8655,14,176,0,2420
80,Pantheon,14,4,False,10,7,1,107122,11401,13,165,2033,0
202,Jhin,4,1,False,7,3,9,132322,11125,13,182,6671,2031
64,LeeSin,4,11,False,3,6,10,137673,9116,12,14,3053,3047
43,Karma,4,3,False,1,6,10,14892,5880,10,12,3853,3222
16,Soraka,4,3,True,2,1,5,11676,4995,9,6,3853,2031
245,Ekko,12,4,True,0,1,1,55755,5136,11,121,3152,2033
62,MonkeyKing,4,12,True,3,1,3,42118,5993,11,119,1054,3123
234,Viego,4,11,True,4,1,3,88962,6788,11,7,6632,1033
15,Sivir,7,4,True,1,0,3,72893,6596,10,150,3070,6692
76,Nidalee,4,11,False,0,1,2,83679,4842,9,4,3020,2031
22,Ashe,4,7,False,0,1,2,37131,4505,9,111,3006,1036
114,Fiora,4,12,False,1,3,0,32377,4604,10,105,1054,3070
89,Leona,4,14,False,0,2,2,11276,3311,8,19,3859,0
