champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
141,Kayn,4,32,False,3,13,11,36143,11639,16,18,6691,3111
67,Vayne,1,4,False,14,9,12,117837,15778,18,132,3006,3033
34,Anivia,4,13,False,9,7,18,82213,14032,18,73,3112,2420
35,Shaco,4,14,False,8,5,17,28942,13286,17,6,6653,3158
99,Lux,7,4,False,2,7,20,53884,11718,17,25,6655,3040
72,Skarner,4,32,True,5,7,17,23986,12403,17,13,6632,3158
43,Karma,4,3,True,4,6,24,26538,13368,18,12,3158,6617
127,Lissandra,32,4,True,7,10,17,80743,13857,18,47,6655,4628
222,Jinx,4,6,True,9,5,16,143229,15727,18,141,6673,3006
29,Twitch,4,7,True,14,8,12,97135,14929,18,60,6672,3091
53,Blitzcrank,4,14,True,3,13,29,25463,16274,18,13,8001,3111
134,Syndra,32,4,True,20,15,25,147438,19988,18,79,6655,3020
99,Lux,4,32,True,16,10,38,88051,19898,18,43,6655,3157
145,Kaisa,1,4,True,22,11,26,260476,23273,18,197,3086,3086
202,Jhin,4,7,True,22,9,32,145456,21896,18,88,3072,6671
117,Lulu,3,4,False,3,11,34,54615,16502,18,17,6617,3158
89,Leona,32,4,False,11,20,25,94156,17754,18,29,3068,3047
96,KogMaw,21,4,False,14,15,18,178980,20478,18,125,3036,6672
17,Teemo,4,14,False,20,22,14,121461,21102,18,44,6653,3020
26,Zilean,4,3,False,10,15,27,242345,20750,18,153,3157,4629
63,Brand,4,32,False,5,14,22,67690,11229,17,46,6653,3020
360,Samira,4,32,False,14,15,14,54744,14702,17,38,6673,3006
412,Thresh,4,32,False,4,13,29,32605,10600,17,16,2051,3111
69,Cassiopeia,6,4,False,8,14,19,46977,11546,17,36,6653,3157
145,Kaisa,4,3,False,16,14,13,70666,14480,17,69,6672,6676
143,Zyra,4,14,True,7,9,31,48776,12297,17,25,2033,4637
89,Leona,4,32,True,5,11,23,15525,10622,17,6,3068,3001
39,Irelia,32,4,True,34,14,15,143742,18708,18,131,3086,3086
21,MissFortune,4,7,True,13,7,36,52163,13790,18,22,6653,3020
101,Xerath,4,13,True,11,8,28,47506,12418,18,11,2031,6653
110,Varus,4,13,True,15,8,29,53349,13236,17,32,6694,3158
14,Sion,32,4,True,11,13,28,50352,13655,17,49,6662,3748
50,Swain,32,4,True,26,7,25,92006,16087,18,49,3157,6653
111,Nautilus,32,4,True,4,10,37,25129,11471,18,14,3143,1011
147,Seraphine,4,3,True,6,6,48,41544,12179,18,38,3158,3107
201,Braum,4,32,False,1,16,26,16607,9387,16,6,2051,3111
78,Poppy,32,4,False,12,13,21,66347,13184,16,30,3086,3086
145,Kaisa,4,1,False,8,9,19,86967,12457,16,84,6672,3006
7,Leblanc,32,4,False,19,10,12,61152,14314,17,31,3089,4636
32,Amumu,32,4,False,4,14,17,44495,9899,15,19,3111,3068
238,Zed,4,32,True,8,5,15,27636,9719,13,16,3111,6691
106,Volibear,32,4,True,6,5,14,34884,9958,13,25,4633,3020
104,Graves,4,32,True,6,4,19,47725,9770,13,53,6673,3006
126,Jayce,32,4,True,10,2,19,43113,10942,14,44,3086,3086
36,DrMundo,4,32,True,4,3,19,26009,9286,14,14,2051,3111
44,Taric,4,14,False,1,7,16,20343,7733,13,20,3047,6617
517,Sylas,32,4,False,9,7,7,34284,10766,12,30,3047,6656
432,Bard,4,32,False,1,5,13,28797,7511,13,11,3024,6656
25,Morgana,32,4,False,6,8,11,26466,8275,12,11,6653,3157
56,Nocturne,32,4,False,2,7,10,34910,7980,12,34,6631,3047
3,Galio,32,4,True,6,7,25,26848,10934,15,15,2051,3068
133,Quinn,4,3,True,4,5,20,44094,10278,14,50,6673,3111
51,Caitlyn,3,4,True,14,5,18,50210,12097,15,52,6671,3095
235,Senna,7,4,True,9,5,22,29402,11183,14,16,3177,3111
143,Zyra,4,21,True,7,5,18,31787,10090,15,23,3116,6653
91,Talon,4,32,False,6,11,11,41504,9783,13,31,6630,3070
102,Shyvana,4,32,False,5,10,8,29125,9163,13,24,4636,4629
76,Nidalee,4,32,False,4,9,9,23449,8793,13,19,6655,3020
