champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
350,Yuumi,14,3,True,3,1,21,12076,8868,11,7,3853,6617
23,Tryndamere,6,4,True,4,6,1,87171,8550,13,154,1054,6671
555,Pyke,14,4,True,20,0,3,46287,14842,12,82,6691,3142
15,Sivir,7,4,True,5,4,13,137158,11202,13,187,3508,6671
30,Karthus,4,11,True,1,2,6,158497,8124,13,45,2031,3157
105,Fizz,14,4,False,4,5,2,77041,8262,12,144,2033,1082
81,Ezreal,4,7,False,1,8,1,46714,5779,9,100,1055,6632
20,Nunu,11,4,False,4,7,4,98252,7688,12,34,3157,3152
777,Yone,4,12,False,4,5,3,110582,8849,13,158,6673,3006
432,Bard,4,14,False,0,8,6,10291,4641,9,3,2065,3853
134,Syndra,4,14,False,2,9,9,180641,12627,15,251,3108,3157
22,Ashe,4,7,False,0,5,10,132452,10916,15,197,0,1018
121,Khazix,4,11,False,10,9,4,160233,13585,16,39,6630,2421
53,Blitzcrank,4,14,False,2,4,10,21393,9357,13,36,3109,3860
887,Gwen,12,14,False,10,6,5,259149,18225,18,265,4629,4633
157,Yasuo,4,3,True,7,4,13,286519,18403,18,298,6333,3006
105,Fizz,14,4,True,11,4,9,231223,17617,18,241,3089,3157
41,Gangplank,12,4,True,7,5,9,240982,15258,18,256,3078,6676
412,Thresh,4,14,True,3,3,23,25121,10350,15,39,3190,3857
5,XinZhao,11,4,True,5,8,12,226756,13444,17,81,3091,6630
432,Bard,3,4,False,2,7,9,11865,7079,11,19,3853,3190
102,Shyvana,4,11,False,4,5,8,159905,9960,14,53,4636,3020
498,Xayah,1,4,False,1,10,3,103418,8675,13,174,3508,6671
133,Quinn,4,14,False,9,9,8,124630,12128,15,156,3091,6671
246,Qiyana,14,4,False,7,9,3,97461,10876,14,150,6695,3035
164,Camille,12,4,True,1,8,7,86957,9491,14,142,1055,3078
105,Fizz,14,4,True,14,2,6,120303,14428,15,176,3089,3157
89,Leona,4,14,True,2,5,20,24039,8506,14,28,3860,3190
360,Samira,7,4,True,5,4,8,134119,11184,15,209,1055,6673
234,Viego,11,4,True,18,4,7,167903,15018,16,32,6632,3153
79,Gragas,14,4,False,3,3,7,87404,7923,13,159,1056,6655
133,Quinn,4,14,False,4,11,3,64164,8127,12,120,6673,2031
67,Vayne,7,4,False,7,9,4,87259,10091,13,120,1055,6673
432,Bard,14,4,False,3,8,11,10340,6884,10,8,3117,3114
120,Hecarim,6,11,False,3,8,7,110914,8693,12,35,3047,3044
111,Nautilus,14,4,True,3,3,19,20755,7581,12,22,3859,3190
202,Jhin,4,3,True,7,4,10,100548,10565,13,150,6695,6671
107,Rengar,11,4,True,8,3,8,161783,11289,14,18,3158,6029
147,Seraphine,12,4,True,4,6,15,95540,9259,13,130,3011,6653
39,Irelia,12,4,True,17,4,4,172180,15578,15,210,6632,3053
166,Akshan,7,4,False,6,8,8,151288,13899,14,204,1055,6672
76,Nidalee,4,11,False,3,8,4,150404,9651,14,21,3916,3157
13,Ryze,4,1,False,0,5,13,217300,12406,16,241,2055,6656
98,Shen,4,12,False,6,10,10,117158,12288,16,183,1054,3001
555,Pyke,4,14,False,9,9,8,35761,13490,13,50,3857,3179
60,Elise,4,11,True,7,5,11,114896,11445,15,42,3020,2031
67,Vayne,7,4,True,7,4,9,165340,13855,16,206,6673,1033
37,Sona,4,3,True,2,4,22,22090,9552,15,15,3158,6617
114,Fiora,4,12,True,21,5,8,195268,19362,17,173,6630,3026
127,Lissandra,4,14,True,3,6,16,130217,11690,16,155,3152,3157
412,Thresh,4,14,True,3,6,15,22456,7542,12,32,3117,3857
84,Akali,12,4,True,4,4,13,114889,10861,15,179,1054,1082
58,Renekton,4,12,True,4,6,9,123783,11091,14,163,2421,6630
76,Nidalee,4,11,True,13,3,16,166677,13135,15,22,4636,3135
202,Jhin,4,7,True,15,5,9,145675,14583,14,181,3094,6671
105,Fizz,14,4,False,10,5,5,139044,12782,14,173,3089,3157
875,Sett,14,4,False,2,7,15,56382,7297,12,89,3066,3857
114,Fiora,4,12,False,5,10,10,88328,9256,13,138,6630,3074
64,LeeSin,4,11,False,3,7,12,139893,9203,13,37,3053,2055
37,Sona,4,7,False,4,10,11,38951,8658,12,77,3853,3070
223,TahmKench,4,12,False,3,5,14,98469,11122,16,170,8001,3047
105,Fizz,14,4,False,13,8,4,155989,14595,16,198,3089,3157
106,Volibear,11,6,False,6,6,17,147439,11620,16,32,3157,0
89,Leona,14,4,False,1,5,15,21406,7707,12,33,3860,3190
360,Samira,4,7,False,12,6,7,173068,15543,16,224,3031,6673
122,Darius,6,4,True,10,6,7,157947,14994,17,213,3078,3193
104,Graves,14,4,True,7,7,13,180698,14171,16,197,3134,1037
131,Diana,4,11,True,10,7,12,221813,15818,16,41,3157,1058
12,Alistar,4,3,True,2,7,18,17308,8099,15,40,0,3860
115,Ziggs,12,4,True,1,8,16,154445,11204,16,209,2421,1052
59,JarvanIV,11,4,False,4,5,4,92121,6926,11,15,6630,2031
497,Rakan,3,4,False,1,2,3,17551,5108,9,34,2065,3860
114,Fiora,12,4,False,1,5,2,75905,7146,11,122,3111,6630
555,Pyke,14,4,False,5,6,2,35328,9247,11,103,3133,0
115,Ziggs,4,12,False,0,2,1,95709,6546,11,172,2031,6653
145,Kaisa,7,4,True,0,1,1,71593,6898,11,163,6671,2031
69,Cassiopeia,12,4,True,5,3,9,81889,10333,13,154,1028,3110
89,Leona,4,14,True,1,0,3,17248,5246,10,42,3860,3111
56,Nocturne,11,4,True,4,4,4,146796,8756,13,34,2055,2031
246,Qiyana,14,4,True,10,3,2,73994,9169,12,115,6695,1036
30,Karthus,3,4,True,11,9,9,202235,15242,16,207,3165,3157
18,Tristana,4,14,True,19,5,10,263922,19377,18,224,3031,6672
48,Trundle,4,11,True,5,8,20,148712,12511,16,22,6632,3053
39,Irelia,4,12,True,5,10,10,165175,12573,15,219,2421,3153
89,Leona,14,4,True,0,9,24,20271,8447,14,30,3190,3857
59,JarvanIV,4,11,False,10,7,18,182793,14175,16,44,6630,3143
61,Orianna,4,12,False,8,10,14,173008,14119,17,204,3157,1026
412,Thresh,4,3,False,1,6,23,25817,9155,14,32,3857,3190
223,TahmKench,6,12,False,5,9,13,98213,12694,16,155,3067,3082
67,Vayne,7,4,False,17,8,9,169786,16900,16,187,3091,3143
57,Maokai,14,4,True,3,10,19,32148,9494,14,44,3857,2031
62,MonkeyKing,4,12,True,8,10,10,111917,14396,17,166,1054,6609
67,Vayne,1,4,True,14,6,8,158776,16931,17,175,3143,1038
10,Kayle,4,12,True,10,7,15,177754,17111,18,221,3100,4633
