champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
145,Kaisa,3,4,False,6,6,4,114261,11091,14,205,3006,6671
55,Katarina,14,4,False,1,4,4,97396,8267,13,189,3115,1026
58,Renekton,12,4,False,5,5,6,126865,11330,14,169,3111,0
98,Shen,4,14,False,3,7,6,28356,7164,11,50,3190,3857
154,Zac,11,4,False,3,8,8,105007,8434,12,22,6662,3001
115,Ziggs,12,4,True,5,2,13,174341,12762,15,212,3135,3916
238,Zed,4,14,True,5,4,8,155534,12097,16,239,6692,3071
17,Teemo,4,14,True,9,7,8,123570,12503,16,196,3157,3115
497,Rakan,4,3,True,2,1,18,25353,7642,13,36,2055,3860
254,Vi,11,4,True,9,4,14,217951,13824,16,22,3074,3053
80,Pantheon,14,4,False,2,6,5,33168,6167,10,46,3047,3857
5,XinZhao,4,11,False,7,5,2,123132,9529,12,31,3053,0
58,Renekton,12,4,False,2,4,1,106537,8938,13,193,1054,3053
134,Syndra,12,4,False,1,10,5,57686,6809,11,127,3057,3057
115,Ziggs,4,12,False,2,5,2,68776,6729,11,119,6655,3020
238,Zed,4,14,True,8,5,5,107677,10793,13,143,6691,3071
254,Vi,11,4,True,15,1,5,153868,12445,14,27,3053,3105
432,Bard,4,14,True,2,4,13,13872,7128,11,14,2065,3853
429,Kalista,4,7,True,2,1,5,99312,9135,13,186,6673,2055
17,Teemo,4,14,True,3,3,5,85407,8148,13,170,3157,1026
147,Seraphine,3,4,True,2,4,16,28104,7286,12,24,6617,3853
236,Lucian,12,4,True,7,3,9,105178,10942,15,201,3042,6692
50,Swain,4,7,True,9,5,11,97346,11779,13,171,1058,6653
64,LeeSin,4,12,True,4,3,11,106825,10771,15,176,2055,6630
154,Zac,4,11,True,2,3,9,126007,8770,14,15,6662,3075
2,Olaf,4,11,False,4,4,5,158715,9071,13,22,2055,1028
523,Aphelios,4,7,False,1,9,6,89379,8260,12,167,6673,1055
107,Rengar,4,12,False,6,3,4,116757,11278,14,183,6630,6694
48,Trundle,4,14,False,2,4,9,27237,6394,10,41,3190,3857
268,Azir,12,4,False,5,4,5,91289,9243,13,169,6655,2033
126,Jayce,12,4,False,2,8,5,104075,8189,12,164,1055,6692
147,Seraphine,12,4,False,2,5,3,90556,7670,12,161,1082,6653
64,LeeSin,4,11,False,3,8,2,83582,7702,10,14,0,2031
81,Ezreal,4,7,False,2,6,0,84594,8144,12,150,0,0
37,Sona,4,3,False,0,6,6,12553,4981,10,13,6617,3070
164,Camille,12,14,True,8,5,5,80824,10713,13,135,1054,3078
111,Nautilus,14,4,True,2,0,21,20524,7178,11,28,3859,3190
234,Viego,12,4,True,3,0,9,103690,9809,14,171,6632,3153
76,Nidalee,4,11,True,14,1,3,141482,13226,14,45,3020,3157
50,Swain,7,4,True,6,3,15,108799,10794,14,116,3916,6653
81,Ezreal,4,12,True,9,4,4,121952,10560,14,159,3078,3042
432,Bard,4,3,True,0,4,14,11541,6617,12,12,0,3190
164,Camille,14,12,True,12,2,2,110792,13326,14,165,2421,3074
61,Orianna,12,4,True,4,3,4,124628,10937,15,179,2033,2420
56,Nocturne,4,11,True,5,4,5,133449,9085,13,23,6631,2031
43,Karma,4,14,False,4,6,5,23985,7722,10,15,0,2065
24,Jax,4,12,False,2,6,1,76066,7226,11,135,2033,1001
60,Elise,4,11,False,3,5,8,78276,7275,12,23,3020,2031
236,Lucian,4,12,False,3,8,1,92915,7652,12,159,6671,0
523,Aphelios,4,7,False,5,5,4,98461,10379,12,177,3006,3086
164,Camille,4,12,True,5,7,11,154661,12686,17,199,6632,3074
234,Viego,4,11,True,13,6,7,216493,16392,17,43,6632,3091
412,Thresh,3,4,True,0,14,17,17450,8318,14,40,3190,3857
110,Varus,4,1,True,7,5,12,170178,14121,16,189,3042,2421
134,Syndra,4,14,True,14,8,5,253166,18945,18,301,3135,3157
57,Maokai,14,4,False,3,7,18,51121,9756,14,37,3857,1057
246,Qiyana,4,14,False,13,10,5,175327,15357,17,206,6693,2421
17,Teemo,14,4,False,6,5,3,219667,16037,18,272,1056,3157
60,Elise,4,11,False,7,7,11,165676,12732,16,44,4636,4632
523,Aphelios,4,1,False,11,10,7,238192,15896,16,222,2421,3085
136,AurelionSol,4,14,True,9,2,6,84367,9112,13,134,2033,3070
110,Varus,4,7,True,5,3,8,96324,8882,12,173,6693,0
154,Zac,11,4,True,14,0,10,127683,11325,14,29,6662,1033
235,Senna,21,4,True,3,3,13,20034,7168,11,20,3864,6672
126,Jayce,4,12,True,3,2,8,80583,8536,13,147,3158,6692
236,Lucian,4,12,False,2,6,1,67227,7239,11,144,6671,3133
887,Gwen,11,6,False,4,5,1,115308,7894,12,33,3115,2031
115,Ziggs,12,4,False,2,6,2,93061,7792,11,166,1056,6653
201,Braum,4,14,False,0,8,5,15338,4418,9,22,3105,3859
777,Yone,4,12,False,2,9,0,92005,7359,12,159,6673,1057
234,Viego,11,4,False,2,3,3,37094,4515,8,5,3067,2031
89,Leona,14,4,False,2,3,2,10909,3860,6,20,3859,3067
131,Diana,4,14,False,2,4,3,49740,5476,10,105,1056,1082
134,Syndra,4,12,False,2,5,2,44535,6027,9,105,2033,3020
429,Kalista,4,12,False,0,9,2,38325,4311,9,70,6673,2031
5,XinZhao,4,11,True,9,1,5,84455,8673,11,19,3053,6630
164,Camille,12,14,True,8,0,4,68315,8333,12,103,3057,3078
117,Lulu,3,4,True,1,4,10,12391,5082,8,34,3111,2065
7,Leblanc,4,12,True,6,2,3,35692,6081,11,83,2033,3802
523,Aphelios,4,1,True,0,1,5,57513,6043,9,117,2031,0
523,Aphelios,4,7,True,12,2,7,133417,13225,14,175,3036,6673
43,Karma,4,14,True,4,5,20,32602,8528,12,14,3114,3853
142,Zoe,4,14,True,1,2,7,97573,9258,14,142,2033,3020
64,LeeSin,4,11,True,5,3,10,135207,9908,13,11,6630,2031
126,Jayce,4,12,True,5,4,7,142022,11595,15,192,2055,3042
222,Jinx,4,7,False,3,6,4,109829,9765,13,198,1055,6671
28,Evelynn,4,11,False,7,5,2,114354,9123,12,8,0,3152
412,Thresh,4,14,False,1,7,6,14276,5589,10,36,2031,3857
14,Sion,4,12,False,3,5,5,75406,7642,13,145,8001,3083
62,MonkeyKing,4,12,False,2,4,3,61692,8276,13,146,6695,6630
497,Rakan,4,14,True,2,3,14,18928,7749,12,39,3158,3860
18,Tristana,4,7,True,6,4,5,136059,11620,14,187,3046,3031
13,Ryze,12,4,True,6,2,7,134247,11397,14,164,6655,3040
203,Kindred,4,11,True,8,4,8,158722,11551,14,25,0,3051
164,Camille,12,4,True,6,3,6,86741,10523,15,146,2031,3078
85,Kennen,4,12,False,3,5,2,77405,8780,14,189,2055,3157
141,Kayn,11,4,False,4,8,4,126741,9133,12,28,3158,3070
412,Thresh,4,14,False,2,5,10,18166,6444,11,36,2065,3857
523,Aphelios,7,4,False,7,4,4,107746,11263,13,190,6673,3006
236,Lucian,4,12,False,0,6,2,101089,8153,13,161,6671,2033
36,DrMundo,12,4,False,1,2,4,116756,9037,14,202,6632,3076
236,Lucian,4,12,False,3,3,3,136917,10383,14,226,3042,3035
120,Hecarim,6,11,False,6,8,3,158544,10483,13,28,6632,2031
37,Sona,7,4,False,0,7,3,16927,5188,11,14,3853,6617
235,Senna,4,3,False,0,7,5,44810,6525,11,110,3047,6632
