champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,12,4,False,1,4,0,17735,3501,7,48,1082,2031
497,Rakan,4,3,False,0,4,1,5164,2454,4,10,3117,3858
121,Khazix,11,4,False,1,6,0,21136,2755,5,2,3134,2031
115,Ziggs,4,12,False,1,2,3,30118,3982,7,71,1056,2031
777,Yone,4,12,False,1,9,1,8267,2835,6,23,1055,2031
875,Sett,4,12,True,4,0,5,58109,6706,9,102,2055,2031
107,Rengar,12,14,True,7,0,1,36592,5711,10,99,6029,3142
76,Nidalee,4,11,True,8,0,5,58206,6371,9,18,3145,2031
498,Xayah,7,4,True,4,2,5,48236,5907,9,94,2422,6671
12,Alistar,14,4,True,2,2,10,9492,4285,6,15,2055,3117
157,Yasuo,4,3,True,0,1,0,2619,795,2,7,1054,2031
92,Riven,12,4,True,0,0,0,3189,816,3,8,1055,0
235,Senna,7,4,True,1,1,0,1446,1141,2,0,3862,2031
39,Irelia,4,14,True,0,0,0,4393,1100,3,22,1055,2003
131,Diana,4,11,True,0,0,0,11469,1170,3,0,1039,2031
127,Lissandra,12,4,False,0,0,0,0,669,1,0,2010,0
81,Ezreal,4,7,False,1,0,1,7807,1394,2,17,3070,0
48,Trundle,12,4,False,0,0,0,3637,946,3,13,1055,0
497,Rakan,3,4,False,0,0,2,2571,878,2,3,0,3858
245,Ekko,4,11,False,1,1,1,5173,1413,3,0,1035,2031
53,Blitzcrank,3,4,False,2,14,8,24718,7185,13,27,3004,3190
23,Tryndamere,4,6,False,5,7,8,155064,12259,14,208,1054,2055
104,Graves,4,11,False,8,4,3,186906,12708,15,66,3036,2031
13,Ryze,4,14,False,4,6,4,162235,11120,15,212,6656,1056
164,Camille,14,12,False,3,10,7,105060,10844,14,155,6632,3053
234,Viego,4,11,True,10,4,13,159883,13249,16,29,1028,3133
517,Sylas,12,4,True,11,5,10,116933,12675,16,167,1082,3158
497,Rakan,4,14,True,1,6,25,17659,8781,14,13,3853,4643
147,Seraphine,7,4,True,7,5,16,201759,13512,16,226,3040,6655
777,Yone,4,12,True,11,3,10,236050,16298,17,244,3143,6673
7,Leblanc,4,12,True,6,3,10,110541,11181,14,161,3067,6655
15,Sivir,7,4,True,9,3,9,191964,14131,16,213,1055,6672
432,Bard,4,3,True,1,1,19,24396,8231,13,35,3111,3190
127,Lissandra,4,12,True,1,5,7,122544,9965,14,180,1026,3916
64,LeeSin,4,11,True,8,3,12,167427,13678,15,32,6630,2055
429,Kalista,4,7,False,4,3,7,170844,12973,15,240,3140,1037
98,Shen,14,4,False,1,6,13,24915,7222,11,35,3190,1028
887,Gwen,6,12,False,2,4,5,103699,9083,14,189,3115,2420
120,Hecarim,6,11,False,5,8,7,147940,9807,13,44,6632,3158
13,Ryze,4,12,False,3,4,5,146498,10162,15,186,2033,3040
412,Thresh,14,4,True,2,7,19,32595,9379,14,38,3857,2055
91,Talon,14,4,True,7,6,9,210621,15102,17,228,3071,6630
523,Aphelios,4,7,True,16,2,4,244833,18326,16,234,3139,3026
54,Malphite,4,12,True,3,4,8,69679,8380,14,100,2033,1011
427,Ivern,11,4,True,0,7,11,277860,8553,15,18,2423,6617
131,Diana,4,11,False,4,5,9,207277,11807,15,17,3020,3152
