champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
266,Aatrox,4,12,True,3,3,16,116012,11089,15,173,6630,2055
89,Leona,4,3,True,1,3,19,19991,7416,12,49,3860,3190
110,Varus,7,4,True,5,7,11,93719,10263,13,159,3142,2055
268,Azir,12,4,True,6,4,9,116480,10940,15,184,2033,3157
64,LeeSin,4,11,True,17,1,10,193010,15517,15,24,3047,6630
246,Qiyana,4,14,False,2,3,4,100484,8959,14,155,6693,6695
6,Urgot,4,12,False,1,8,2,107166,8980,14,172,1055,3748
236,Lucian,1,4,False,4,6,8,112565,10907,13,198,3047,6671
875,Sett,14,4,False,4,8,6,31429,7396,10,40,6664,2031
28,Evelynn,11,4,False,7,7,4,120260,9628,13,21,3152,2055
246,Qiyana,14,4,True,6,4,8,110018,11118,15,149,1036,3142
58,Renekton,12,4,True,6,2,12,238672,15045,17,243,6630,0
245,Ekko,11,4,True,8,5,8,211965,13379,16,45,3152,3089
18,Tristana,4,1,True,8,3,8,167323,14450,15,216,1037,3046
59,JarvanIV,14,4,True,1,8,15,31323,8151,13,22,3190,2055
92,Riven,4,14,False,2,9,1,107691,10124,14,190,6630,3071
89,Leona,4,3,False,1,6,8,18678,6727,12,40,2055,3190
7,Leblanc,14,4,False,10,5,3,132947,12649,15,200,4629,6655
64,LeeSin,11,4,False,6,5,9,159962,11285,14,22,2421,6630
81,Ezreal,7,4,False,3,4,7,179540,11825,15,239,3035,3110
115,Ziggs,4,12,False,2,4,1,33410,4188,8,60,3802,3020
106,Volibear,4,11,False,3,4,3,60974,6282,10,27,3047,2420
246,Qiyana,4,14,False,5,4,1,42099,5635,9,81,6029,2031
164,Camille,4,12,False,0,6,2,49030,5201,10,114,3078,2031
412,Thresh,4,14,False,0,4,5,10747,3666,8,26,2055,3117
104,Graves,4,14,True,2,3,2,66139,6041,10,119,1055,6692
59,JarvanIV,14,4,True,3,4,12,12520,5398,8,4,3853,2031
875,Sett,4,12,True,4,2,5,55750,7035,11,82,6630,2031
15,Sivir,4,7,True,5,1,6,80100,8483,11,141,6673,0
245,Ekko,11,4,True,8,0,5,92261,8808,11,18,1001,2031
59,JarvanIV,14,4,True,2,5,13,24545,6443,10,26,3853,2031
164,Camille,14,12,True,9,1,1,86480,9504,13,147,1001,1053
134,Syndra,4,12,True,4,2,7,71034,8007,12,127,2033,3070
22,Ashe,4,7,True,5,4,9,71931,8255,12,124,1055,6673
141,Kayn,4,11,True,14,2,4,132493,11671,12,30,3070,3133
8,Vladimir,4,14,False,6,7,0,35586,7033,10,75,3152,3020
81,Ezreal,4,7,False,2,10,3,19401,5367,9,57,3078,1001
98,Shen,4,12,False,0,6,1,46292,5341,11,120,0,2031
