champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
875,Sett,4,12,True,5,1,8,105964,10341,14,182,6630,3123
32,Amumu,3,4,True,1,5,21,24722,7108,12,33,3047,3860
122,Darius,11,6,True,3,4,16,146340,10853,14,18,3047,6631
67,Vayne,4,1,True,8,2,15,111074,11829,14,187,6673,3091
518,Neeko,12,4,True,13,0,7,139578,12646,15,195,4636,3135
69,Cassiopeia,12,4,False,1,5,1,96558,8353,14,191,3070,6653
360,Samira,4,7,False,3,7,7,92548,9967,12,191,6673,3036
59,JarvanIV,4,11,False,2,5,4,125853,8111,13,17,1028,2031
89,Leona,4,14,False,4,9,5,16027,6896,10,30,3047,3075
36,DrMundo,14,4,False,2,4,0,111580,8681,14,167,8001,6662
3,Galio,32,4,False,5,14,32,55605,13668,18,32,2051,3143
238,Zed,14,4,False,15,16,11,75586,16217,18,62,6691,3111
26,Zilean,4,7,False,6,17,25,66609,14091,18,47,6653,3157
92,Riven,32,4,False,15,15,18,129529,17353,18,70,6630,6694
7,Leblanc,14,4,False,13,14,19,83629,15103,18,55,3157,6655
59,JarvanIV,32,4,True,11,10,46,54102,15420,18,27,6632,3111
10,Kayle,4,21,True,18,12,39,93059,17122,18,82,3006,3115
54,Malphite,4,3,True,12,8,27,46095,14232,18,16,4636,3157
127,Lissandra,32,4,True,18,12,39,127358,17957,18,76,3157,3020
51,Caitlyn,4,32,True,17,12,25,54730,16675,18,31,6691,3042
202,Jhin,7,4,True,3,2,11,40457,8932,13,46,6676,3009
85,Kennen,32,4,True,3,3,16,22340,8789,13,14,4636,2420
12,Alistar,4,3,True,0,6,19,14182,8138,13,12,3068,3047
360,Samira,32,4,True,9,6,6,46733,10189,13,57,6673,3006
55,Katarina,32,4,True,6,4,6,25012,9551,13,24,3112,6632
6,Urgot,4,32,False,3,6,10,49992,8906,13,51,6630,3111
112,Viktor,4,3,False,6,2,9,44276,9734,14,41,3040,6655
432,Bard,3,4,False,3,5,17,25453,8485,14,13,3158,4005
9,Fiddlesticks,4,32,False,2,3,11,10352,7480,11,8,4636,2031
238,Zed,4,32,False,7,5,3,33034,9600,13,27,6691,6676
267,Nami,14,4,True,5,4,19,21804,8799,12,14,3504,2055
39,Irelia,4,12,True,10,8,2,119406,10929,14,162,6673,3153
20,Nunu,11,4,True,13,2,8,139489,11228,14,14,2031,3089
236,Lucian,7,4,True,9,3,7,116264,11099,12,152,1055,3006
55,Katarina,4,14,True,6,6,4,104568,10261,14,169,3748,6632
17,Teemo,14,4,False,3,9,4,73439,8908,13,134,4633,3115
7,Leblanc,14,4,False,4,7,3,26698,6498,12,77,1056,3916
115,Ziggs,4,7,False,0,11,4,54104,5726,11,112,6653,3020
104,Graves,11,4,False,14,7,3,143919,13674,15,42,6692,6695
99,Lux,14,4,False,2,9,4,46651,6632,12,43,3851,6656
142,Zoe,6,4,False,3,8,17,66886,12640,16,35,6655,3916
497,Rakan,4,32,False,5,11,17,18122,12790,17,9,2051,6617
234,Viego,32,4,False,8,11,12,66782,14002,17,62,3153,3111
18,Tristana,21,4,False,8,8,9,79752,14523,17,97,6673,3006
99,Lux,4,7,False,8,4,18,67872,13345,17,29,6655,3020
16,Soraka,21,4,True,1,5,31,20985,11994,17,18,6617,3158
235,Senna,4,7,True,14,5,14,119074,16348,18,104,3177,3042
777,Yone,4,32,True,6,7,16,74399,13170,18,55,3031,6673
143,Zyra,32,4,True,11,9,18,93169,14762,18,61,3020,3112
43,Karma,3,4,True,9,7,27,43521,14006,18,30,3070,6656
350,Yuumi,13,3,True,2,2,38,5133,10123,16,4,6617,6616
51,Caitlyn,21,4,True,19,4,15,64347,14086,16,59,6672,3006
13,Ryze,4,6,True,10,5,21,87949,12170,16,87,6655,3040
25,Morgana,3,4,True,4,8,22,27148,9665,14,18,6653,2010
202,Jhin,4,1,True,9,7,17,35092,10871,14,23,1018,3158
201,Braum,4,32,False,2,8,16,10333,9326,14,5,3190,2031
96,KogMaw,4,6,False,4,9,11,36962,10079,13,39,6673,3091
15,Sivir,3,4,False,5,8,12,53487,10789,14,53,3042,3006
127,Lissandra,4,32,False,12,11,13,59383,11870,15,53,3112,3040
142,Zoe,4,14,False,3,8,10,22222,8934,13,15,6655,4628
81,Ezreal,4,3,False,10,5,5,254739,17694,17,303,3110,3026
3,Galio,12,4,False,4,7,8,158660,12654,16,218,6656,1082
350,Yuumi,7,14,False,1,3,19,26267,9518,15,7,3504,3853
121,Khazix,11,4,False,3,6,7,219570,12402,16,57,3047,2420
266,Aatrox,4,14,False,8,5,5,192511,15016,17,214,6630,6609
25,Morgana,14,4,True,0,7,16,26727,8780,14,22,2065,3853
107,Rengar,12,4,True,5,6,8,234506,16911,18,282,3133,3142
16,Soraka,4,21,True,2,3,15,79383,10674,17,159,3158,0
131,Diana,11,4,True,8,5,16,321075,17878,18,60,3020,3157
51,Caitlyn,7,4,True,11,5,8,290748,18827,17,302,6671,3009
412,Thresh,4,14,True,1,5,16,18368,6600,11,28,3114,3857
51,Caitlyn,4,7,True,11,3,8,176920,14866,14,201,3031,6671
875,Sett,4,12,True,4,3,9,100259,9572,14,149,6630,1055
76,Nidalee,4,11,True,7,4,11,132005,10364,13,42,1082,3157
4,TwistedFate,12,4,True,6,4,14,104385,10671,14,144,6656,2033
81,Ezreal,1,4,False,3,8,4,76401,7546,11,125,3070,6632
7,Leblanc,12,4,False,4,4,4,69744,9079,13,151,3041,6655
64,LeeSin,11,4,False,7,6,8,106834,9764,12,19,3053,6630
164,Camille,4,12,False,4,6,7,83821,9145,13,160,3047,6632
37,Sona,4,3,False,1,5,4,17877,5559,10,24,3158,3853
63,Brand,4,21,True,13,10,24,50047,14866,18,21,1026,3020
10,Kayle,3,4,True,6,6,32,35097,14067,18,37,4633,3115
526,Rell,32,4,True,4,7,36,22701,13659,18,10,3068,3109
112,Viktor,1,4,True,11,8,26,73500,14855,18,58,6655,3020
104,Graves,4,32,True,25,5,20,176928,19765,18,172,6673,3006
107,Rengar,32,4,False,17,19,9,56569,16555,17,31,6691,3508
75,Nasus,3,4,False,7,12,13,84362,13900,18,51,6653,3020
110,Varus,7,4,False,4,4,17,87604,13957,18,75,3111,3142
50,Swain,4,32,False,2,13,17,64441,12435,18,49,6653,3020
236,Lucian,4,13,False,4,11,13,56736,12895,18,65,6673,3006
