champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
104,Graves,11,4,False,13,6,8,225544,16373,16,90,6692,3031
157,Yasuo,12,4,False,6,11,4,210224,14152,16,201,3076,6673
523,Aphelios,4,7,False,7,8,8,160352,13042,15,201,6673,3031
13,Ryze,4,12,False,1,6,9,167804,10466,16,182,6656,2421
412,Thresh,14,4,False,1,10,18,20710,8063,14,28,3860,3190
236,Lucian,4,12,True,4,5,17,229219,14724,17,204,6673,3071
117,Lulu,14,4,True,3,5,22,25063,9630,15,16,3853,3107
35,Shaco,11,14,True,10,5,11,148355,13986,16,56,3143,0
360,Samira,7,4,True,11,9,14,179715,15320,16,184,3047,1038
38,Kassadin,12,4,True,13,5,4,165492,16474,17,213,3041,6656
11,MasterYi,11,14,False,12,7,7,158031,13509,13,29,6672,3091
245,Ekko,12,4,False,2,7,7,112669,8226,13,155,3115,3152
48,Trundle,4,14,False,3,9,8,62142,8182,12,124,1054,3153
235,Senna,7,4,False,1,11,12,35886,7628,11,45,3864,6672
78,Poppy,12,4,False,3,5,11,93073,9302,14,153,6662,2033
103,Ahri,14,4,True,8,2,15,113787,12320,14,166,3020,2421
22,Ashe,4,7,True,5,5,15,89378,10455,13,116,6673,0
39,Irelia,4,12,True,12,4,6,182260,15621,15,231,3026,3153
5,XinZhao,11,4,True,8,4,19,138634,12280,15,40,3026,6630
37,Sona,4,14,True,5,6,27,33441,10192,13,19,3853,2065
37,Sona,4,3,False,1,5,2,14732,5026,9,7,3158,3853
234,Viego,4,11,False,2,2,2,121426,7535,12,19,6673,3047
11,MasterYi,14,4,False,0,4,0,58560,5634,11,115,1055,3091
92,Riven,14,12,False,3,5,1,76781,8080,12,143,1055,3067
202,Jhin,4,7,False,1,3,1,78289,7354,10,156,3134,6671
350,Yuumi,14,3,True,3,1,12,5530,5967,10,1,2065,3851
18,Tristana,7,4,True,2,1,4,70434,6273,11,108,6671,2031
24,Jax,14,4,True,1,3,2,52267,5719,11,112,2033,3078
103,Ahri,14,4,True,3,0,2,87283,7306,13,141,1082,6656
141,Kayn,11,4,True,10,2,6,130082,10037,12,36,6693,3133
875,Sett,4,12,True,5,1,8,105964,10341,14,182,6630,3123
32,Amumu,3,4,True,1,5,21,24722,7108,12,33,3047,3860
122,Darius,11,6,True,3,4,16,146340,10853,14,18,3047,6631
67,Vayne,4,1,True,8,2,15,111074,11829,14,187,6673,3091
518,Neeko,12,4,True,13,0,7,139578,12646,15,195,4636,3135
69,Cassiopeia,12,4,False,1,5,1,96558,8353,14,191,3070,6653
360,Samira,4,7,False,3,7,7,92548,9967,12,191,6673,3036
59,JarvanIV,4,11,False,2,5,4,125853,8111,13,17,1028,2031
89,Leona,4,14,False,4,9,5,16027,6896,10,30,3047,3075
36,DrMundo,14,4,False,2,4,0,111580,8681,14,167,8001,6662
103,Ahri,14,4,True,5,1,4,50128,6621,11,101,3020,2033
89,Leona,14,4,True,0,2,12,16609,5827,9,22,2031,3190
523,Aphelios,4,7,True,8,0,4,80855,9291,10,143,6673,6676
84,Akali,12,14,True,1,1,2,49049,5761,11,114,1056,2031
64,LeeSin,4,11,True,4,1,4,84525,6909,11,9,6630,2031
13,Ryze,12,4,False,2,5,0,35742,4625,9,83,1001,3070
240,Kled,12,4,False,0,2,1,51360,5401,10,96,1055,6630
104,Graves,4,11,False,1,5,0,72903,4913,10,36,6692,2031
235,Senna,4,3,False,0,5,3,8454,3795,7,7,2055,3863
202,Jhin,7,4,False,2,1,1,30365,4776,8,68,2003,6671
141,Kayn,11,4,True,14,5,10,244250,15932,17,42,6691,6694
202,Jhin,4,7,True,12,8,17,140529,14012,15,157,6676,3026
7,Leblanc,4,12,True,7,5,9,91621,11318,16,151,3157,0
39,Irelia,12,4,True,7,7,12,203451,15561,17,238,6630,3026
412,Thresh,4,14,True,3,5,31,20654,10541,14,35,3075,3857
38,Kassadin,12,4,False,11,6,7,132735,13150,16,204,3040,3157
126,Jayce,12,4,False,6,11,12,174929,13338,16,197,6692,6694
22,Ashe,7,4,False,1,8,18,92542,9114,14,158,6673,3091
9,Fiddlesticks,11,4,False,11,8,10,132224,12604,14,21,3157,3020
57,Maokai,4,14,False,1,10,11,34573,6626,11,42,2065,3047
164,Camille,4,12,True,5,3,7,75171,9650,13,134,6632,3074
81,Ezreal,4,12,True,4,3,10,107988,9564,13,180,3042,0
518,Neeko,14,4,True,6,3,4,27588,7064,10,14,3111,3108
3,Galio,4,12,True,4,2,8,81716,8113,13,141,6656,2421
5,XinZhao,11,4,True,3,2,10,128679,9046,14,26,3053,6630
115,Ziggs,12,4,False,1,2,2,102506,7369,11,168,6653,3070
32,Amumu,4,14,False,2,7,3,19534,5494,9,34,4005,3860
64,LeeSin,11,4,False,4,4,2,103789,8278,11,19,3047,1028
106,Volibear,4,12,False,1,5,1,85536,6910,12,140,6662,3071
103,Ahri,14,4,False,4,4,1,93521,8948,13,158,6655,3157
518,Neeko,12,4,True,1,4,11,101138,9849,15,165,3089,1026
360,Samira,4,7,True,10,3,10,156307,14117,15,217,1055,2421
