champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
432,Bard,4,3,False,2,7,10,16563,8161,13,46,3860,2055
30,Karthus,12,4,False,6,13,7,146702,12781,15,200,3135,3157
121,Khazix,4,11,False,7,8,2,217674,13854,16,84,2055,3142
164,Camille,12,14,False,1,9,4,100933,9341,15,179,3047,2420
61,Orianna,4,12,False,5,6,7,173154,12933,17,247,6655,3040
119,Draven,3,4,True,13,7,4,214326,17777,16,218,1018,6673
59,JarvanIV,4,11,True,9,2,18,169546,13699,16,25,6630,2055
126,Jayce,4,12,True,10,3,12,229708,15670,18,243,2421,3142
526,Rell,14,4,True,2,4,17,18166,8232,13,43,3158,8001
4,TwistedFate,12,4,True,9,5,12,158476,14988,16,222,0,6656
166,Akshan,4,12,True,1,3,3,36302,4979,10,86,3006,1042
126,Jayce,4,12,True,2,0,1,65482,7139,11,125,6692,3006
111,Nautilus,4,14,True,1,1,10,14817,5616,8,21,3859,0
28,Evelynn,11,4,True,4,0,3,77264,5924,10,8,3020,3152
119,Draven,1,4,True,8,1,2,80917,10069,9,137,6673,3006
164,Camille,4,12,False,1,3,0,21648,4453,9,67,0,3057
89,Leona,14,4,False,1,5,2,10994,3421,8,30,3859,2031
81,Ezreal,3,4,False,1,2,2,19232,4038,7,68,3070,3044
1,Annie,12,4,False,2,2,1,24204,4135,9,68,2055,2031
234,Viego,11,4,False,0,4,1,36020,3311,7,3,3057,3044
111,Nautilus,14,4,True,4,2,8,28666,6289,10,39,3860,3158
427,Ivern,11,4,True,4,0,13,257669,7989,11,11,3158,4642
23,Tryndamere,4,6,True,8,2,1,66883,8509,12,110,6671,1037
18,Tristana,7,4,True,2,3,4,62490,7404,10,136,3086,1036
240,Kled,12,14,True,12,4,4,111451,12482,12,143,1055,3748
246,Qiyana,4,14,False,5,9,0,52253,6662,10,93,3158,6693
28,Evelynn,4,11,False,2,7,1,68159,5288,10,3,3020,3152
114,Fiora,4,12,False,2,4,2,84135,7752,12,152,6630,3047
201,Braum,3,4,False,0,7,2,16299,4010,9,33,3855,2055
81,Ezreal,7,4,False,2,3,2,52118,5813,9,112,3070,2031
432,Bard,4,14,True,0,1,8,5113,4387,7,3,3851,0
246,Qiyana,14,4,True,4,1,0,43011,5501,9,93,6029,2031
8,Vladimir,4,14,True,6,0,1,68943,7622,11,126,3152,0
81,Ezreal,7,4,True,2,0,2,44902,5528,10,107,3070,6632
9,Fiddlesticks,4,11,True,1,1,7,67414,5093,9,4,2424,1082
166,Akshan,3,4,False,3,3,0,45151,5649,10,117,0,1001
245,Ekko,11,4,False,0,4,3,70007,4712,9,10,3145,2031
22,Ashe,4,7,False,0,3,0,33310,3977,8,89,1053,2031
117,Lulu,3,4,False,0,1,3,4126,3235,7,7,0,3851
114,Fiora,12,4,False,0,2,0,11417,3156,6,51,1054,2031
427,Ivern,4,11,False,2,2,18,348043,9122,13,12,3011,6617
110,Varus,7,4,False,7,7,10,125298,10970,13,197,3142,3042
497,Rakan,4,3,False,2,6,17,25606,7068,12,34,3860,2065
150,Gnar,12,4,False,9,5,12,145675,11629,15,182,3047,6632
3,Galio,12,4,False,4,6,11,128198,10369,14,188,1026,6656
20,Nunu,4,11,True,2,3,17,151886,10774,15,29,6662,3211
266,Aatrox,12,4,True,4,9,7,144494,12281,15,162,3065,3047
18,Tristana,4,1,True,14,1,7,292030,18338,17,268,6672,3086
53,Blitzcrank,14,4,True,1,8,13,21456,8392,12,31,2065,3050
245,Ekko,12,4,True,5,3,7,182791,13581,16,213,3089,3111
89,Leona,14,4,True,0,6,14,23255,7991,14,40,1057,1028
114,Fiora,12,4,True,7,5,4,157199,13799,16,190,1054,6630
245,Ekko,11,4,True,9,5,8,215862,15112,16,43,3152,3102
101,Xerath,12,4,True,7,3,5,164617,12853,15,189,1056,6655
157,Yasuo,4,3,True,1,9,5,161423,11382,15,232,1038,1018
64,LeeSin,4,11,False,9,7,9,143203,11710,14,35,3156,6630
85,Kennen,4,12,False,3,6,11,140986,11654,16,217,3157,3152
3,Galio,12,4,False,3,3,16,111349,10366,14,179,1057,6656
12,Alistar,14,4,False,1,5,20,22132,7096,12,37,2055,3190
50,Swain,4,7,False,12,3,5,134201,13576,15,212,3102,6653
427,Ivern,11,4,True,3,1,10,456034,10328,14,40,3158,6617
412,Thresh,14,4,True,1,4,13,22567,7329,12,34,3067,3801
67,Vayne,3,4,True,7,4,2,121550,11365,14,172,3124,6673
887,Gwen,12,4,True,11,3,6,155673,15503,16,211,3041,3111
39,Irelia,4,12,True,6,5,2,157100,12321,16,215,1055,6630
164,Camille,12,14,False,3,5,3,96797,8783,14,175,3074,6632
131,Diana,14,4,False,2,5,3,129299,10766,14,196,3020,4636
74,Heimerdinger,4,3,False,2,4,6,33008,7073,11,33,3020,2055
22,Ashe,7,4,False,5,6,7,90243,10085,13,159,3006,1042
234,Viego,4,11,False,5,8,7,167450,10932,13,27,3111,2055
523,Aphelios,7,4,True,4,10,11,249094,15014,16,229,3072,3006
427,Ivern,11,4,True,9,3,18,417166,14103,17,46,3158,3107
26,Zilean,14,4,True,2,6,22,68044,10692,17,43,4632,3853
13,Ryze,4,12,True,10,7,4,381955,17694,18,289,3089,6656
164,Camille,14,12,True,7,11,12,158354,13716,17,200,0,2421
50,Swain,4,7,False,13,5,15,206390,17129,17,225,3165,6653
5,XinZhao,11,4,False,5,10,12,229074,13565,17,29,3047,6630
53,Blitzcrank,14,4,False,3,4,24,30303,11436,15,36,3109,3050
7,Leblanc,4,12,False,8,6,11,191146,14960,18,224,0,6655
92,Riven,4,12,False,8,7,7,223525,17328,18,267,6630,3026
61,Orianna,12,4,True,3,3,7,49743,6523,10,121,2033,6655
126,Jayce,4,12,True,4,0,2,85288,8352,11,135,3158,2031
107,Rengar,11,4,True,15,1,7,88246,10470,11,25,6630,2031
498,Xayah,4,1,True,2,3,1,58467,6427,10,124,6671,3006
412,Thresh,14,4,True,0,3,12,8927,4168,7,15,3067,2031
81,Ezreal,4,7,False,3,4,1,45499,5667,9,107,1055,2031
69,Cassiopeia,4,12,False,2,4,1,34639,4835,10,94,6653,2031
32,Amumu,11,4,False,2,7,2,50579,4562,9,10,6653,2031
497,Rakan,4,3,False,0,5,4,8010,3309,7,15,3067,2031
39,Irelia,4,12,False,2,4,0,43386,4831,9,98,2031,6029
89,Leona,14,4,False,0,11,12,16193,6086,11,35,3076,8001
13,Ryze,12,4,False,16,7,6,202189,15902,16,183,6655,3040
92,Riven,4,12,False,5,7,3,97177,10755,15,160,1037,6630
234,Viego,11,4,False,6,7,14,108551,10670,15,20,2421,1031
202,Jhin,1,4,False,0,9,9,82329,7892,12,146,6671,3134
85,Kennen,12,4,True,5,6,3,128464,12020,15,213,3157,3152
103,Ahri,4,14,True,8,2,11,109467,11556,15,168,6656,3157
875,Sett,14,4,True,5,8,20,42131,9373,12,33,6664,3857
67,Vayne,4,1,True,16,3,12,192532,16383,15,173,3124,3139
64,LeeSin,4,11,True,7,8,16,132355,11054,14,17,3071,1037
