champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
141,Kayn,11,4,False,7,8,7,150294,11604,14,46,3158,6630
61,Orianna,12,4,False,10,6,3,161989,13565,17,217,3158,3040
429,Kalista,21,4,False,6,11,10,85112,10955,14,158,3078,3123
89,Leona,14,4,False,3,9,15,22138,7598,13,28,3860,3190
92,Riven,14,4,False,6,12,4,134294,11878,15,209,3071,3053
112,Viktor,12,4,True,18,3,6,162642,15845,17,194,3135,6653
412,Thresh,3,4,True,1,6,22,23452,9088,14,33,3190,3222
157,Yasuo,12,4,True,5,9,10,236594,14336,17,192,1053,6333
131,Diana,11,4,True,12,6,15,209153,15095,17,22,3152,3157
523,Aphelios,1,4,True,10,8,10,127903,13341,15,181,3006,2421
111,Nautilus,4,14,True,2,8,15,25587,7365,12,34,0,3860
203,Kindred,11,4,True,10,10,11,118199,11723,14,24,6672,6676
36,DrMundo,4,12,True,4,5,9,125624,10238,14,187,1054,3068
10,Kayle,12,4,True,12,1,11,147979,15283,16,209,3115,3041
67,Vayne,21,4,True,6,8,14,70911,10873,14,133,3133,2031
22,Ashe,4,7,False,4,7,18,110161,10743,13,165,3006,6673
48,Trundle,11,4,False,4,7,18,83584,9319,12,16,2031,3143
223,TahmKench,4,14,False,7,8,15,23896,9215,11,34,3859,3190
68,Rumble,14,4,False,6,8,6,113709,11386,14,146,3152,3157
13,Ryze,4,12,False,11,4,3,145735,13101,14,178,3158,3001
429,Kalista,21,4,False,0,8,0,35545,4257,8,91,1055,3006
23,Tryndamere,6,4,False,5,2,1,66518,8016,11,127,1054,6672
412,Thresh,14,4,False,1,6,4,11009,4024,8,20,1028,2031
104,Graves,11,4,False,0,5,2,70104,4662,9,9,0,2031
7,Leblanc,4,12,False,2,6,0,35482,4775,9,99,1056,3020
74,Heimerdinger,4,3,True,7,0,9,23802,6662,9,11,2031,2420
13,Ryze,4,12,True,3,2,6,76663,7151,11,136,6656,3070
22,Ashe,4,7,True,4,0,5,56221,6784,10,123,1055,2031
39,Irelia,12,4,True,0,4,4,40882,4410,10,92,2031,6029
64,LeeSin,4,11,True,13,2,5,67619,8674,10,4,0,6630
13,Ryze,12,4,False,2,8,1,254506,12329,16,223,3040,0
