champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
104,Graves,12,4,True,2,4,6,127629,9553,14,175,6692,3142
4,TwistedFate,4,14,True,2,3,13,110517,10313,15,147,3094,3100
412,Thresh,4,14,True,3,3,16,12786,7205,11,22,3855,2055
59,JarvanIV,4,11,True,10,5,15,108312,10901,13,11,6630,3076
202,Jhin,7,4,True,15,2,7,160918,14662,14,179,6671,3009
131,Diana,4,11,False,4,9,6,114057,8546,12,12,1082,3157
37,Sona,14,4,False,1,7,8,12518,5685,10,14,3853,2055
126,Jayce,4,12,False,2,6,5,87612,8181,12,156,6692,3133
518,Neeko,12,4,False,7,4,4,79980,9719,13,136,4636,2420
498,Xayah,1,4,False,3,6,3,101315,8594,12,181,3006,2031
7,Leblanc,4,12,True,16,1,6,122377,13822,16,169,3102,6655
201,Braum,14,4,True,0,2,22,24791,7259,12,36,3857,3190
202,Jhin,7,4,True,6,5,9,113887,10622,14,169,2055,2031
48,Trundle,4,12,True,4,3,6,120386,11114,15,176,3047,6632
59,JarvanIV,4,11,True,7,2,13,144067,11125,14,16,6630,0
157,Yasuo,12,4,False,0,6,4,156643,8676,14,189,1055,6333
267,Nami,14,4,False,1,6,7,13764,5981,10,13,4005,3853
104,Graves,4,11,False,7,7,3,138783,10132,13,32,2031,0
4,TwistedFate,12,4,False,1,7,5,108309,8771,13,169,6656,3157
15,Sivir,7,4,False,4,7,1,131934,10343,13,211,1055,6672
517,Sylas,4,12,False,5,6,6,55632,7365,11,101,3158,3108
11,MasterYi,12,4,False,2,6,0,86959,7045,13,128,1054,6672
104,Graves,4,11,False,1,7,7,102323,6784,11,28,2055,6673
236,Lucian,7,4,False,7,7,1,82268,8995,11,149,1055,1036
432,Bard,4,14,False,2,5,12,12544,6509,10,25,3190,3076
40,Janna,14,4,True,1,4,15,17386,6896,11,12,4642,3853
223,TahmKench,12,4,True,4,1,5,80339,8673,13,125,1054,2031
4,TwistedFate,4,14,True,9,3,7,90194,10138,13,134,3057,4629
202,Jhin,7,4,True,10,4,9,114269,11237,12,146,1038,2031
59,JarvanIV,4,11,True,7,5,11,135859,11033,13,22,6630,3053
126,Jayce,4,12,True,13,5,12,218572,17524,18,208,6692,3142
43,Karma,14,4,True,4,8,14,26972,10605,14,22,3916,3158
236,Lucian,4,7,True,7,4,10,189671,14903,17,223,6671,3036
121,Khazix,11,4,True,6,9,9,209706,13375,17,33,3134,3142
13,Ryze,4,12,True,14,6,10,336670,19130,18,247,3102,6656
134,Syndra,4,12,False,5,7,8,187464,13457,17,237,3089,4629
104,Graves,4,11,False,8,10,11,230339,15048,17,115,6692,3142
497,Rakan,14,4,False,2,9,19,19035,8859,14,35,3860,3107
