champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
432,Bard,4,14,True,3,4,18,26509,8637,14,40,3190,3860
254,Vi,11,4,True,5,2,7,180158,11538,15,32,6632,1036
39,Irelia,14,4,True,11,7,2,144683,13992,15,208,3053,2420
99,Lux,12,4,True,5,7,12,96174,9931,15,139,6655,1056
18,Tristana,3,4,True,11,2,4,126875,12663,14,171,3006,1055
555,Pyke,4,14,False,5,9,3,18001,8424,11,27,3117,6693
122,Darius,6,4,False,2,9,0,89148,8990,13,165,3078,3047
166,Akshan,4,14,False,8,5,5,145844,12662,14,181,3031,1029
121,Khazix,11,4,False,4,4,9,153321,10776,14,30,3111,0
45,Veigar,4,12,False,3,8,4,110205,10092,13,168,1058,3020
164,Camille,12,4,False,6,4,3,84652,11273,13,152,6632,3053
111,Nautilus,14,4,False,1,6,11,32113,6645,11,41,3860,3190
28,Evelynn,11,4,False,4,8,7,116521,9634,13,9,4630,3152
360,Samira,7,4,False,2,6,5,72995,8888,12,153,1055,6673
39,Irelia,12,4,False,7,8,5,125712,11917,14,207,3153,6632
147,Seraphine,4,3,True,2,4,16,26426,8628,12,29,6617,3853
9,Fiddlesticks,11,4,True,4,1,11,142408,10758,14,34,3157,3020
48,Trundle,12,4,True,4,5,4,92594,9279,14,140,6632,3111
22,Ashe,4,7,True,2,5,11,74296,9142,13,135,1055,6673
126,Jayce,4,12,True,20,5,6,177497,15539,15,168,6692,3142
39,Irelia,12,4,False,1,7,1,46299,5584,9,113,3153,1036
9,Fiddlesticks,11,4,False,4,5,2,72260,7022,10,24,2424,3020
37,Sona,4,3,False,1,3,2,13593,5011,9,20,3853,3158
202,Jhin,4,7,False,0,5,2,42048,4682,9,93,3009,0
127,Lissandra,4,12,False,0,5,4,71362,5583,10,128,6656,3158
32,Amumu,4,14,True,4,1,10,16777,6391,9,38,3190,3859
131,Diana,4,11,True,5,1,5,120175,8462,12,34,3111,3152
523,Aphelios,4,7,True,5,1,3,79146,8741,11,142,6673,2055
157,Yasuo,14,4,True,7,1,5,112217,10228,12,147,1038,1055
266,Aatrox,4,12,True,4,2,9,74101,8372,13,101,1054,6630
141,Kayn,11,4,True,14,5,10,244250,15932,17,42,6691,6694
202,Jhin,4,7,True,12,8,17,140529,14012,15,157,6676,3026
7,Leblanc,4,12,True,7,5,9,91621,11318,16,151,3157,0
39,Irelia,12,4,True,7,7,12,203451,15561,17,238,6630,3026
412,Thresh,4,14,True,3,5,31,20654,10541,14,35,3075,3857
38,Kassadin,12,4,False,11,6,7,132735,13150,16,204,3040,3157
126,Jayce,12,4,False,6,11,12,174929,13338,16,197,6692,6694
22,Ashe,7,4,False,1,8,18,92542,9114,14,158,6673,3091
9,Fiddlesticks,11,4,False,11,8,10,132224,12604,14,21,3157,3020
57,Maokai,4,14,False,1,10,11,34573,6626,11,42,2065,3047
92,Riven,14,4,True,4,3,4,120925,11610,15,181,6333,6630
234,Viego,4,11,True,5,5,7,167758,10788,15,20,3153,6673
51,Caitlyn,4,7,True,14,3,9,186133,15157,15,205,3006,6673
246,Qiyana,14,4,True,8,8,0,113822,10739,14,137,3035,6693
267,Nami,4,14,True,7,6,22,22116,10947,14,4,4005,3158
12,Alistar,14,4,False,2,7,10,17607,6101,11,25,3857,3117
266,Aatrox,4,12,False,8,7,4,92767,11004,14,168,6630,3047
99,Lux,12,4,False,5,6,7,93441,10081,14,160,3157,6655
104,Graves,4,11,False,6,11,3,147429,9753,13,72,2422,3134
498,Xayah,4,7,False,4,7,6,87248,9282,13,160,3006,6673
81,Ezreal,1,4,True,4,1,6,56550,7387,10,126,1055,1001
103,Ahri,4,14,True,4,0,4,37228,6306,10,85,1056,6656
43,Karma,4,3,True,4,2,4,19845,4886,8,7,3851,2031
64,LeeSin,11,4,True,4,1,7,71320,6604,10,6,2055,2031
39,Irelia,12,4,True,4,1,2,75993,7023,12,138,2033,3076
202,Jhin,4,7,False,2,4,1,38522,5148,8,108,1055,3009
107,Rengar,14,4,False,1,5,0,43520,4377,10,88,3076,1001
163,Taliyah,11,4,False,0,3,0,88183,5001,9,2,3802,2031
89,Leona,4,14,False,1,4,1,9113,3708,7,21,3859,3117
157,Yasuo,4,14,False,1,4,1,51559,5223,10,101,1055,2031
266,Aatrox,4,12,True,3,4,7,110203,9630,15,169,6630,6333
3,Galio,12,4,True,5,4,11,119309,10027,15,158,2033,3157
18,Tristana,7,4,True,8,5,11,126006,12623,14,174,6672,3006
267,Nami,4,14,True,2,6,18,14401,7895,13,3,4005,3114
76,Nidalee,4,11,True,8,3,11,158512,12907,15,40,0,3157
777,Yone,4,12,False,6,6,3,168872,12599,15,233,2420,3031
245,Ekko,11,4,False,3,3,4,188491,9887,14,24,1052,0
164,Camille,12,14,False,6,6,2,111733,11011,15,191,1055,3078
412,Thresh,14,4,False,0,8,14,20293,6847,12,23,3158,3190
202,Jhin,4,7,False,7,3,6,123917,11853,13,202,6671,2420
523,Aphelios,4,7,True,4,2,3,91030,8983,12,191,6673,6676
245,Ekko,11,4,True,10,0,3,145081,9986,13,9,2031,3089
517,Sylas,12,4,True,5,2,7,94045,9950,13,161,3108,6656
164,Camille,4,12,True,7,2,3,73911,9488,13,163,1055,3078
89,Leona,4,14,True,0,3,8,12306,5082,9,28,3117,0
163,Taliyah,4,11,False,2,5,1,86964,6930,11,4,0,0
202,Jhin,4,7,False,3,3,1,58262,6315,10,119,1055,3009
161,Velkoz,4,3,False,0,4,1,18904,4635,9,29,2055,2031
38,Kassadin,12,4,False,1,5,0,59522,5689,11,123,3020,2421
17,Teemo,14,4,False,3,9,0,45515,6056,11,107,2031,3115
360,Samira,7,4,True,1,5,10,79081,9101,12,155,1055,6673
121,Khazix,11,4,True,12,2,7,137612,11568,14,28,3158,3142
526,Rell,14,4,True,4,4,15,23681,7695,12,27,8001,3860
23,Tryndamere,6,4,True,6,4,8,115737,11941,15,153,1054,6675
131,Diana,14,4,True,9,1,11,160092,13907,15,180,3020,4636
11,MasterYi,11,14,False,6,9,4,91570,8316,11,20,6672,3124
134,Syndra,12,4,False,0,5,7,79639,6563,12,157,1056,6655
