champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
412,Thresh,4,14,True,1,3,17,21962,8116,12,36,2055,3857
142,Zoe,4,12,True,6,0,12,118698,11933,15,180,3041,2420
126,Jayce,4,12,True,3,7,3,121065,9462,14,178,3158,3042
104,Graves,11,4,True,6,5,13,165974,12079,16,54,3142,3009
119,Draven,7,4,True,16,2,4,208418,19041,15,193,3031,6673
23,Tryndamere,4,6,False,4,6,4,128838,11102,14,174,6671,3006
245,Ekko,4,11,False,3,8,4,165810,8981,13,15,3100,3152
164,Camille,12,14,False,8,5,5,110485,11431,15,158,1055,3074
432,Bard,4,3,False,1,8,5,14725,5818,10,30,3860,2055
81,Ezreal,4,7,False,1,5,4,99359,9661,13,203,3078,2055
114,Fiora,4,12,False,6,6,0,78809,8747,13,151,3070,0
64,LeeSin,4,11,False,5,9,4,88266,7999,11,58,2031,3814
1,Annie,4,12,False,4,8,1,60192,7327,12,137,1056,3020
37,Sona,4,3,False,2,8,8,22845,7296,10,59,3853,3011
89,Leona,14,4,False,1,5,7,22877,5243,10,32,2055,3190
9,Fiddlesticks,4,11,True,5,2,5,125974,8724,13,16,3020,6653
27,Singed,14,4,True,3,9,5,85044,8254,12,126,3152,3116
104,Graves,4,12,True,13,1,6,167581,14301,15,194,0,3036
497,Rakan,14,4,True,5,4,20,19616,8856,12,9,3041,6656
236,Lucian,7,4,True,10,3,6,121319,12370,13,177,1055,6673
222,Jinx,4,7,False,7,4,12,208266,14989,16,227,3036,6671
1,Annie,4,12,False,7,11,9,139617,12733,16,172,3135,3157
234,Viego,11,4,False,7,10,13,158503,13578,15,44,2421,3091
92,Riven,12,4,False,3,6,13,197616,14635,17,216,6694,6630
412,Thresh,4,14,False,6,7,19,24463,10732,15,34,3117,3857
526,Rell,14,4,True,1,8,17,17901,8506,14,30,3157,3860
523,Aphelios,3,4,True,9,5,12,238677,17507,18,245,3026,6676
