champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
119,Draven,4,7,True,3,5,12,89993,9714,13,135,1055,3123
777,Yone,12,4,True,7,5,7,152430,11869,15,159,1055,3031
7,Leblanc,14,4,True,13,1,5,101699,13539,15,178,6655,2033
64,LeeSin,11,4,True,18,4,8,131285,13901,14,37,3133,3053
89,Leona,14,4,True,1,5,20,29413,7170,12,31,3111,3857
245,Ekko,11,4,False,5,8,3,111123,8197,13,67,1043,0
350,Yuumi,14,3,False,4,8,10,12175,7484,11,6,3853,1082
51,Caitlyn,7,4,False,5,9,4,78086,9465,11,119,6671,1001
127,Lissandra,4,12,False,2,10,9,64899,7083,12,109,1056,6656
875,Sett,4,12,False,3,7,2,65455,8089,12,113,1055,6630
267,Nami,4,3,True,1,3,30,18167,8050,14,8,3853,2065
238,Zed,14,4,True,12,4,6,163471,14202,16,212,2031,3142
150,Gnar,4,12,True,11,3,14,140435,13779,15,158,3053,3742
76,Nidalee,11,4,True,8,2,14,191599,11749,15,25,4636,2420
29,Twitch,7,4,True,7,4,12,108694,11593,14,169,6671,1055
497,Rakan,14,4,False,0,8,10,18501,5869,11,41,3860,1082
102,Shyvana,4,11,False,5,9,4,153839,11096,13,40,3020,4636
145,Kaisa,4,7,False,7,4,4,130910,12973,15,227,3091,6676
164,Camille,4,12,False,2,11,5,54866,7129,12,117,6632,3044
127,Lissandra,12,4,False,2,7,5,100991,8911,13,189,3157,6656
18,Tristana,4,7,True,5,2,3,111005,9158,11,131,6672,3006
203,Kindred,12,4,True,10,4,9,99382,10577,13,124,6671,3111
82,Mordekaiser,4,12,True,6,7,3,77037,7705,13,112,3047,6662
131,Diana,4,11,True,12,1,6,165265,10964,14,30,3020,1082
350,Yuumi,14,3,True,1,1,16,9222,6695,11,6,3853,1082
28,Evelynn,4,11,False,11,3,4,100259,11275,13,19,3152,1082
12,Alistar,14,4,False,0,10,1,13299,3871,9,23,2055,2031
119,Draven,4,7,False,0,8,2,49545,5543,10,110,1055,6673
164,Camille,14,12,False,1,5,6,77153,8090,12,158,1055,1011
4,TwistedFate,4,12,False,3,8,5,70106,7829,11,119,6656,2033
266,Aatrox,12,4,True,4,11,13,126427,11042,16,158,6630,3047
360,Samira,7,4,True,26,8,12,213763,21543,16,204,3026,3047
59,JarvanIV,11,4,True,5,11,26,112717,11125,15,46,2055,6630
497,Rakan,14,4,True,0,8,39,36023,10099,15,48,3860,3158
