champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
64,LeeSin,11,4,True,8,2,14,162355,12355,15,25,6630,2055
101,Xerath,4,12,True,5,4,11,136032,11781,15,201,1056,6655
67,Vayne,7,4,True,12,6,8,126637,14005,14,146,1055,6673
412,Thresh,4,14,True,4,5,21,19408,9294,13,29,0,3190
777,Yone,4,12,True,5,3,7,172585,13221,15,202,3091,2420
15,Sivir,4,7,False,5,8,3,160854,11131,12,222,1055,3508
5,XinZhao,4,11,False,4,10,4,118625,9233,13,36,3047,3053
131,Diana,4,14,False,5,7,2,106066,10522,13,159,3089,1082
98,Shen,4,14,False,5,4,6,91491,9680,14,159,3143,6662
350,Yuumi,3,14,False,1,5,9,9182,6691,11,6,2065,2055
43,Karma,14,4,False,1,4,3,17942,4309,8,19,1082,2065
236,Lucian,4,7,False,1,4,4,50472,5789,9,122,6671,2031
59,JarvanIV,4,11,False,5,3,0,66221,6797,10,16,0,6630
114,Fiora,4,12,False,1,2,1,37290,5621,11,114,1054,6630
31,Chogath,4,12,False,0,3,1,55003,4677,10,115,3145,3020
13,Ryze,12,4,True,1,2,7,106601,8722,12,166,3020,2420
497,Rakan,14,4,True,3,1,9,7322,5762,9,4,2065,3851
235,Senna,4,7,True,2,2,5,40288,6450,10,100,6672,1042
41,Gangplank,12,4,True,1,1,0,73366,6546,11,138,2033,3123
245,Ekko,11,4,True,9,2,4,105786,8392,11,19,3020,3113
203,Kindred,4,11,True,23,2,6,180703,15175,15,54,1055,3047
223,TahmKench,12,4,True,2,5,12,72620,8813,12,103,1054,2031
267,Nami,4,14,True,5,4,13,8794,7277,10,4,3067,4642
50,Swain,3,4,True,7,5,11,81071,9316,12,118,3157,6653
166,Akshan,4,14,True,7,2,7,85773,10153,12,128,0,2031
13,Ryze,12,4,False,6,12,1,65645,8051,11,121,3158,3070
517,Sylas,12,4,False,3,7,4,67460,7025,12,124,3158,2055
235,Senna,4,21,False,4,8,3,38579,6682,10,26,3123,3009
202,Jhin,4,7,False,5,7,6,55430,7396,9,90,1055,6671
5,XinZhao,4,11,False,0,10,6,62189,5109,10,20,2422,6630
75,Nasus,12,4,True,36,0,12,176724,15424,16,167,4636,3158
55,Katarina,14,4,True,9,2,8,37846,7069,11,35,1055,3115
80,Pantheon,4,7,True,5,1,14,45206,7078,13,54,1056,1001
103,Ahri,6,7,True,0,3,2,27912,5003,8,33,3070,6656
32,Amumu,4,11,True,10,1,2,162772,10911,14,10,0,2031
21,MissFortune,0,0,False,4,12,0,33857,6601,9,71,1055,6671
48,Trundle,0,0,False,0,12,0,13893,3944,9,42,2033,3047
13,Ryze,0,0,False,0,18,1,21269,3888,9,40,3070,3802
44,Taric,0,0,False,1,9,3,15842,5059,10,38,3857,3047
31,Chogath,0,0,False,0,9,0,17318,3601,9,30,2033,1029
147,Seraphine,14,4,True,8,0,20,51384,8774,12,39,3853,6617
235,Senna,4,7,True,16,0,7,65169,10763,13,87,4633,3116
103,Ahri,6,7,True,1,2,10,21993,4482,10,22,1056,3802
104,Graves,4,11,True,12,0,1,164563,10781,14,11,2055,3006
64,LeeSin,12,4,True,22,1,18,84136,11024,13,92,1055,6630
21,MissFortune,0,0,False,0,12,1,35072,4258,9,74,1055,3134
19,Warwick,0,0,False,2,13,0,12998,4657,9,38,1055,3047
13,Ryze,0,0,False,1,11,0,22509,3752,9,44,2033,3802
44,Taric,0,0,False,0,17,2,14163,3757,8,33,3859,3070
89,Leona,0,0,False,0,6,2,12562,3580,9,27,3859,3117
51,Caitlyn,4,7,False,6,10,10,117961,11413,15,173,1055,6691
60,Elise,4,11,False,9,10,8,120207,11323,15,25,3165,3157
154,Zac,12,4,False,8,2,13,121015,12628,17,164,3075,6662
104,Graves,14,4,False,9,7,6,171579,13552,17,212,6692,3006
412,Thresh,4,3,False,3,8,12,26118,8531,13,32,3190,2055
222,Jinx,7,4,True,14,9,9,233090,15876,16,198,3036,3046
85,Kennen,14,4,True,6,8,13,39565,10219,13,26,3152,3157
5,XinZhao,12,4,True,2,9,8,157513,11981,16,213,1055,3071
875,Sett,4,6,True,8,5,13,155856,14062,17,204,2420,6631
79,Gragas,11,4,True,7,6,14,156681,11981,15,34,4636,3157
107,Rengar,4,11,False,5,13,6,58980,8069,11,40,3047,6630
523,Aphelios,7,4,False,8,11,3,67058,9628,12,112,1055,6673
55,Katarina,14,4,False,4,8,5,84160,8036,13,115,1029,3115
412,Thresh,3,4,False,2,8,14,21261,6242,12,34,3190,3857
54,Malphite,4,12,False,6,11,6,52853,8431,12,55,3068,3047
119,Draven,7,4,True,9,8,8,123604,11699,13,127,3031,3508
80,Pantheon,14,4,True,7,2,5,52197,8584,11,57,6692,3857
517,Sylas,12,4,True,16,5,8,127437,13314,14,154,6655,4629
122,Darius,4,6,True,6,5,2,139998,10944,14,138,3133,3053
64,LeeSin,11,4,True,13,5,10,123059,12230,13,39,3053,6630
16,Soraka,4,3,True,1,1,15,20634,6776,11,6,3853,2055
68,Rumble,4,14,True,4,1,8,91279,9864,13,147,3152,3157
30,Karthus,4,11,True,6,0,4,147552,9131,13,28,3041,2421
110,Varus,4,7,True,10,1,5,109233,11115,11,186,2055,6691
238,Zed,4,14,True,3,2,4,72042,7751,12,147,2055,2031
122,Darius,6,4,False,0,5,1,73793,6866,12,152,1054,1033
115,Ziggs,3,4,False,1,2,1,110781,8297,13,194,3020,3070
202,Jhin,4,7,False,1,5,0,61922,6483,10,109,1042,6671
28,Evelynn,4,11,False,3,5,1,94833,6938,12,12,1082,3020
235,Senna,3,4,False,0,7,3,8920,4855,8,11,2055,0
202,Jhin,4,7,True,12,5,13,188221,15361,16,199,6671,1018
59,JarvanIV,4,12,True,15,5,13,145889,16157,17,186,6693,2421
101,Xerath,12,4,True,1,5,20,117258,10744,16,164,1056,3040
2,Olaf,4,11,True,14,9,12,197544,16558,16,51,3053,6630
89,Leona,14,4,True,1,8,18,18230,8357,14,42,3190,3860
134,Syndra,4,12,False,7,9,5,175372,12848,15,222,3157,6655
201,Braum,4,14,False,1,8,15,25045,8350,13,34,3111,3857
236,Lucian,4,1,False,6,12,5,179152,14812,14,203,6692,6676
518,Neeko,12,4,False,11,6,2,151351,13889,16,194,4636,3157
5,XinZhao,4,11,False,7,8,9,155254,11518,14,36,1031,6630
64,LeeSin,11,4,True,17,3,23,184642,17065,17,45,3026,6630
55,Katarina,4,14,True,15,10,12,94304,12961,15,143,3152,3157
412,Thresh,3,4,True,1,6,32,22321,8629,14,37,3857,3190
41,Gangplank,12,4,True,11,4,10,186281,13884,16,166,2033,3508
498,Xayah,4,7,True,9,6,18,145033,12898,15,184,3508,6671
9,Fiddlesticks,4,11,False,6,13,10,119660,11072,14,16,1082,3157
18,Tristana,4,7,False,8,10,9,126750,11951,14,179,3006,3123
157,Yasuo,4,14,False,10,7,6,198866,14455,17,230,1055,3026
12,Alistar,4,14,False,3,12,18,21216,8100,13,28,3860,3158
85,Kennen,4,12,False,2,11,8,81564,8717,14,165,3152,3157
