champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
5,XinZhao,11,4,False,2,6,4,142079,9005,12,42,3047,6630
202,Jhin,4,7,False,9,7,3,162588,13282,14,189,6671,6676
48,Trundle,14,12,False,3,4,6,112353,11093,15,166,3047,6632
7,Leblanc,4,14,False,2,5,3,82303,8556,14,161,6655,3157
432,Bard,3,4,False,1,3,10,27425,7478,12,31,3067,3853
164,Camille,12,14,True,3,3,7,91471,10876,15,160,1054,2421
40,Janna,4,14,True,1,4,20,19266,9058,12,23,0,3853
141,Kayn,11,4,True,12,5,3,275570,16010,17,82,3158,3042
115,Ziggs,4,12,True,6,4,7,192391,12127,14,178,3040,3157
777,Yone,4,14,True,3,2,12,133597,11387,15,201,0,3006
238,Zed,4,12,False,2,9,3,96287,8070,13,160,6693,6695
64,LeeSin,4,11,False,7,4,4,114700,9310,12,74,2055,3071
57,Maokai,14,4,False,2,5,15,26553,6101,11,24,3859,1029
119,Draven,4,7,False,13,5,7,174638,14669,14,206,1037,1037
92,Riven,14,12,False,1,8,10,58076,7549,13,105,1054,1053
141,Kayn,11,4,True,16,3,9,180931,16047,15,58,3047,6630
523,Aphelios,4,7,True,1,8,4,114611,8378,12,160,1055,6673
32,Amumu,3,4,True,1,9,14,25211,7643,12,33,3047,3190
268,Azir,12,4,True,9,4,5,150284,12256,15,170,3115,3157
157,Yasuo,4,3,True,4,2,7,163955,11513,15,225,6673,1055
516,Ornn,12,4,True,7,4,8,82109,9047,13,121,3001,7005
51,Caitlyn,7,4,True,11,3,11,111693,12111,13,151,1055,3094
59,JarvanIV,4,11,True,4,4,21,143487,10939,14,16,6630,3143
412,Thresh,4,3,True,4,5,20,16264,8085,12,32,2065,2055
268,Azir,12,4,True,9,4,9,142981,13379,15,188,3040,3157
117,Lulu,4,3,False,1,7,13,14609,6751,12,28,3158,3860
64,LeeSin,4,11,False,5,10,4,123594,10029,13,33,2055,3071
85,Kennen,12,4,False,8,7,4,97854,10715,14,157,1082,3135
777,Yone,4,14,False,1,5,4,109512,8217,13,165,6673,1054
498,Xayah,4,7,False,5,7,6,113904,10047,13,163,1055,3006
