champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
523,Aphelios,4,7,True,3,1,2,96549,9873,11,166,0,6673
10,Kayle,4,12,True,4,2,4,95215,8911,13,151,1056,3115
412,Thresh,4,14,True,2,3,7,15994,5928,10,25,3190,2031
23,Tryndamere,6,4,True,6,2,1,118028,10645,14,159,1055,6671
234,Viego,4,11,True,7,0,5,97378,9301,12,29,0,6632
84,Akali,12,14,False,3,6,2,68620,6512,11,139,4633,2031
18,Tristana,4,7,False,0,2,2,52577,5734,10,132,1055,6672
64,LeeSin,11,4,False,3,5,1,76737,6240,10,13,6692,2055
517,Sylas,4,12,False,1,8,1,41265,4769,9,87,1082,2031
37,Sona,4,3,False,1,1,4,11085,4837,9,15,3853,3070
37,Sona,3,4,True,4,4,18,20984,8851,12,12,3853,6617
875,Sett,4,12,True,2,6,5,87379,8984,13,130,1055,6630
48,Trundle,4,11,True,6,1,15,140829,12427,14,44,2055,3075
67,Vayne,4,7,True,6,3,11,86701,10599,13,152,1055,6677
38,Kassadin,14,4,True,8,4,4,85063,9559,13,143,0,3070
154,Zac,4,11,False,2,5,6,121120,8196,12,20,6662,3158
1,Annie,4,12,False,9,2,1,98737,10774,15,182,4628,6655
164,Camille,14,4,False,2,8,0,83824,8349,12,164,3077,1037
15,Sivir,4,7,False,2,7,7,110921,8940,11,179,3508,3123
235,Senna,4,3,False,3,4,7,39811,7714,11,13,3864,6632
161,Velkoz,4,3,True,1,6,18,75775,9996,16,63,3853,3165
517,Sylas,4,12,True,4,13,6,130288,12006,16,186,3157,6656
104,Graves,4,11,True,17,6,8,308727,19803,18,77,6692,3156
78,Poppy,12,4,True,8,5,11,141007,13156,17,168,2033,6632
81,Ezreal,7,4,True,6,8,14,181441,14856,17,238,3091,6632
39,Irelia,4,14,False,8,7,7,204968,15671,17,238,2033,3026
497,Rakan,4,14,False,4,10,17,29901,10405,14,19,3853,2065
43,Karma,4,12,False,0,6,13,110997,10169,16,138,3158,1082
245,Ekko,11,4,False,21,8,6,302219,18535,18,89,3020,3152
15,Sivir,7,4,False,5,5,16,273758,16455,17,306,3006,6671
102,Shyvana,4,11,True,6,2,8,189481,11051,15,35,2055,4636
112,Viktor,4,12,True,8,1,9,125537,11522,15,186,2033,1058
360,Samira,4,7,True,10,4,6,133107,12953,14,201,1055,6673
89,Leona,14,4,True,3,3,23,23876,8769,13,38,3857,8001
114,Fiora,4,12,True,4,4,3,94501,9840,14,164,6631,1037
53,Blitzcrank,4,14,False,1,8,8,15353,6513,10,23,3860,2055
24,Jax,4,14,False,2,5,5,99877,9153,13,173,3153,2055
429,Kalista,4,7,False,5,7,3,113917,11705,13,199,2420,6673
35,Shaco,11,14,False,5,6,4,122919,9837,13,39,3916,3108
41,Gangplank,4,12,False,1,5,5,118726,9065,13,178,3047,2033
48,Trundle,4,11,False,0,0,0,7268,1078,3,1,1039,2031
887,Gwen,4,12,False,0,0,0,3672,1016,3,16,1054,0
110,Varus,4,7,False,1,1,0,1901,1123,2,7,3070,0
89,Leona,4,14,False,0,0,0,0,683,1,0,2403,2419
58,Renekton,4,6,False,1,0,0,4757,1245,4,12,1036,0
78,Poppy,4,12,True,0,0,0,2359,953,3,13,2033,2010
360,Samira,1,4,True,1,1,0,1778,1381,2,14,1055,1028
112,Viktor,4,12,True,0,1,0,1979,907,3,12,2003,1056
497,Rakan,4,14,True,0,0,1,983,998,3,4,0,2419
427,Ivern,11,4,True,0,0,0,60426,1153,3,0,1039,2031
134,Syndra,4,12,True,2,0,8,96335,9107,14,155,1056,2420
51,Caitlyn,7,4,True,6,2,6,110783,10590,12,184,3036,0
147,Seraphine,3,4,True,1,2,14,29146,7151,11,20,3041,2031
104,Graves,11,4,True,6,3,5,155121,9994,14,31,6692,3047
164,Camille,14,12,True,6,2,6,86406,10022,14,156,6632,3074
61,Orianna,4,12,False,1,5,0,86917,7177,12,163,3070,3108
62,MonkeyKing,12,14,False,3,6,3,54851,7610,12,117,6695,3078
202,Jhin,4,7,False,1,1,2,85271,7451,11,164,3009,2055
203,Kindred,4,11,False,2,4,1,114841,7514,12,24,6671,2031
235,Senna,4,3,False,2,5,2,18245,6043,10,17,1038,3864
111,Nautilus,14,4,True,3,5,17,31150,8858,13,39,2055,3190
39,Irelia,12,4,True,9,5,6,138714,13531,15,192,6333,6632
119,Draven,4,7,True,8,3,9,152024,13904,14,177,6673,3036
62,MonkeyKing,12,14,True,3,7,7,111289,10479,14,151,6632,1055
245,Ekko,4,11,True,4,5,11,142755,10092,14,33,3152,2031
498,Xayah,7,4,False,3,7,10,112003,9799,13,159,2031,6671
13,Ryze,12,4,False,5,5,6,171735,12067,14,207,3040,6656
48,Trundle,4,11,False,8,5,10,113862,12306,14,21,1028,3053
497,Rakan,4,14,False,1,6,12,19982,6528,11,36,3067,3157
114,Fiora,12,4,False,8,4,7,135242,12682,15,182,6630,3047
29,Twitch,7,4,True,11,6,12,116134,13043,14,141,6672,3153
101,Xerath,4,12,True,12,5,13,128378,12604,15,160,3135,1082
76,Nidalee,4,11,True,15,6,13,203815,15141,16,46,4636,3157
58,Renekton,12,4,True,4,4,13,144045,12586,16,177,6630,6333
48,Trundle,3,4,True,0,5,25,25738,8090,13,42,0,0
59,JarvanIV,14,12,False,7,11,12,74000,9768,13,117,6630,3047
234,Viego,4,11,False,12,8,6,127575,13116,14,29,2055,6632
497,Rakan,4,14,False,0,7,18,20062,6552,11,30,2055,2065
69,Cassiopeia,4,12,False,1,5,4,120272,8829,14,212,6653,1082
222,Jinx,7,4,False,6,11,6,79720,9661,12,150,1055,3085
48,Trundle,4,11,False,5,8,19,109240,10197,13,19,3076,6632
133,Quinn,4,14,False,3,11,4,81669,8506,13,139,3091,6671
360,Samira,7,4,False,8,5,9,130210,11800,14,163,6673,3033
89,Leona,4,14,False,1,9,19,15632,6988,12,30,3047,3067
84,Akali,14,4,False,16,6,6,78884,11832,13,108,3152,3916
53,Blitzcrank,4,14,True,4,10,14,19951,8845,12,33,3190,3050
164,Camille,12,4,True,9,4,10,97282,11579,15,142,3053,3077
69,Cassiopeia,4,12,True,4,5,17,105934,10406,15,153,6653,4629
107,Rengar,11,4,True,11,9,8,195937,13489,15,28,1037,6630
145,Kaisa,7,4,True,11,5,7,125258,13248,15,183,3046,1055
134,Syndra,4,14,False,5,5,5,216844,14859,17,261,3135,3040
80,Pantheon,14,4,False,7,6,6,159277,13571,17,167,3026,6695
523,Aphelios,4,7,False,3,8,4,189389,14510,16,235,3026,6671
203,Kindred,4,11,False,5,5,6,300770,15882,18,69,6632,2420
143,Zyra,14,4,False,1,14,2,38881,8911,13,34,3020,6653
