champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
234,Viego,4,11,True,8,4,6,165451,12671,15,35,3091,6673
432,Bard,14,4,True,1,2,14,20050,7681,12,14,3853,3190
13,Ryze,4,12,True,7,2,1,151670,11603,14,187,2033,3040
498,Xayah,4,7,True,5,2,7,167030,12419,15,222,6671,3508
64,LeeSin,12,4,True,5,4,7,87226,10526,14,127,2420,6630
7,Leblanc,4,14,False,3,3,4,63312,7233,12,120,1082,2033
875,Sett,12,4,False,1,7,6,111641,8456,13,169,1055,6630
81,Ezreal,7,4,False,5,5,0,80818,9182,13,179,3042,3082
526,Rell,14,4,False,2,4,4,19729,6096,10,36,3190,3860
30,Karthus,4,11,False,3,7,5,157722,9295,13,50,3020,3157
164,Camille,14,4,False,4,10,4,78531,8814,13,142,6333,1028
69,Cassiopeia,4,3,False,7,5,1,118578,11400,15,219,6653,3040
64,LeeSin,11,4,False,10,8,5,130094,11282,13,34,3111,3053
80,Pantheon,14,4,False,2,10,7,25796,6357,11,36,3857,3009
22,Ashe,4,1,False,1,9,8,94867,8529,13,142,3091,3006
89,Leona,4,14,True,4,6,27,21562,9686,13,39,3047,3190
76,Nidalee,4,11,True,20,1,8,214285,15981,16,20,4636,3100
134,Syndra,7,4,True,7,4,15,92693,11375,14,147,6655,3916
39,Irelia,14,4,True,4,10,9,112043,10081,14,150,6673,1031
23,Tryndamere,6,4,True,7,3,2,193566,13767,16,172,6672,3006
121,Khazix,11,4,False,9,8,4,168258,12992,15,37,1001,6694
7,Leblanc,12,4,False,0,12,4,90686,8470,14,163,2033,3108
39,Irelia,12,4,False,1,11,6,184949,11319,16,202,3153,6673
432,Bard,4,14,False,1,6,12,38765,8304,14,22,3190,3076
202,Jhin,4,7,False,9,4,2,249078,16699,17,265,1037,6671
1,Annie,14,4,True,16,3,11,126967,15559,17,165,3157,3135
86,Garen,4,14,True,15,2,4,260738,19031,18,305,6333,6631
2,Olaf,4,11,True,1,4,8,214039,11548,17,62,6630,3143
26,Zilean,3,4,True,2,6,23,28364,10066,16,19,2065,4629
81,Ezreal,7,4,True,7,5,4,162623,13258,17,207,6632,3042
412,Thresh,14,4,False,2,14,22,20922,9235,13,34,3190,3857
518,Neeko,14,4,False,4,11,12,114610,10382,15,167,3020,2420
92,Riven,12,4,False,7,5,18,201337,15637,17,219,6609,6630
110,Varus,4,7,False,5,12,16,128247,12181,15,167,6692,3042
104,Graves,11,4,False,16,8,8,271391,18105,17,77,3142,3047
81,Ezreal,7,4,True,11,8,23,174995,16116,16,181,2420,6694
57,Maokai,12,4,True,2,6,14,171719,12434,18,196,3068,2033
555,Pyke,12,4,True,23,5,7,58704,21484,17,89,3814,3142
76,Nidalee,4,11,True,9,8,14,254042,16423,17,35,3157,3089
432,Bard,4,14,True,5,7,24,45572,13883,16,49,3190,3075
74,Heimerdinger,4,3,False,0,4,3,16356,3771,8,15,3108,3802
81,Ezreal,7,4,False,0,5,3,30839,4398,8,86,3067,3057
30,Karthus,4,11,False,4,6,4,88068,6889,10,14,3108,3802
4,TwistedFate,4,12,False,2,4,2,45109,5319,10,92,6656,1082
98,Shen,12,4,False,2,2,4,34918,5188,11,100,1054,1001
112,Viktor,4,1,True,5,1,3,77153,7747,11,127,1056,3070
43,Karma,4,14,True,3,4,12,15408,6088,8,1,2055,3851
202,Jhin,4,7,True,9,1,4,74456,8403,11,127,0,1036
518,Neeko,12,4,True,2,1,2,73809,6938,11,128,4636,2033
56,Nocturne,4,11,True,2,1,3,69826,5787,9,4,3158,2031
37,Sona,3,4,False,3,3,5,11272,6038,9,4,0,2031
134,Syndra,14,4,False,3,6,2,76702,7353,12,149,1056,6655
421,RekSai,11,4,False,0,7,3,99217,6204,11,14,3111,2031
81,Ezreal,7,4,False,5,6,2,103067,9495,11,165,3158,3508
58,Renekton,12,4,False,1,4,1,96919,8323,13,171,3053,6630
80,Pantheon,4,14,True,6,2,10,94706,9330,13,141,3053,6631
245,Ekko,11,4,True,12,0,6,189619,11802,14,26,3115,3152
3,Galio,14,4,True,3,2,11,29008,6682,11,37,2065,2421
54,Malphite,12,4,True,4,1,6,75400,8403,13,151,8001,2033
523,Aphelios,7,4,True,1,7,6,74984,7430,11,146,2055,2031
777,Yone,14,4,False,0,6,4,98677,7157,12,158,6673,3006
202,Jhin,4,1,False,3,3,3,88822,8657,12,166,6671,2055
85,Kennen,12,4,False,4,6,4,99067,9210,13,165,3020,3102
245,Ekko,11,4,False,5,5,2,133743,9242,13,28,3152,3100
432,Bard,14,4,False,0,8,6,6767,5390,10,17,3853,2055
4,TwistedFate,4,14,True,6,2,6,138221,11497,15,178,2033,3100
26,Zilean,14,4,True,2,1,13,34570,7254,11,15,3108,3853
81,Ezreal,7,4,True,5,3,14,95574,10133,12,143,3042,3158
64,LeeSin,4,11,True,10,3,7,114215,10598,13,17,2055,6630
104,Graves,4,12,True,5,3,3,87912,8906,14,135,1055,6673
127,Lissandra,4,14,False,5,7,18,159590,12960,16,215,7013,3157
555,Pyke,4,14,False,9,4,13,25980,15507,14,50,3179,3026
236,Lucian,7,4,False,15,8,13,212489,18485,17,236,7006,2420
516,Ornn,12,4,False,3,6,10,130110,11567,16,208,7004,3001
76,Nidalee,4,11,False,12,11,17,161210,13903,16,29,7010,3157
104,Graves,12,4,True,6,8,3,245244,14798,18,269,3031,6692
201,Braum,3,4,True,1,10,25,22609,9074,15,41,3857,0
30,Karthus,4,11,True,13,12,13,204510,15960,16,44,3157,3020
18,Tristana,7,4,True,11,9,8,158351,15148,16,185,6672,1018
4,TwistedFate,12,4,True,5,5,15,147042,13515,17,189,6656,3094
516,Ornn,3,4,True,5,7,27,45695,13207,18,29,3105,1029
10,Kayle,4,1,True,17,9,25,101251,17641,18,94,3115,3157
35,Shaco,32,4,True,5,11,37,27373,13224,18,17,3040,7019
