champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
39,Irelia,12,4,True,5,3,7,172779,12440,15,214,3153,2421
59,JarvanIV,11,4,True,7,5,18,171645,12354,15,16,3053,6630
53,Blitzcrank,4,14,True,0,3,17,22103,7412,13,50,3190,1011
63,Brand,4,12,True,3,4,13,159693,12248,16,236,4637,6653
30,Karthus,4,3,True,13,3,10,137516,14079,15,192,3135,0
119,Draven,4,3,False,2,6,2,195531,12617,14,223,3091,3006
54,Malphite,4,12,False,4,5,4,97125,10100,15,166,2033,3047
234,Viego,11,4,False,6,7,6,163849,11745,14,30,3047,2055
101,Xerath,12,4,False,6,6,8,114460,10290,15,156,3157,3020
432,Bard,4,7,False,0,4,10,15205,6827,13,15,3111,3190
76,Nidalee,4,11,True,8,3,1,67221,7160,9,7,4636,1052
15,Sivir,7,4,True,7,3,4,91181,8801,10,141,6671,3006
58,Renekton,12,4,True,3,3,5,44959,6480,10,91,6630,1054
432,Bard,4,3,True,1,1,13,13317,6042,10,7,3190,0
115,Ziggs,12,4,True,8,1,2,88903,9136,12,128,1056,6655
523,Aphelios,7,4,False,3,3,4,37640,5939,9,97,1055,6673
141,Kayn,4,11,False,1,6,5,55133,4345,9,9,6029,3070
85,Kennen,12,4,False,4,6,0,46372,6437,11,89,1055,1028
412,Thresh,4,14,False,1,5,7,7649,3782,7,18,3859,3158
34,Anivia,12,4,False,2,7,3,27697,4943,9,66,1056,3070
34,Anivia,12,4,True,10,0,8,80839,10100,12,123,6656,0
25,Morgana,14,4,True,1,8,15,12667,5593,9,16,3853,2031
107,Rengar,12,4,True,7,1,5,88313,10298,11,123,1055,3158
64,LeeSin,11,4,True,10,2,7,76772,9285,11,26,2055,6630
81,Ezreal,4,7,True,4,3,8,45406,6484,10,73,1055,3070
77,Udyr,11,4,False,3,4,2,82947,6065,10,24,6632,3047
42,Corki,12,4,False,1,13,0,41018,4567,8,81,2031,6670
145,Kaisa,7,4,False,9,4,3,73548,8991,10,133,1055,6676
555,Pyke,4,14,False,1,7,9,13805,5022,8,20,3134,3111
92,Riven,14,4,False,0,4,0,10366,3007,6,27,1055,2031
34,Anivia,12,4,True,6,6,10,69338,9626,13,108,6656,0
64,LeeSin,4,11,True,12,4,9,130327,11636,14,10,6630,2055
432,Bard,14,4,True,5,2,24,20265,9056,13,11,3190,8001
58,Renekton,4,12,True,9,4,11,137090,12960,16,198,6333,6630
523,Aphelios,4,7,True,7,3,9,117436,11527,14,161,0,6673
91,Talon,14,4,False,6,8,6,84910,8708,13,128,6631,3142
78,Poppy,4,14,False,2,7,8,18685,6518,11,35,2031,3190
876,Lillia,11,4,False,1,9,8,126015,8017,13,35,3157,6656
39,Irelia,4,12,False,5,8,2,94074,10015,13,157,1055,3078
360,Samira,7,4,False,5,7,1,95515,9709,12,162,2055,6673
223,TahmKench,12,4,True,2,0,5,56448,7759,12,124,1054,6662
34,Anivia,12,4,True,5,1,9,64240,7574,11,106,6656,3041
154,Zac,4,11,True,8,0,7,79520,8217,11,29,3068,0
497,Rakan,14,4,True,2,2,10,21300,5874,9,27,3157,1052
119,Draven,4,7,True,4,4,4,91447,10282,11,147,3006,3072
267,Nami,14,4,False,1,3,4,7174,4917,8,4,3158,4005
777,Yone,12,4,False,0,6,1,69741,6426,11,133,1054,3006
28,Evelynn,11,4,False,2,3,2,68870,5760,9,7,3152,2031
164,Camille,12,4,False,1,4,0,60189,6209,12,132,6632,2031
523,Aphelios,4,7,False,3,5,3,74605,6853,9,123,2031,1018
16,Soraka,4,21,True,4,0,17,70416,8993,15,115,6617,3107
245,Ekko,11,4,True,9,7,2,153942,11539,15,35,4632,2421
432,Bard,14,4,True,0,5,23,16048,7615,13,15,1028,8001
240,Kled,14,12,True,7,7,15,119403,13070,15,155,3193,6630
523,Aphelios,4,1,True,11,8,11,175787,14461,15,199,6673,1057
412,Thresh,4,14,False,3,5,11,16690,7923,12,42,2055,3857
34,Anivia,12,4,False,1,7,10,114817,9058,15,182,3111,6653
23,Tryndamere,14,6,False,5,7,5,184752,12936,16,205,1031,6630
110,Varus,4,3,False,10,4,7,135994,13043,14,175,1038,6673
28,Evelynn,11,4,False,8,8,9,99514,10214,13,17,3020,3152
78,Poppy,11,4,False,8,8,3,110213,9810,12,42,3053,6630
103,Ahri,4,14,False,1,8,6,52617,5736,10,95,0,6656
54,Malphite,12,4,False,6,3,6,65864,8590,13,119,3047,6662
