champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
22,Ashe,4,6,False,5,10,21,82918,13103,18,53,4005,3042
161,Velkoz,4,3,False,14,11,21,82776,14883,18,32,6653,3157
81,Ezreal,4,6,False,9,10,18,99026,15726,18,76,3133,3042
141,Kayn,32,4,False,9,12,11,60926,14168,18,46,6691,3111
36,DrMundo,32,4,False,7,9,20,94554,14264,18,59,4636,3020
203,Kindred,4,3,True,14,6,17,84777,16276,18,64,3072,6671
64,LeeSin,32,4,True,25,11,14,100122,17751,18,54,3053,3047
4,TwistedFate,6,4,True,5,11,21,60683,12948,18,26,3157,3113
103,Ahri,4,14,True,4,9,23,45690,12601,18,36,6655,3020
40,Janna,13,4,True,4,8,32,33826,13154,18,29,4005,3504
10,Kayle,4,7,False,11,5,11,70897,12391,15,91,3006,6672
3,Galio,32,4,False,3,10,15,34095,9489,14,23,6655,3020
32,Amumu,32,4,False,8,10,16,35357,10906,14,14,3068,3157
89,Leona,32,4,False,7,7,14,26136,10815,14,16,6632,3111
99,Lux,4,21,False,0,5,18,47112,9327,15,30,6655,3020
202,Jhin,7,4,True,12,5,15,67552,13130,16,66,3009,6671
57,Maokai,32,4,True,3,5,20,43723,10747,15,25,3020,6653
51,Caitlyn,7,4,True,11,6,18,55146,13041,15,37,6691,3006
141,Kayn,4,32,True,4,6,19,25359,10852,15,20,6630,2031
777,Yone,32,4,True,7,7,10,45147,11075,15,46,3006,6673
142,Zoe,32,4,True,15,11,33,121075,19646,18,57,6655,3020
84,Akali,32,4,True,13,18,21,81009,16878,18,23,3165,3152
16,Soraka,3,4,True,1,9,53,40385,16512,18,12,6617,3158
86,Garen,32,4,True,12,14,30,136871,18854,18,67,3068,3047
203,Kindred,4,7,True,31,13,18,311549,26651,18,215,6672,3006
15,Sivir,4,7,False,9,17,36,196282,18570,18,136,3042,6691
36,DrMundo,32,4,False,7,17,31,100418,17455,18,61,3065,8001
21,MissFortune,7,4,False,17,19,32,132560,19355,18,51,3031,3156
76,Nidalee,4,3,False,19,9,32,136261,19908,18,54,6655,3040
25,Morgana,4,32,False,13,10,38,98128,19711,18,53,3157,3020
61,Orianna,4,21,True,16,9,46,161616,20618,18,101,3157,3165
78,Poppy,4,32,True,11,14,26,68451,16173,18,41,3111,6632
14,Sion,32,4,True,13,17,35,85787,17148,18,34,3143,3053
245,Ekko,4,32,True,18,12,31,100524,19505,18,44,3020,3157
107,Rengar,32,4,True,12,12,13,106644,16525,18,65,6692,3508
