champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
26,Zilean,4,14,False,1,7,8,11320,7295,13,11,3853,2420
4,TwistedFate,12,4,False,4,5,12,194478,14540,17,242,6656,3157
240,Kled,4,12,False,7,3,7,195730,15215,17,224,6630,3181
5,XinZhao,4,11,False,6,4,9,247703,14275,17,48,3047,3053
51,Caitlyn,7,4,False,6,7,5,185307,12755,14,242,3036,6691
267,Nami,4,14,True,1,6,15,19318,9286,15,15,3011,3853
202,Jhin,4,7,True,9,4,8,195084,15107,16,221,6676,3009
42,Corki,12,4,True,1,2,7,204609,12465,17,255,3042,6673
39,Irelia,4,12,True,8,6,3,230524,15804,18,273,3077,3026
234,Viego,4,11,True,7,6,7,209472,13437,16,72,3153,6632
39,Irelia,12,4,False,3,9,4,177423,12602,16,252,2055,6632
7,Leblanc,12,4,False,3,5,5,112932,10633,15,191,2033,3108
37,Sona,14,4,False,3,3,9,20505,8058,12,8,3070,6617
81,Ezreal,7,4,False,2,3,6,164579,12315,15,241,1055,2420
234,Viego,11,4,False,7,5,7,177743,12638,15,51,2420,0
516,Ornn,4,12,True,3,2,6,131681,10855,16,210,1054,3047
13,Ryze,4,12,True,7,6,5,287562,15302,17,260,3157,7014
203,Kindred,11,4,True,11,0,11,208988,14322,16,45,7007,3072
111,Nautilus,4,14,True,4,5,13,18393,8230,13,23,3860,8001
110,Varus,7,4,True,0,5,16,144296,11082,15,222,0,6695
134,Syndra,12,4,True,4,1,4,137722,10943,15,212,2033,2421
64,LeeSin,11,4,True,11,0,7,141774,12147,14,26,6630,0
523,Aphelios,7,4,True,1,3,8,98325,8891,13,172,3134,6673
164,Camille,12,4,True,6,1,10,102475,11470,14,141,2421,3158
26,Zilean,14,4,True,1,2,16,36205,7323,12,31,3108,3853
39,Irelia,4,12,False,2,7,0,96719,8904,12,148,1055,3153
13,Ryze,4,12,False,1,3,1,124029,7804,13,206,3070,6656
147,Seraphine,4,14,False,1,6,5,17509,5490,10,23,3853,6617
81,Ezreal,4,7,False,1,3,2,88307,7424,11,175,3004,1055
59,JarvanIV,11,4,False,2,4,4,98336,7016,11,10,3748,6660
68,Rumble,4,14,True,10,4,11,207783,15784,18,204,3152,3157
432,Bard,14,4,True,4,1,17,32173,10453,16,25,8001,3190
141,Kayn,4,11,True,10,7,7,300492,15640,18,80,6695,6630
145,Kaisa,1,4,True,3,4,8,176317,13462,16,232,6671,3091
98,Shen,4,12,True,6,0,14,110553,13840,18,210,3065,3107
37,Sona,14,4,False,4,4,7,26993,9365,14,10,6617,3158
4,TwistedFate,12,4,False,1,7,8,206623,13344,17,252,6656,3108
22,Ashe,7,4,False,2,6,7,173783,12344,15,246,6673,3124
17,Teemo,4,14,False,4,8,2,223395,13772,17,270,3115,4633
203,Kindred,4,11,False,5,8,7,235865,13256,16,64,6673,3006
4,TwistedFate,12,4,True,6,6,22,196334,16802,18,259,6656,3157
21,MissFortune,7,4,True,14,8,14,208109,17250,17,200,3026,3508
89,Leona,14,4,True,6,6,27,35083,11726,16,40,3190,3857
104,Graves,3,11,True,15,10,14,259494,18221,18,67,6692,3047
58,Renekton,12,4,True,8,9,13,177794,16402,18,206,3053,0
55,Katarina,14,12,False,7,14,13,171633,13850,17,187,1058,1058
523,Aphelios,4,1,False,10,7,6,221173,16198,16,252,6673,3085
203,Kindred,11,4,False,8,9,12,220802,13595,17,41,3047,3036
107,Rengar,12,14,False,10,8,11,235115,16272,18,200,6630,6695
201,Braum,4,14,False,4,11,20,34933,10330,14,35,3857,3190
4,TwistedFate,12,4,False,4,8,12,142029,12116,15,179,6656,3157
203,Kindred,4,11,False,3,9,11,182532,11830,15,47,6672,2420
89,Leona,4,14,False,1,9,18,22763,8336,13,40,3860,3190
164,Camille,12,14,False,12,4,6,119312,13837,16,161,3074,6632
110,Varus,7,4,False,11,6,13,169627,14706,15,208,6692,3009
55,Katarina,14,12,True,13,7,10,185214,16004,16,227,1058,1058
64,LeeSin,11,4,True,9,4,17,190014,14185,16,39,3047,3071
36,DrMundo,12,4,True,5,7,4,96715,10676,14,143,1054,8001
222,Jinx,4,1,True,6,9,15,169933,13944,14,216,6673,2055
412,Thresh,14,4,True,2,4,25,21812,8734,14,33,3190,3857
43,Karma,14,4,True,2,3,15,30766,6977,11,19,2055,2065
64,LeeSin,4,11,True,9,1,8,156893,11227,13,29,2055,6630
30,Karthus,4,3,True,6,5,11,88397,9492,12,141,1056,1052
84,Akali,12,14,True,11,0,6,116491,11375,15,199,2421,3152
875,Sett,12,4,True,1,1,5,99647,9231,14,163,3044,6630
18,Tristana,7,4,False,3,4,3,98592,9858,11,169,6673,3006
236,Lucian,12,4,False,1,5,1,122925,8367,13,200,6692,2031
154,Zac,14,4,False,1,6,8,25607,5781,10,38,1028,3009
112,Viktor,12,4,False,0,10,1,60178,5904,11,135,2031,6655
234,Viego,11,4,False,5,4,3,70446,7484,10,16,3047,2031
