champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
203,Kindred,4,11,False,5,6,5,119496,9233,11,17,6672,2031
518,Neeko,12,4,False,4,4,4,111403,9275,14,189,4636,2033
89,Leona,14,4,False,0,4,7,17181,5077,10,30,3047,3860
114,Fiora,14,12,False,1,8,1,42923,6331,11,99,2055,6630
222,Jinx,7,4,False,1,3,3,99495,8000,12,195,3006,6672
42,Corki,4,12,True,8,3,9,158441,11727,15,186,3057,3133
26,Zilean,4,14,True,1,4,15,18999,6562,11,13,3851,3158
19,Warwick,21,4,True,7,2,8,84224,10696,14,130,1037,3047
202,Jhin,1,4,True,2,1,10,90510,8483,13,155,6671,1055
234,Viego,4,11,True,7,1,11,132037,10407,14,19,1036,1028
142,Zoe,14,4,False,4,6,3,91515,8938,12,153,3020,6655
875,Sett,12,4,False,1,6,0,137097,9594,13,161,1054,6630
28,Evelynn,4,11,False,5,7,5,136006,10336,13,10,1058,3152
523,Aphelios,4,7,False,5,5,4,117863,10690,12,188,1055,6673
412,Thresh,14,4,False,2,4,7,20182,6935,10,32,3190,3857
164,Camille,14,12,True,5,3,8,115667,10106,15,168,6632,2421
67,Vayne,4,1,True,6,4,6,92728,10615,14,154,1055,6673
1,Annie,14,4,True,11,4,9,66971,11007,14,150,3157,2031
104,Graves,11,4,True,6,3,16,178110,11998,15,42,3142,6692
26,Zilean,4,14,True,0,3,12,24523,6172,12,24,3853,4632
157,Yasuo,1,4,False,3,5,2,120930,7669,13,162,1055,3006
5,XinZhao,4,11,False,6,6,1,83931,8083,12,25,3153,6630
875,Sett,12,4,False,1,5,5,72992,5807,11,101,6630,1028
37,Sona,4,7,False,0,5,6,16306,4853,10,20,3853,6617
115,Ziggs,4,1,False,2,3,3,78901,6367,10,112,1052,2031
127,Lissandra,12,4,True,2,3,5,94642,8383,13,134,2055,2033
22,Ashe,4,3,True,1,2,6,47136,6969,10,96,2031,1036
245,Ekko,11,4,True,3,2,7,120014,7964,12,30,3152,3020
240,Kled,12,4,True,12,2,3,106742,13156,14,142,3026,6630
26,Zilean,4,14,True,6,3,2,22511,7303,10,14,3853,3158
777,Yone,12,4,False,6,12,3,190962,13032,16,174,3031,3006
245,Ekko,11,4,False,21,7,7,253872,18630,17,77,3152,3100
202,Jhin,7,4,False,8,10,14,171801,14679,17,185,3094,6671
350,Yuumi,14,3,False,2,3,25,20160,10718,16,7,6616,3107
223,TahmKench,4,12,False,2,12,10,93302,10470,16,141,3111,3068
37,Sona,4,3,True,0,9,16,22295,8713,14,7,3853,3070
82,Mordekaiser,4,12,True,13,8,8,201624,17312,18,228,3075,3065
34,Anivia,12,4,True,3,8,12,181547,13193,18,193,3157,6653
35,Shaco,11,14,True,14,8,11,180503,15877,18,44,6691,3036
523,Aphelios,4,7,True,14,6,6,204571,16316,17,218,3031,3006
74,Heimerdinger,4,7,False,0,3,4,94285,8008,13,175,3916,6653
75,Nasus,6,12,False,3,3,2,143528,9918,15,197,3193,6632
89,Leona,4,14,False,2,4,2,15648,5892,10,43,1028,3117
76,Nidalee,4,11,False,3,3,2,119778,7902,12,8,4636,2031
238,Zed,4,14,False,1,6,0,68269,6940,12,140,6692,2031
37,Sona,4,3,True,0,2,12,12697,6724,12,9,3853,3070
24,Jax,4,12,True,4,3,5,124062,10578,15,196,2033,6632
34,Anivia,12,4,True,3,0,5,146990,11405,15,204,3157,3020
64,LeeSin,11,4,True,5,3,9,132384,9933,14,27,1028,6630
523,Aphelios,4,7,True,7,1,6,139391,11655,14,194,1055,3006
498,Xayah,4,7,True,2,0,6,48850,6293,10,114,2031,6671
267,Nami,4,12,True,4,1,8,14135,6300,9,10,3853,2003
875,Sett,12,4,True,4,2,5,52962,6670,11,101,3047,1043
234,Viego,4,11,True,6,2,1,84524,7216,11,13,3047,2031
7,Leblanc,14,4,True,7,2,3,37973,6638,11,84,1056,6655
887,Gwen,4,11,False,1,4,1,51504,4863,9,13,3111,4635
777,Yone,14,4,False,2,6,0,50020,5056,10,98,1054,3006
555,Pyke,4,14,False,1,5,0,8628,3155,7,15,3854,3133
67,Vayne,4,7,False,1,3,0,33545,4254,9,84,1055,3006
62,MonkeyKing,4,12,False,2,5,1,32416,4601,9,74,3047,2033
48,Trundle,4,14,False,1,0,6,18383,5449,9,44,3111,3140
517,Sylas,12,4,False,2,4,4,51239,6283,11,95,1056,6656
39,Irelia,4,12,False,2,10,2,64410,7085,11,116,3123,2031
245,Ekko,4,11,False,7,4,2,87128,7666,10,37,3152,3100
523,Aphelios,4,1,False,3,5,4,94238,8087,11,136,6673,3006
58,Renekton,4,12,True,9,2,6,122370,10642,13,157,3053,2031
51,Caitlyn,4,7,True,5,3,4,75581,7882,11,113,1055,6671
421,RekSai,4,11,True,4,4,4,108015,7938,12,21,6693,2031
26,Zilean,4,14,True,0,5,11,18444,5445,10,19,3853,3158
142,Zoe,14,4,True,5,1,7,98531,9894,12,153,3165,0
89,Leona,14,4,False,2,4,9,26382,7880,12,38,3111,3076
222,Jinx,7,4,False,5,7,6,151646,11921,13,229,1055,3085
427,Ivern,4,11,False,2,3,6,376810,9082,13,9,6617,2031
150,Gnar,12,4,False,1,6,2,119603,9112,14,180,3053,6631
55,Katarina,12,14,False,8,6,5,140155,12646,15,203,3157,3152
104,Graves,4,11,True,4,2,10,248310,13445,16,65,6692,3123
62,MonkeyKing,4,12,True,5,3,9,143811,13571,17,211,3133,3047
201,Braum,4,3,True,0,3,22,21930,8257,13,40,3111,3190
110,Varus,7,4,True,11,4,5,121928,13813,14,183,3140,6691
34,Anivia,12,4,True,6,6,11,92248,10337,14,127,6656,3111
85,Kennen,4,12,False,0,8,3,70537,7036,12,145,1055,3152
26,Zilean,4,14,False,2,4,7,29473,6373,11,16,3853,1052
119,Draven,4,3,False,6,6,4,84935,9354,12,138,1055,6676
141,Kayn,4,11,False,4,5,3,152365,9666,13,44,3158,6630
39,Irelia,14,4,False,5,11,3,152070,11157,14,211,1055,6673
114,Fiora,12,4,True,9,3,3,168376,13680,17,204,6630,2031
103,Ahri,4,14,True,6,2,7,127461,12068,15,233,3157,6656
28,Evelynn,11,4,True,15,2,5,179676,13400,16,29,3152,2055
523,Aphelios,7,4,True,3,8,9,119201,10407,13,156,6673,3006
412,Thresh,14,4,True,1,2,16,22998,7759,13,39,3117,3857
134,Syndra,4,14,False,4,5,4,122612,10239,14,198,1056,3089
164,Camille,14,12,False,6,11,5,86933,10278,14,113,2421,1055
523,Aphelios,7,4,False,2,4,4,112321,9272,14,186,6671,3006
107,Rengar,11,4,False,9,5,4,217210,12967,15,56,3814,3035
26,Zilean,4,14,False,1,7,8,29582,7039,12,25,3853,3158
37,Sona,21,4,True,1,7,19,18837,7544,13,8,3114,3070
59,JarvanIV,4,11,True,7,2,16,137689,12299,15,14,6630,0
