champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
104,Graves,4,12,True,2,4,4,214363,12312,16,229,6692,2420
30,Karthus,11,4,True,5,1,6,197016,11831,15,47,6655,3020
412,Thresh,4,14,True,5,0,7,22538,9369,13,31,3109,3857
54,Malphite,4,12,True,1,3,4,90113,9352,15,152,2420,3157
67,Vayne,4,7,True,5,2,6,192722,14947,16,245,6673,3140
234,Viego,11,4,False,4,3,2,219087,12153,16,40,6632,3111
90,Malzahar,12,4,False,2,4,3,158250,11230,15,219,1082,4637
114,Fiora,12,4,False,3,2,1,175839,11836,17,249,3111,6632
117,Lulu,3,4,False,1,5,0,16009,6558,11,19,2065,3853
81,Ezreal,7,4,False,0,4,1,138347,9878,13,222,6632,3035
122,Darius,6,4,True,10,21,27,59056,15326,18,38,3111,6631
22,Ashe,4,32,True,19,10,43,143557,19877,18,78,3042,3074
875,Sett,32,4,True,7,14,43,79133,15875,18,44,6662,3083
51,Caitlyn,4,7,True,22,9,27,161012,20106,18,99,3006,6673
61,Orianna,6,4,True,15,13,34,85603,16418,18,46,6655,3157
84,Akali,4,32,False,14,14,26,62952,16234,18,42,3157,3020
421,RekSai,32,4,False,15,17,29,61521,16639,18,29,3814,3075
63,Brand,32,4,False,15,13,26,87611,17023,18,54,6653,4637
107,Rengar,32,4,False,15,18,26,116890,17579,18,62,6692,6676
161,Velkoz,32,4,False,8,11,27,97195,15092,18,54,6653,3020
55,Katarina,12,14,True,18,3,5,128178,13241,14,173,3020,3157
81,Ezreal,7,4,True,1,1,10,91734,9042,13,184,1055,3078
114,Fiora,12,4,True,8,3,5,149843,13230,15,195,6630,3508
111,Nautilus,4,3,True,0,0,12,17975,5866,12,28,2055,3860
35,Shaco,14,11,True,7,0,9,130778,9706,14,13,6631,3142
117,Lulu,4,3,False,0,5,3,8487,4747,10,12,3853,2065
777,Yone,4,14,False,1,11,1,71605,6250,12,109,1055,6673
166,Akshan,14,4,False,3,9,2,95579,8458,13,142,2031,1036
30,Karthus,11,4,False,2,6,1,157259,8109,13,62,3157,6653
236,Lucian,4,7,False,1,4,0,101514,7728,11,177,3508,6671
12,Alistar,14,4,False,0,5,6,16092,4406,8,24,1011,3860
39,Irelia,4,12,False,2,2,4,69353,7125,11,141,3044,2031
110,Varus,4,7,False,2,7,3,41147,5797,10,107,0,6691
126,Jayce,12,4,False,2,4,2,79886,7742,12,145,3123,3133
245,Ekko,11,4,False,6,3,1,114881,7500,11,12,3020,1052
517,Sylas,12,4,True,5,2,5,70790,8451,12,143,3158,6656
120,Hecarim,6,11,True,4,0,2,104545,7722,12,21,6632,3044
62,MonkeyKing,4,14,True,7,4,4,68790,9067,11,123,1054,6630
114,Fiora,4,12,True,3,3,2,61573,7412,13,136,0,6630
235,Senna,4,7,True,2,3,11,32466,6510,10,17,2031,3863
