champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
166,Akshan,4,14,True,10,6,7,246769,17995,18,252,2421,6672
12,Alistar,4,14,True,2,9,17,25013,10535,16,42,3857,8001
240,Kled,12,4,True,11,6,7,243741,17945,18,241,3053,6630
157,Yasuo,4,3,True,8,5,12,335828,19507,18,253,3072,3033
131,Diana,4,11,True,5,6,10,298711,15791,18,77,3157,3152
119,Draven,4,3,False,5,8,14,197356,15859,17,234,3036,6673
11,MasterYi,11,4,False,15,9,12,176828,16512,17,54,6672,3047
147,Seraphine,12,4,False,5,4,13,265960,14597,18,291,4629,3116
412,Thresh,4,14,False,3,7,20,23782,9852,16,39,8001,3857
164,Camille,4,12,False,4,8,15,190774,15198,18,227,3026,3053
78,Poppy,4,14,True,2,5,13,31128,7918,12,36,3076,3857
69,Cassiopeia,4,12,True,6,8,6,123815,11804,16,197,2421,6653
875,Sett,4,12,True,6,6,10,127514,13192,16,172,3047,6630
202,Jhin,4,3,True,1,6,13,145545,11716,16,193,0,6671
245,Ekko,4,11,True,15,3,9,232626,15609,15,62,3020,3152
28,Evelynn,11,4,False,10,3,6,143226,11694,15,33,1082,3102
266,Aatrox,12,4,False,3,6,5,127630,10869,15,158,1011,6630
81,Ezreal,4,7,False,6,7,6,163417,12361,14,191,3158,3078
157,Yasuo,14,4,False,6,6,5,141925,11089,14,192,3006,6673
48,Trundle,4,14,False,3,8,12,32308,8241,12,28,3857,2055
102,Shyvana,11,4,False,2,4,5,129327,8148,12,24,6632,2031
13,Ryze,4,12,False,2,7,2,117392,8311,13,175,6656,3040
67,Vayne,7,4,False,8,11,2,67774,9130,11,134,3006,6673
12,Alistar,14,4,False,6,6,7,18857,8073,10,38,3190,3050
164,Camille,4,12,False,0,3,3,85210,8245,13,180,1055,3074
498,Xayah,4,7,True,8,5,7,117293,11291,14,173,1055,3086
76,Nidalee,4,11,True,5,3,10,126136,9341,13,27,3020,4636
246,Qiyana,14,4,True,9,4,6,93249,10477,13,123,6630,2031
497,Rakan,4,14,True,0,5,19,13439,6739,11,24,2031,3859
6,Urgot,4,12,True,9,1,2,137570,11722,15,177,3748,6029
360,Samira,7,4,True,1,5,10,79081,9101,12,155,1055,6673
121,Khazix,11,4,True,12,2,7,137612,11568,14,28,3158,3142
526,Rell,14,4,True,4,4,15,23681,7695,12,27,8001,3860
