champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
350,Yuumi,3,14,False,1,6,14,8547,7448,14,3,3853,2065
15,Sivir,7,4,False,2,11,9,122187,10776,14,199,6691,2031
236,Lucian,4,12,False,13,9,5,248571,16753,17,217,3047,3508
245,Ekko,4,11,False,5,6,9,198460,12671,15,80,3152,3157
41,Gangplank,12,4,False,6,10,7,248407,15365,16,229,3142,3036
7,Leblanc,12,4,True,5,7,10,120472,12626,17,177,3020,3916
64,LeeSin,4,11,True,8,6,12,197494,13894,17,38,2055,6630
81,Ezreal,4,7,True,7,3,13,212257,15031,17,215,3026,3078
89,Leona,14,4,True,4,5,15,38992,10122,14,45,3047,3857
92,Riven,4,12,True,18,6,5,161435,18184,17,154,6693,3158
13,Ryze,12,4,True,3,1,5,159892,10188,15,199,3111,3157
26,Zilean,4,14,True,1,0,9,13157,6314,11,16,3853,3190
50,Swain,1,4,True,6,3,3,68156,8306,12,111,3157,0
92,Riven,14,4,True,3,5,1,101226,8925,13,173,3071,3123
59,JarvanIV,4,11,True,6,3,8,133947,10259,14,33,0,6630
498,Xayah,7,4,False,2,3,2,73926,7268,11,159,1055,6672
412,Thresh,14,4,False,2,3,4,15495,5666,10,31,2055,3190
39,Irelia,12,4,False,2,5,4,103895,8561,13,173,1055,3153
76,Nidalee,4,11,False,5,4,2,114724,8075,12,36,3157,3152
7,Leblanc,12,4,False,0,4,3,55129,6313,12,140,2055,2033
27,Singed,6,12,True,9,5,11,118164,12329,15,136,1082,3111
523,Aphelios,7,4,True,6,4,13,117880,11831,14,156,1055,6673
32,Amumu,4,14,True,3,7,20,19607,7772,11,26,2055,3190
246,Qiyana,14,4,True,14,3,9,116893,12867,14,151,6694,6693
876,Lillia,4,11,True,11,1,12,177321,12219,15,32,4637,3158
18,Tristana,7,4,False,6,9,5,92365,9301,12,138,3006,6672
69,Cassiopeia,21,4,False,8,7,3,115289,12456,14,185,6653,3040
9,Fiddlesticks,11,4,False,1,8,12,135990,8000,13,34,3157,1052
126,Jayce,12,4,False,5,10,6,110475,9599,13,160,3142,2031
44,Taric,14,4,False,0,9,8,22917,5657,11,38,3801,3860
48,Trundle,11,4,False,1,3,5,27381,4783,8,16,2422,2031
145,Kaisa,3,4,False,5,1,1,73401,8826,11,130,6676,3006
111,Nautilus,14,4,False,0,1,3,6927,3510,7,13,3859,1029
164,Camille,14,12,False,4,3,1,52501,6580,11,109,1055,3158
4,TwistedFate,12,4,False,2,2,3,61965,6387,11,110,3158,6656
107,Rengar,11,4,True,5,2,3,97404,8197,10,27,6632,2031
14,Sion,4,12,True,0,4,2,73749,6411,11,124,2033,2055
61,Orianna,4,12,True,2,2,5,95071,8200,12,163,3070,3020
267,Nami,4,14,True,0,2,7,10584,5762,8,3,3853,2003
236,Lucian,4,7,True,3,2,2,66603,7119,10,107,6671,1083
12,Alistar,14,4,True,3,9,15,21284,8650,13,29,3860,2065
266,Aatrox,4,12,True,1,7,5,101220,9081,15,145,6630,2031
76,Nidalee,11,4,True,13,1,15,206721,15940,17,55,4636,4628
110,Varus,7,4,True,7,2,8,170814,14570,15,211,3158,6695
103,Ahri,4,14,True,15,5,7,142347,15079,16,198,3157,4630
236,Lucian,4,7,False,10,7,6,195553,15373,15,208,3006,3031
150,Gnar,4,12,False,4,2,4,120393,10516,16,199,3053,1057
99,Lux,14,4,False,6,10,7,29939,9521,12,11,3157,3158
245,Ekko,4,11,False,3,9,5,155789,9585,14,39,3020,3152
61,Orianna,1,4,False,1,11,5,128672,9587,14,204,1058,6655
164,Camille,14,12,False,6,3,3,59933,7820,12,121,1055,3078
4,TwistedFate,12,4,False,2,4,2,70712,7411,12,145,2033,6656
121,Khazix,11,4,False,3,7,2,70320,5483,10,20,6691,3134
145,Kaisa,4,7,False,5,5,2,53098,7418,10,116,1055,1036
80,Pantheon,4,14,False,1,9,9,20803,5659,8,30,3855,2055
23,Tryndamere,6,4,True,3,3,2,93822,8578,13,134,1054,6671
103,Ahri,4,14,True,3,3,1,67790,7286,11,134,6655,2033
555,Pyke,14,4,True,4,5,9,13121,7633,10,20,3400,3117
119,Draven,7,4,True,12,1,3,114508,13542,13,160,1055,6673
76,Nidalee,4,11,True,6,5,6,95647,7743,11,8,3020,2421
166,Akshan,12,4,False,2,9,2,102025,8855,13,180,2055,2031
45,Veigar,12,4,False,5,6,7,144488,11040,14,190,6656,3157
79,Gragas,4,12,False,3,7,6,101598,9153,14,156,0,6656
59,JarvanIV,4,11,False,7,4,7,158579,11377,14,59,3047,6630
350,Yuumi,3,14,False,1,2,9,10460,6133,12,7,6617,2055
7,Leblanc,4,14,True,7,3,5,90314,11346,16,146,6655,3135
22,Ashe,7,4,True,7,1,8,162446,13911,15,195,3006,3091
111,Nautilus,14,4,True,1,3,13,27006,8039,12,33,3190,3111
56,Nocturne,4,11,True,7,3,7,240985,13903,17,60,3026,6631
107,Rengar,4,12,True,6,8,3,143672,12919,16,184,6630,3153
78,Poppy,4,12,True,7,1,4,105291,11503,15,169,6695,6632
203,Kindred,11,4,True,6,3,6,145241,10352,14,33,3006,6672
127,Lissandra,4,12,True,1,2,12,98686,9035,14,164,2033,6656
37,Sona,7,4,True,4,1,13,17657,8788,12,16,1082,3158
81,Ezreal,4,7,True,10,5,3,137404,12174,13,180,1053,6632
26,Zilean,14,4,False,3,2,6,44382,6573,11,37,2031,3853
235,Senna,4,7,False,2,5,5,76322,8165,11,142,3036,3047
92,Riven,4,12,False,1,8,0,91574,7561,13,155,2031,6630
7,Leblanc,12,4,False,4,6,0,68448,8872,13,139,2055,2033
64,LeeSin,4,11,False,2,7,6,93476,7347,12,19,1036,1036
145,Kaisa,7,4,False,3,4,2,89418,7868,11,157,1055,1037
28,Evelynn,11,4,False,3,3,5,76178,7202,11,9,3020,3152
53,Blitzcrank,14,4,False,1,7,10,13690,5475,9,31,3190,0
41,Gangplank,4,12,False,1,6,6,89623,8148,12,160,3078,2033
127,Lissandra,4,12,False,4,4,3,117264,9119,14,191,2033,6656
18,Tristana,4,3,True,2,2,11,144802,10981,13,168,6672,0
59,JarvanIV,4,12,True,7,4,5,103208,10601,14,128,6630,0
37,Sona,7,4,True,3,2,14,16943,8238,11,6,3158,3157
7,Leblanc,12,4,True,6,2,3,88850,9884,14,171,2055,2033
5,XinZhao,11,4,True,6,2,6,133393,9928,13,23,3044,6630
61,Orianna,12,4,False,3,5,3,80523,7089,12,152,2055,2033
26,Zilean,14,4,False,1,4,9,18842,5198,9,13,0,2065
875,Sett,4,12,False,0,7,0,48179,5370,10,95,1001,6630
79,Gragas,4,11,False,7,5,2,81660,7732,11,17,3020,2421
22,Ashe,7,4,False,1,5,6,58574,6932,11,125,1055,6673
59,JarvanIV,11,4,True,10,0,11,112343,10036,12,36,6630,2031
39,Irelia,12,4,True,9,1,1,122857,11077,14,178,1055,3153
13,Ryze,4,12,True,2,5,4,97898,7293,12,122,3070,1052
147,Seraphine,4,7,True,3,4,7,28308,6480,9,32,3853,2065
37,Sona,21,4,True,2,2,13,19405,7140,10,32,2031,6617
