champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
103,Ahri,14,4,False,4,4,1,79026,7682,13,151,1056,2033
58,Renekton,4,12,False,2,9,1,98082,8478,12,144,6693,2031
22,Ashe,4,3,False,1,5,6,27927,5599,10,19,1036,3864
236,Lucian,4,12,False,5,6,1,104710,9474,11,179,3047,1055
9,Fiddlesticks,11,4,False,2,7,4,85546,6394,11,8,2424,3020
91,Talon,14,4,True,10,3,5,107455,10980,14,153,6630,2033
147,Seraphine,3,4,True,2,5,13,29252,7607,11,31,3853,2065
39,Irelia,4,12,True,6,4,4,120668,10236,14,172,2033,1055
115,Ziggs,4,12,True,8,2,4,122786,10225,13,156,6655,3040
427,Ivern,11,4,True,5,1,14,274018,9271,14,32,3158,6617
58,Renekton,4,12,True,3,3,8,81828,7821,12,109,1055,6630
164,Camille,14,12,True,11,1,4,115257,10769,14,131,1054,3748
245,Ekko,11,4,True,13,1,8,142115,11151,13,33,3152,3100
51,Caitlyn,4,1,True,5,5,8,87445,8331,12,135,1055,2055
43,Karma,4,3,True,0,2,16,12759,6361,10,11,3853,6617
131,Diana,12,4,False,3,8,2,91050,6842,10,117,0,0
412,Thresh,14,4,False,1,7,7,16847,5235,9,30,3855,3190
110,Varus,4,7,False,5,4,2,63297,8456,10,114,3004,6695
126,Jayce,12,4,False,0,11,0,53446,5213,10,107,3134,3142
427,Ivern,11,4,False,3,2,5,175289,6065,10,20,3158,6617
245,Ekko,11,4,True,6,1,14,235402,12751,16,48,3157,3115
55,Katarina,14,4,True,9,4,7,163535,13021,16,202,1055,3020
432,Bard,4,14,True,2,3,15,31852,8606,13,24,0,3190
21,MissFortune,4,7,True,1,4,14,177170,11656,15,201,3042,0
92,Riven,4,14,True,10,2,7,181270,15812,17,226,3026,6630
412,Thresh,4,14,False,2,5,6,15347,7260,12,34,3190,3107
427,Ivern,11,4,False,6,3,4,404323,10643,15,23,3158,3114
8,Vladimir,4,14,False,3,4,4,215516,12310,17,283,3157,3152
22,Ashe,4,7,False,1,8,7,100201,9087,12,173,3091,6673
48,Trundle,12,4,False,2,8,1,122737,10195,14,190,3111,3748
222,Jinx,4,7,True,8,6,6,244027,15367,16,274,6672,3085
427,Ivern,11,4,True,7,2,21,455025,14416,16,36,3158,3157
412,Thresh,14,4,True,3,8,13,18570,8785,13,28,3117,3190
24,Jax,12,4,True,4,7,8,108770,11346,14,160,2033,3047
517,Sylas,4,12,True,12,10,8,164627,14988,16,176,6656,3157
62,MonkeyKing,4,14,False,14,8,8,120470,15866,15,148,3142,3123
40,Janna,4,14,False,1,5,21,35077,8459,14,17,3853,2065
235,Senna,4,7,False,10,4,19,136785,14240,15,141,1028,3124
27,Singed,14,6,False,2,6,14,184605,12411,16,217,3041,2055
35,Shaco,11,14,False,6,11,16,149314,12414,15,49,1037,0
427,Ivern,11,4,False,2,3,7,425697,10540,15,51,3158,4629
99,Lux,7,4,False,1,8,3,45175,7307,12,35,3853,0
147,Seraphine,12,4,False,2,13,3,111227,9750,14,162,1056,3011
110,Varus,4,1,False,2,7,1,147331,10746,13,216,3035,3042
24,Jax,4,12,False,8,3,2,230913,16115,18,265,2421,3153
7,Leblanc,4,1,True,13,1,11,149458,15902,17,230,3041,6656
64,LeeSin,11,4,True,8,4,8,180477,12649,15,27,6695,3111
164,Camille,14,12,True,7,5,3,139970,13935,16,192,1055,6632
412,Thresh,4,14,True,1,2,18,29470,8664,13,42,3857,3190
22,Ashe,4,7,True,5,3,10,139079,11891,15,194,3091,6673
18,Tristana,7,4,True,9,1,7,89024,9812,11,147,2055,1055
3,Galio,4,12,True,6,2,10,59439,7924,10,95,2031,3152
266,Aatrox,4,12,True,5,0,8,89086,9915,12,123,6630,3047
412,Thresh,14,4,True,1,1,13,17134,5831,9,25,2055,3190
421,RekSai,4,11,True,4,2,9,77708,7017,10,14,1036,6693
12,Alistar,3,4,False,1,6,3,11237,3866,8,22,3117,3859
41,Gangplank,12,4,False,2,5,3,47493,6641,10,92,2033,3078
67,Vayne,7,4,False,2,3,2,43334,5656,9,105,1055,6672
10,Kayle,4,12,False,1,6,4,32931,5765,10,121,1056,1082
427,Ivern,11,4,False,0,5,5,264723,5196,10,23,3158,6617
81,Ezreal,12,4,False,2,7,5,151095,10284,14,219,0,3123
427,Ivern,11,4,False,5,8,6,396311,9753,14,10,3158,3107
777,Yone,4,12,False,8,4,3,164125,12843,15,188,3031,1033
114,Fiora,12,4,False,5,6,7,99043,10784,15,170,1054,6630
497,Rakan,4,14,False,4,6,9,20866,7937,13,14,3853,2065
203,Kindred,11,4,True,11,5,13,212823,14120,16,34,3006,6671
134,Syndra,12,4,True,8,5,6,147151,13193,16,239,3135,3020
147,Seraphine,4,7,True,6,5,3,125669,12269,15,195,1058,6653
268,Azir,12,4,True,5,6,8,138599,12744,16,185,3020,3157
89,Leona,14,4,True,1,3,10,27874,7579,12,44,3860,3190
236,Lucian,14,4,True,10,4,10,167759,14472,16,232,3508,6694
875,Sett,14,4,True,5,5,8,118004,10845,15,138,3047,6630
115,Ziggs,4,12,True,12,3,9,234167,15988,15,240,1058,3157
111,Nautilus,14,4,True,2,4,20,41285,8601,13,36,3190,3860
427,Ivern,11,4,True,3,2,16,373759,10232,15,16,3117,6617
114,Fiora,4,12,False,2,4,5,108263,10474,15,224,6630,2055
134,Syndra,12,4,False,4,4,9,179828,12006,16,245,2055,4629
234,Viego,4,11,False,6,6,2,179368,11640,14,34,6673,3143
245,Ekko,14,4,False,4,9,6,120956,10233,15,161,2033,1082
25,Morgana,3,4,False,2,9,8,21810,7484,12,18,2031,3157
54,Malphite,12,4,True,2,1,2,48971,6452,11,116,2033,6662
37,Sona,7,4,True,5,3,7,17363,6594,10,8,3853,3070
245,Ekko,14,4,True,7,1,1,94607,9464,12,145,2033,1082
360,Samira,4,1,True,8,3,2,99605,8811,11,131,1054,6673
427,Ivern,11,4,True,1,1,9,247436,6286,11,7,3047,6617
126,Jayce,12,4,False,2,1,1,82885,7091,11,151,1055,6692
104,Graves,11,4,False,1,4,3,64006,5298,8,45,6671,1001
89,Leona,4,14,False,3,4,3,13165,4920,8,26,3859,3190
16,Soraka,14,4,False,1,7,1,37647,4391,9,79,4642,1056
22,Ashe,4,3,False,2,7,5,42500,6762,8,84,6673,1055
3,Galio,12,4,True,8,3,11,151587,12288,15,184,6656,3089
37,Sona,4,7,True,3,3,18,30454,9790,13,13,3853,6617
5,XinZhao,11,4,True,7,5,9,183119,12347,15,44,3111,6630
122,Darius,12,4,True,2,8,5,146167,10655,14,179,1055,6631
360,Samira,4,1,True,10,9,11,139079,13422,14,189,1054,6673
164,Camille,12,4,False,15,4,7,143679,15700,16,183,6632,3074
89,Leona,4,14,False,2,8,17,22351,7905,13,34,2055,3860
105,Fizz,14,4,False,3,5,14,72425,9912,14,143,3158,3157
67,Vayne,4,7,False,2,6,7,135251,11044,15,172,6672,3046
9,Fiddlesticks,11,4,False,6,7,9,135354,10591,14,33,3916,4636
