champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
104,Graves,11,4,True,7,9,20,172580,12709,16,86,6692,1036
21,MissFortune,4,3,True,12,8,13,148769,14293,15,162,7002,3036
4,TwistedFate,12,4,True,7,11,13,87488,10949,14,114,6656,3100
516,Ornn,12,4,True,4,5,18,97748,11400,16,164,3083,3047
555,Pyke,4,14,True,9,7,12,30963,12731,14,32,6691,3179
76,Nidalee,4,11,False,6,8,13,157188,11729,15,21,6655,3041
29,Twitch,4,3,False,14,7,2,159926,13906,14,149,3006,3085
164,Camille,12,14,False,6,8,3,100940,11880,14,165,2420,3053
69,Cassiopeia,4,1,False,12,8,7,141942,13957,16,165,3140,3135
201,Braum,14,4,False,2,8,17,24957,8510,13,34,3857,3190
523,Aphelios,4,7,True,0,1,3,84277,7577,13,162,6671,0
12,Alistar,4,14,True,1,5,11,16260,6069,10,26,3860,3190
69,Cassiopeia,4,12,True,11,0,4,113559,13020,15,187,6656,3157
203,Kindred,11,4,True,8,1,7,138325,10496,13,30,6671,1038
223,TahmKench,12,4,True,1,3,10,69883,8631,14,153,1054,6662
163,Taliyah,4,14,False,1,8,2,70555,6883,12,148,1056,3020
21,MissFortune,4,3,False,4,2,5,115617,9725,12,198,3006,6672
164,Camille,12,14,False,1,2,4,56547,7136,12,137,1054,6632
53,Blitzcrank,4,14,False,1,2,7,14504,5691,10,27,3860,2055
5,XinZhao,11,4,False,3,7,6,114357,8561,12,12,6630,3044
518,Neeko,14,4,False,1,7,5,24827,6994,11,37,3111,2065
150,Gnar,4,12,False,0,6,2,98762,8701,14,185,1055,6632
110,Varus,4,7,False,8,3,3,136890,12649,14,216,6691,3042
238,Zed,11,4,False,3,7,7,189680,10919,15,32,6691,3158
142,Zoe,14,4,False,4,7,5,99935,9672,14,172,2420,6655
432,Bard,3,4,True,2,6,12,10336,7942,12,20,3190,4629
777,Yone,4,12,True,6,3,7,189923,13583,16,232,6673,3086
245,Ekko,11,4,True,11,2,5,195391,12238,15,28,3020,2031
54,Malphite,4,12,True,3,2,8,89758,9406,15,146,6662,3047
202,Jhin,4,1,True,8,3,7,134176,12247,16,180,3009,6671
245,Ekko,11,4,True,9,6,16,202506,14165,17,39,3152,3157
90,Malzahar,4,12,True,8,4,20,223757,16939,18,257,4637,3157
89,Leona,4,14,True,2,9,12,19795,9048,14,34,3190,0
39,Irelia,4,12,True,10,7,9,249688,18829,18,279,6333,6630
202,Jhin,4,1,True,11,6,15,218799,16967,17,217,3031,6671
4,TwistedFate,4,12,False,6,4,11,200671,14200,17,226,2033,6656
12,Alistar,14,4,False,1,10,20,18839,8457,13,37,2055,3190
21,MissFortune,4,3,False,11,6,14,244797,17653,16,268,3111,6672
11,MasterYi,11,4,False,11,8,11,198875,14772,16,34,6672,3140
23,Tryndamere,6,4,False,3,12,9,167857,11946,16,157,6675,6672
420,Illaoi,4,12,False,0,3,1,80011,6452,11,119,2033,3053
79,Gragas,4,11,False,2,3,4,115641,8830,12,31,3158,3157
555,Pyke,4,14,False,4,3,1,18819,8590,10,50,3857,2031
202,Jhin,4,7,False,2,6,4,127681,9847,13,171,3009,6692
122,Darius,4,6,False,4,4,1,102113,8775,14,159,1054,3047
81,Ezreal,4,7,True,4,2,5,97756,9043,12,132,3133,3078
126,Jayce,4,12,True,5,0,2,150987,10500,15,217,3035,6692
99,Lux,12,4,True,6,2,5,99976,9367,13,136,3108,2421
432,Bard,14,4,True,3,3,9,13697,6851,11,9,3853,2065
120,Hecarim,11,6,True,1,5,7,127240,8196,12,21,6632,2031
234,Viego,4,11,False,4,10,10,129985,9858,14,33,3153,3006
157,Yasuo,4,14,False,3,9,7,179233,10950,15,207,1055,3006
67,Vayne,7,4,False,12,6,7,131447,15650,16,206,3111,6673
39,Irelia,12,4,False,4,10,7,138692,10750,16,204,3153,2033
37,Sona,14,4,False,7,7,17,42189,10208,14,16,3057,3020
9,Fiddlesticks,4,11,True,6,6,8,165462,11833,15,49,2424,6653
201,Braum,4,3,True,3,7,15,24362,9442,13,36,3857,3190
875,Sett,4,12,True,15,5,10,141754,16282,17,149,3075,6630
85,Kennen,12,4,True,14,4,9,146562,15507,17,154,3152,3157
360,Samira,7,4,True,4,8,14,99655,11603,15,160,3123,6673
110,Varus,4,7,False,6,7,8,162204,13672,15,235,3158,6691
12,Alistar,4,14,False,0,7,15,19302,7455,13,36,3158,3860
164,Camille,4,12,False,3,10,7,89937,9852,15,154,0,1054
121,Khazix,11,4,False,10,7,7,154307,13105,15,29,3026,3814
38,Kassadin,4,12,False,2,8,4,192637,11681,16,242,3040,6655
432,Bard,14,4,True,5,2,23,34212,11136,15,43,3190,3853
236,Lucian,4,12,True,11,3,11,207696,15133,18,190,6673,3026
45,Veigar,4,12,True,8,4,14,156721,13125,17,191,3089,6656
51,Caitlyn,7,4,True,7,6,14,201071,14131,16,229,6673,3046
11,MasterYi,14,11,True,8,6,12,245689,14476,17,43,3051,3053
38,Kassadin,4,14,False,0,6,7,100826,8470,14,178,0,3020
117,Lulu,14,4,False,1,3,11,14734,7585,12,20,3011,2055
11,MasterYi,11,4,False,13,5,4,195008,13990,15,43,6692,3158
18,Tristana,7,4,False,6,5,6,165077,12660,14,233,6673,3031
223,TahmKench,12,4,False,1,7,5,58586,7379,13,114,2033,3067
40,Janna,14,4,True,1,4,16,15152,7443,12,21,3011,2065
58,Renekton,14,4,True,5,8,7,133640,11516,14,179,3153,6630
245,Ekko,4,11,True,11,3,10,207738,14309,15,66,3020,3089
115,Ziggs,4,12,True,3,4,9,131471,9696,13,163,3020,6655
777,Yone,4,14,True,6,2,8,178398,12248,15,170,2421,3031
24,Jax,12,4,True,5,4,3,82923,8816,13,152,2033,6632
5,XinZhao,4,11,True,7,1,3,127706,10071,13,30,6630,3508
80,Pantheon,14,4,True,3,3,2,71060,7511,12,119,2033,3044
432,Bard,4,3,True,1,2,10,11819,6650,11,8,3067,3190
115,Ziggs,4,12,True,2,1,6,118660,8808,12,146,3020,6655
166,Akshan,14,4,False,2,4,0,74621,6918,12,142,1055,6672
28,Evelynn,11,4,False,4,3,1,104675,7578,12,15,1082,3152
43,Karma,4,14,False,1,2,1,19996,5392,8,17,3853,6617
81,Ezreal,7,4,False,1,3,2,82081,7623,12,174,1055,6632
39,Irelia,12,4,False,3,6,2,88210,7606,12,151,3047,3153
154,Zac,4,11,True,3,2,18,173546,11946,16,44,0,3083
50,Swain,4,12,True,6,2,10,103879,10669,14,153,3111,3165
110,Varus,4,7,True,13,2,8,161351,14595,15,200,3158,3042
92,Riven,4,12,True,13,3,7,185166,14880,16,191,3158,3142
267,Nami,4,14,True,6,4,18,24028,9595,13,15,4005,6616
43,Karma,14,4,False,1,7,6,39522,7568,12,51,3158,6616
99,Lux,4,12,False,3,8,0,177668,10336,15,236,3070,6653
11,MasterYi,11,4,False,4,8,3,202466,11991,15,37,6672,3124
37,Sona,4,7,False,1,8,6,42370,7563,13,84,3853,0
164,Camille,14,12,False,4,10,2,118810,11522,15,190,3181,3155
