champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
7,Leblanc,14,4,True,19,10,25,97062,18211,18,37,3089,4632
110,Varus,21,4,True,12,13,37,134514,17854,18,100,3042,3142
350,Yuumi,3,7,True,5,7,54,16490,15586,18,2,3112,3222
102,Shyvana,32,4,True,9,14,34,99846,15963,18,54,3020,2421
41,Gangplank,4,32,True,27,13,34,224882,22542,18,114,6692,6676
51,Caitlyn,4,7,False,6,13,23,143414,17142,18,118,3094,6671
43,Karma,4,3,False,3,11,36,42112,14659,18,28,6617,3158
58,Renekton,32,4,False,13,19,20,118881,17967,18,65,3111,6630
84,Akali,4,32,False,16,15,18,91959,18137,18,47,3157,3020
555,Pyke,4,3,False,19,14,21,62950,21023,18,26,6691,3158
86,Garen,32,4,True,9,7,14,36439,9738,14,28,3006,6631
38,Kassadin,4,32,True,7,8,18,28942,9352,13,22,6656,3020
350,Yuumi,14,3,True,2,2,27,8173,8839,14,5,6617,3107
145,Kaisa,4,21,True,17,6,6,61602,12184,14,66,3042,6672
74,Heimerdinger,13,4,True,2,3,18,37422,9395,15,36,3020,2421
238,Zed,14,4,False,12,7,7,39427,10473,13,35,6693,3177
13,Ryze,6,4,False,6,7,10,51385,9624,12,48,3040,2031
26,Zilean,3,7,False,0,6,21,9877,7393,13,5,3070,2065
22,Ashe,32,4,False,3,9,15,35170,8318,13,32,3042,6691
517,Sylas,4,32,False,5,8,11,26507,8130,13,12,6656,3157
80,Pantheon,4,14,False,1,5,1,49980,4524,9,105,3134,2033
26,Zilean,4,14,False,1,3,1,14240,3710,7,5,3851,3158
41,Gangplank,12,4,False,1,4,0,72823,6611,11,124,2033,3508
81,Ezreal,7,4,False,1,2,2,34694,4894,8,97,3070,6632
76,Nidalee,11,4,False,0,4,3,54807,4199,8,1,1026,2031
64,LeeSin,11,4,True,4,1,2,94603,7146,11,14,0,6630
29,Twitch,1,4,True,3,1,2,40303,5977,9,117,1055,6673
82,Mordekaiser,4,12,True,5,0,3,73166,7114,12,125,4633,1054
412,Thresh,14,4,True,1,1,3,10738,4021,8,23,0,2055
517,Sylas,12,4,True,5,1,1,48401,7080,10,99,6656,2420
98,Shen,4,14,True,4,2,26,19045,7983,12,27,3857,3190
429,Kalista,4,7,True,18,2,13,167288,17017,14,188,6673,3124
266,Aatrox,4,12,True,2,7,10,89848,8138,13,110,6630,3047
246,Qiyana,14,4,True,15,6,7,89981,12380,13,145,3134,6695
28,Evelynn,4,11,True,10,2,17,113634,10828,14,5,3020,1058
131,Diana,4,14,False,4,7,9,107555,10282,13,143,1056,1082
875,Sett,14,4,False,6,7,4,67854,8581,12,127,8001,2031
111,Nautilus,4,14,False,2,16,9,17142,5908,10,23,2031,3190
59,JarvanIV,11,4,False,2,9,9,82314,7350,12,35,3047,6630
145,Kaisa,4,3,False,5,10,3,81966,9603,13,166,1042,3006
79,Gragas,4,11,True,6,5,14,174436,11921,15,26,3157,3020
234,Viego,14,4,True,5,3,19,77790,10696,15,54,4643,3857
78,Poppy,4,12,True,2,3,17,104391,10438,16,157,2033,3075
18,Tristana,4,7,True,17,6,4,157742,16396,15,174,3031,3046
23,Tryndamere,14,4,True,9,7,10,199716,14426,16,182,1054,3006
246,Qiyana,14,4,False,8,10,4,137815,12640,15,180,3142,6630
75,Nasus,4,12,False,3,7,6,157331,11133,16,192,3110,6632
