champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
164,Camille,12,4,False,6,4,3,84652,11273,13,152,6632,3053
111,Nautilus,14,4,False,1,6,11,32113,6645,11,41,3860,3190
28,Evelynn,11,4,False,4,8,7,116521,9634,13,9,4630,3152
360,Samira,7,4,False,2,6,5,72995,8888,12,153,1055,6673
39,Irelia,12,4,False,7,8,5,125712,11917,14,207,3153,6632
147,Seraphine,4,3,True,2,4,16,26426,8628,12,29,6617,3853
9,Fiddlesticks,11,4,True,4,1,11,142408,10758,14,34,3157,3020
48,Trundle,12,4,True,4,5,4,92594,9279,14,140,6632,3111
22,Ashe,4,7,True,2,5,11,74296,9142,13,135,1055,6673
126,Jayce,4,12,True,20,5,6,177497,15539,15,168,6692,3142
27,Singed,12,6,False,5,5,6,204375,13646,17,242,3110,3116
105,Fizz,14,4,False,4,8,4,152032,13164,16,246,3100,3157
59,JarvanIV,11,4,False,2,6,7,147884,9548,14,24,6630,3075
18,Tristana,7,4,False,7,4,1,201015,14372,15,261,6672,3046
497,Rakan,14,3,False,0,6,9,22749,7566,13,30,3853,2065
28,Evelynn,11,4,True,8,4,12,207028,14720,17,21,1026,3152
498,Xayah,4,7,True,6,4,6,253704,15387,17,312,6671,0
350,Yuumi,14,3,True,3,0,16,10036,9776,15,9,0,3107
6,Urgot,12,4,True,1,5,8,207956,14484,17,238,6694,3748
246,Qiyana,14,4,True,10,5,9,144375,13803,17,188,6630,0
526,Rell,4,14,False,1,2,1,10024,3892,8,20,3859,3067
110,Varus,4,7,False,0,3,0,61715,6045,10,154,6673,3047
122,Darius,4,6,False,2,4,1,57027,6430,11,126,6632,3044
39,Irelia,12,4,False,0,5,0,55615,5341,10,137,3111,2031
28,Evelynn,11,4,False,2,3,2,79668,6252,10,8,2055,3152
3,Galio,4,14,True,0,0,5,22666,4105,9,28,3158,1029
13,Ryze,12,4,True,4,0,8,115551,8483,13,148,3040,0
64,LeeSin,11,4,True,7,3,5,80092,7952,11,11,6630,2055
164,Camille,4,12,True,4,3,1,43768,6606,12,105,0,0
360,Samira,4,7,True,2,0,3,59012,6949,11,149,1055,6673
222,Jinx,4,1,False,1,5,3,107094,8582,12,191,6672,3085
526,Rell,14,4,False,1,7,4,14998,6431,10,34,3860,3190
166,Akshan,14,4,False,4,6,3,70843,8813,13,146,6672,3091
28,Evelynn,11,4,False,3,4,3,118066,8332,12,35,3102,3152
516,Ornn,12,4,False,2,2,3,97065,8137,14,167,7003,3009
22,Ashe,7,4,True,2,0,6,126524,11157,14,210,6673,3091
61,Orianna,12,4,True,6,4,7,119534,11254,15,172,0,3135
64,LeeSin,4,11,True,9,2,8,159386,11877,14,28,2055,3047
36,DrMundo,4,12,True,5,2,3,130742,10791,14,190,3111,6662
201,Braum,4,14,True,2,3,15,21543,7509,12,28,3857,2055
412,Thresh,4,14,True,1,0,6,14331,5340,9,28,3190,3857
114,Fiora,12,4,True,7,1,0,49300,7829,11,113,6630,2031
154,Zac,11,4,True,1,1,8,74211,5956,10,12,6662,2031
238,Zed,14,4,True,3,1,2,62281,6399,11,125,6691,3158
51,Caitlyn,7,4,True,4,0,2,88811,8149,10,164,1037,2031
235,Senna,4,3,False,1,4,1,8929,4043,7,5,6632,2010
202,Jhin,4,7,False,1,3,1,46820,5295,9,121,1001,6671
126,Jayce,12,4,False,1,7,1,51026,5115,10,115,6692,3070
136,AurelionSol,14,4,False,0,2,1,37922,4331,10,106,3047,2033
28,Evelynn,11,4,False,0,1,1,82229,5065,10,11,2055,3152
238,Zed,14,4,True,8,13,8,240938,16769,18,246,6695,3111
28,Evelynn,11,4,True,15,4,16,280539,20847,18,58,3135,3152
517,Sylas,12,4,True,9,9,11,219831,16226,18,237,6656,3157
145,Kaisa,1,4,True,4,5,14,205547,15363,18,215,3026,6671
555,Pyke,14,4,True,6,15,7,21597,11482,14,28,3864,2420
427,Ivern,11,4,False,3,8,30,357150,11630,16,25,3117,3107
164,Camille,14,4,False,8,9,20,56675,13168,15,55,3047,6632
54,Malphite,4,12,False,12,6,18,124845,13618,17,160,3047,6662
21,MissFortune,4,7,False,18,7,10,327919,22169,17,291,3026,3156
1,Annie,4,12,False,5,12,12,95841,10254,16,119,4636,3157
134,Syndra,12,4,False,10,6,3,194369,14568,17,223,3040,1026
126,Jayce,4,12,False,10,7,7,236519,17748,17,244,6692,3047
106,Volibear,11,4,False,1,7,9,156695,10608,15,19,2421,1052
58,Renekton,4,14,False,1,6,5,158494,11112,15,202,3071,6630
76,Nidalee,4,3,False,5,14,12,55927,10998,13,40,3853,6656
40,Janna,4,3,True,2,7,24,24525,9221,15,36,3860,6617
115,Ziggs,4,12,True,2,4,14,210515,12332,16,229,3040,6655
92,Riven,12,4,True,11,8,4,182193,15506,17,180,3071,3026
86,Garen,14,4,True,8,4,10,203333,16240,18,266,3006,6631
121,Khazix,11,4,True,17,4,14,189263,15411,16,35,3047,6694
2,Olaf,11,4,False,0,1,0,16755,2549,5,4,1035,2031
134,Syndra,12,4,False,1,1,0,8639,2728,6,33,1056,2031
44,Taric,4,7,False,0,1,0,3224,2021,4,6,3858,2031
21,MissFortune,21,4,False,0,2,0,5820,2292,4,29,3070,2003
17,Teemo,4,12,False,0,3,0,3225,2099,5,20,1056,1042
61,Orianna,12,4,True,2,1,4,39439,5124,8,70,2033,1043
236,Lucian,4,12,True,5,0,0,54867,6627,9,88,0,2031
5,XinZhao,11,4,True,1,2,0,52577,4102,8,32,6029,2422
145,Kaisa,4,7,True,0,0,3,29375,4264,8,75,1055,6670
48,Trundle,4,14,True,0,1,5,13787,3300,5,10,3854,1028
30,Karthus,32,4,True,6,10,28,75772,14318,18,29,6655,3020
429,Kalista,21,4,True,6,8,26,92304,15223,18,109,3006,6673
51,Caitlyn,7,4,True,13,7,18,86219,15479,18,70,6671,3184
555,Pyke,4,32,True,20,7,14,38792,18349,18,18,3142,6691
85,Kennen,32,4,True,5,10,24,50858,12819,18,32,4636,3157
11,MasterYi,4,14,False,6,13,13,28759,12409,18,16,3006,1053
119,Draven,6,4,False,9,9,14,79479,14132,18,91,6693,1001
236,Lucian,4,32,False,15,11,11,105528,15812,18,93,3508,0
37,Sona,4,7,False,0,8,34,18977,11740,18,10,6617,4642
29,Twitch,21,4,False,12,9,17,69908,15288,18,44,6656,3115
23,Tryndamere,4,14,True,4,6,6,10938,8001,12,9,6691,6676
75,Nasus,6,4,True,12,4,8,79922,10658,13,93,3158,3067
350,Yuumi,3,14,True,0,3,24,13176,7588,13,8,6655,4642
43,Karma,4,7,True,2,6,16,13379,7359,12,5,6655,3020
498,Xayah,21,4,True,8,3,9,37713,9039,13,27,6673,1042
51,Caitlyn,4,32,False,6,4,8,27234,8562,12,26,6671,1053
30,Karthus,3,4,False,5,6,12,36537,9303,13,39,3040,6655
166,Akshan,4,7,False,3,6,12,24793,7991,12,20,6672,3006
76,Nidalee,4,13,False,8,4,8,22609,8614,12,20,6653,3020
104,Graves,4,21,False,0,6,11,35105,7414,12,37,6673,3006
