champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
147,Seraphine,4,7,False,0,8,5,64503,6623,11,142,3020,6653
412,Thresh,4,14,False,1,4,6,16072,5310,10,36,2065,3857
62,MonkeyKing,12,14,False,2,7,1,51007,7295,12,133,3071,6632
28,Evelynn,4,11,False,5,8,2,89360,8085,11,13,3152,2031
104,Graves,4,12,False,5,7,5,115376,10382,13,164,6692,3036
555,Pyke,14,4,True,5,3,13,24899,9475,11,21,3864,2031
22,Ashe,7,4,True,6,2,13,86521,9992,13,108,3091,2031
82,Mordekaiser,4,12,True,5,2,5,91842,9519,14,139,3157,3047
245,Ekko,4,11,True,7,1,7,173613,12047,15,36,3152,3157
80,Pantheon,4,14,True,11,5,5,116084,12329,14,164,2033,2420
120,Hecarim,6,11,True,3,6,7,131624,8006,13,18,6632,1037
112,Viktor,4,14,True,4,4,3,88536,8455,13,153,6655,3158
147,Seraphine,4,12,True,5,3,4,91648,9476,12,170,6653,3140
37,Sona,3,4,True,0,3,7,19677,5222,11,12,3158,6617
420,Illaoi,4,12,True,3,8,3,115245,8555,13,144,3070,6664
245,Ekko,4,11,False,4,4,6,125846,8464,13,19,3152,0
350,Yuumi,14,4,False,2,0,5,7813,5395,11,1,3853,2065
15,Sivir,7,4,False,1,1,7,115299,8981,12,188,6671,3070
18,Tristana,4,14,False,3,5,4,104676,9150,12,114,1055,3006
82,Mordekaiser,4,12,False,14,5,3,112169,12326,15,150,3111,3075
164,Camille,12,4,True,1,2,4,44643,6086,11,106,3078,3077
111,Nautilus,4,14,True,1,2,7,12998,5171,7,22,2055,3859
119,Draven,3,4,True,4,2,4,96455,9595,10,141,1055,0
246,Qiyana,14,4,True,6,1,2,59507,7776,11,110,6029,2031
245,Ekko,4,11,True,8,0,1,94315,8205,11,26,3152,3115
69,Cassiopeia,4,12,False,2,4,0,12408,3778,10,36,2033,3070
127,Lissandra,4,14,False,0,5,3,17116,3822,8,31,3851,2031
