champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
77,Udyr,4,11,True,8,8,13,206081,13451,16,35,6632,3075
104,Graves,4,12,True,5,5,11,215677,15303,17,246,1037,6692
40,Janna,14,4,True,1,6,20,24373,8768,13,14,3011,2065
101,Xerath,4,7,True,16,2,10,166762,15354,16,204,6655,1082
86,Garen,14,4,True,6,10,5,86583,10903,14,127,3068,3742
62,MonkeyKing,4,14,False,7,5,5,104836,12469,15,183,1055,3142
117,Lulu,4,14,False,2,9,14,17690,7851,13,21,6617,1082
245,Ekko,11,4,False,2,7,15,219026,11062,15,28,3157,3152
119,Draven,3,4,False,2,10,3,112483,9642,14,181,1055,6676
887,Gwen,14,12,False,18,5,5,187462,18330,17,232,3089,4633
110,Varus,4,7,True,7,4,11,188296,14276,15,229,3042,3158
777,Yone,4,14,True,4,2,8,179115,12779,16,232,1038,3006
432,Bard,4,3,True,0,3,18,15770,7779,14,18,2055,3190
76,Nidalee,11,4,True,5,2,17,194088,12334,16,25,4636,3157
84,Akali,12,14,True,13,3,7,122742,14489,16,169,1058,4633
887,Gwen,14,12,False,6,5,1,114991,11113,14,176,1054,4633
69,Cassiopeia,4,12,False,2,9,3,119684,9705,14,189,3102,0
523,Aphelios,4,1,False,0,8,3,92292,8544,12,166,1037,6671
497,Rakan,4,14,False,0,2,6,21269,6556,11,41,3860,3111
104,Graves,4,11,False,6,5,2,217007,12788,15,82,3142,3134
101,Xerath,4,21,True,2,4,13,42841,8616,14,19,3853,6655
64,LeeSin,11,4,True,10,5,18,227171,15743,17,49,3071,3053
51,Caitlyn,7,4,True,7,7,11,167279,14038,14,189,6671,3009
223,TahmKench,4,12,True,13,4,10,103742,13481,16,133,3075,6662
157,Yasuo,14,4,True,16,7,14,229680,17285,17,212,3123,3026
48,Trundle,4,11,False,11,10,12,145147,14115,15,39,3047,3053
887,Gwen,12,4,False,4,12,5,132789,10974,15,159,4629,4633
236,Lucian,4,7,False,4,6,6,219298,12757,16,234,6671,3508
12,Alistar,4,3,False,4,10,18,24554,9770,13,31,3075,3860
103,Ahri,4,14,False,4,10,12,88838,10105,14,144,3158,6656
30,Karthus,4,3,True,6,8,14,140432,11685,15,156,3157,1011
78,Poppy,12,4,True,2,7,12,96052,9534,14,135,2033,6662
51,Caitlyn,7,4,True,11,3,13,188265,15072,16,223,6671,6676
35,Shaco,11,14,True,7,2,15,153949,12481,16,32,1058,2031
235,Senna,14,4,True,9,6,14,71715,11982,13,17,3864,6692
887,Gwen,14,12,False,10,5,5,140591,14064,15,186,3115,3089
203,Kindred,11,4,False,5,9,10,129916,10750,14,34,6676,6671
517,Sylas,12,4,False,5,8,4,90087,9867,14,142,1056,3157
21,MissFortune,7,4,False,5,6,6,145542,11173,15,195,3006,3036
432,Bard,4,3,False,1,7,14,13944,7349,12,20,3047,3190
107,Rengar,11,4,False,13,8,5,159932,13348,15,48,3158,6691
875,Sett,12,4,False,3,6,5,81735,9880,13,153,6630,3047
246,Qiyana,4,14,False,7,6,7,95818,9953,14,139,3009,3142
67,Vayne,7,4,False,4,5,6,117853,10716,14,186,1055,6673
412,Thresh,4,3,False,2,2,16,19518,7537,11,34,3857,3190
555,Pyke,4,14,True,4,10,4,21926,8422,11,35,3857,3179
887,Gwen,14,12,True,2,4,12,121431,9819,14,163,1055,4633
81,Ezreal,7,4,True,6,3,8,130862,12175,15,222,1055,1029
59,JarvanIV,4,11,True,5,3,16,144812,11953,14,21,3053,3075
18,Tristana,4,14,True,10,9,5,108835,11301,14,148,3046,6672
64,LeeSin,4,11,True,5,4,17,156181,11119,15,16,6630,3071
145,Kaisa,3,4,True,5,3,11,133321,11571,14,223,6673,3091
89,Leona,14,4,True,2,4,17,21722,7478,12,32,2031,3860
164,Camille,14,12,True,10,4,8,117540,13512,15,182,2421,3111
517,Sylas,4,14,True,5,4,7,60525,8601,13,109,3108,6656
