champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
31,Chogath,32,4,False,8,8,14,32989,10437,13,33,6662,3047
223,TahmKench,4,32,False,1,8,19,20406,8068,13,13,3068,3801
22,Ashe,6,4,False,3,8,19,36282,8956,13,28,3042,4005
429,Kalista,4,1,False,10,8,14,43452,10170,13,43,3006,2031
147,Seraphine,4,6,False,5,6,18,33662,9886,14,39,3112,3040
30,Karthus,32,4,True,9,9,25,51494,10856,14,47,3070,6653
234,Viego,32,4,True,11,6,13,37230,11362,14,28,6632,3111
37,Sona,4,13,True,3,4,30,12177,9434,14,12,6617,3070
126,Jayce,4,14,True,3,5,23,53341,9638,14,58,6692,3042
76,Nidalee,13,4,True,12,4,19,43749,10733,15,19,3070,6655
127,Lissandra,32,4,True,18,13,25,146320,20909,18,94,4636,3157
35,Shaco,32,4,True,15,12,27,84987,19997,18,45,6653,3020
32,Amumu,4,32,True,9,15,36,78656,18738,18,54,3089,6664
54,Malphite,4,32,True,18,22,23,79839,19740,18,39,4636,4629
202,Jhin,4,3,True,15,14,29,179650,21789,18,114,3009,3094
103,Ahri,14,4,False,24,13,17,165758,21601,18,85,6655,3116
11,MasterYi,32,4,False,18,16,22,145970,21176,18,79,6691,6675
222,Jinx,4,6,False,7,13,34,201045,19432,18,117,3042,3157
9,Fiddlesticks,32,4,False,10,14,37,130358,19970,18,72,3020,3157
238,Zed,4,14,False,17,19,20,70673,18738,18,40,6692,3158
91,Talon,14,4,True,12,2,20,124553,14879,16,185,3142,6695
22,Ashe,4,7,True,8,4,25,141064,12976,16,155,3006,2055
89,Leona,14,4,True,2,4,36,19582,8767,14,30,2421,3860
14,Sion,12,4,True,6,8,21,97466,11184,14,107,1011,6662
876,Lillia,4,11,True,24,2,18,264924,19015,17,44,6653,3041
39,Irelia,12,4,False,7,13,5,129951,12652,14,169,3111,6673
201,Braum,4,3,False,0,9,14,26392,6428,12,29,3857,3190
104,Graves,4,11,False,6,14,6,127319,10466,13,54,3035,3142
43,Karma,4,12,False,3,9,9,83800,8238,14,141,2065,3114
523,Aphelios,4,1,False,4,7,10,142710,12095,14,211,2055,6673
37,Sona,4,14,False,2,7,12,23521,7364,12,20,1001,2065
38,Kassadin,4,12,False,4,6,4,115482,10231,15,197,2421,1058
81,Ezreal,4,7,False,4,4,8,128932,11553,14,201,3042,6632
203,Kindred,11,4,False,5,6,5,138503,10858,14,40,6671,6676
6,Urgot,12,4,False,4,9,3,116900,9797,14,162,3748,3071
91,Talon,14,4,True,6,3,6,152184,11849,17,184,1055,3071
39,Irelia,12,4,True,5,8,6,135107,12110,15,203,6630,3153
22,Ashe,7,4,True,7,2,14,165616,13883,15,200,1037,3046
518,Neeko,14,4,True,10,3,13,46874,11654,12,17,3020,3916
60,Elise,11,4,True,4,3,9,148804,10607,14,20,4636,3157
28,Evelynn,11,4,False,3,4,1,80132,6998,11,19,3152,2031
17,Teemo,4,14,False,2,4,0,71330,6949,13,135,1056,1026
91,Talon,14,4,False,2,5,2,72154,7403,12,124,1055,1028
81,Ezreal,4,7,False,0,4,0,64963,5914,10,144,1055,2031
432,Bard,4,3,False,0,6,2,10290,4397,9,11,3853,3117
875,Sett,14,4,True,5,0,4,27453,6486,10,38,3857,6664
76,Nidalee,4,11,True,3,1,8,146783,8732,13,14,6655,2031
777,Yone,12,4,True,10,2,5,133576,11935,14,191,2055,6673
117,Lulu,4,12,True,3,2,2,83816,8756,13,147,6672,3006
266,Aatrox,4,14,True,2,2,0,95046,8372,12,158,6630,2031
12,Alistar,14,4,True,2,9,19,22173,9474,15,37,3860,3190
