champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
18,Tristana,4,7,True,5,2,3,111005,9158,11,131,6672,3006
203,Kindred,12,4,True,10,4,9,99382,10577,13,124,6671,3111
82,Mordekaiser,4,12,True,6,7,3,77037,7705,13,112,3047,6662
131,Diana,4,11,True,12,1,6,165265,10964,14,30,3020,1082
350,Yuumi,14,3,True,1,1,16,9222,6695,11,6,3853,1082
28,Evelynn,4,11,False,11,3,4,100259,11275,13,19,3152,1082
12,Alistar,14,4,False,0,10,1,13299,3871,9,23,2055,2031
119,Draven,4,7,False,0,8,2,49545,5543,10,110,1055,6673
164,Camille,14,12,False,1,5,6,77153,8090,12,158,1055,1011
4,TwistedFate,4,12,False,3,8,5,70106,7829,11,119,6656,2033
166,Akshan,4,14,True,10,6,7,246769,17995,18,252,2421,6672
12,Alistar,4,14,True,2,9,17,25013,10535,16,42,3857,8001
240,Kled,12,4,True,11,6,7,243741,17945,18,241,3053,6630
157,Yasuo,4,3,True,8,5,12,335828,19507,18,253,3072,3033
131,Diana,4,11,True,5,6,10,298711,15791,18,77,3157,3152
119,Draven,4,3,False,5,8,14,197356,15859,17,234,3036,6673
11,MasterYi,11,4,False,15,9,12,176828,16512,17,54,6672,3047
147,Seraphine,12,4,False,5,4,13,265960,14597,18,291,4629,3116
412,Thresh,4,14,False,3,7,20,23782,9852,16,39,8001,3857
164,Camille,4,12,False,4,8,15,190774,15198,18,227,3026,3053
78,Poppy,4,14,True,2,5,13,31128,7918,12,36,3076,3857
69,Cassiopeia,4,12,True,6,8,6,123815,11804,16,197,2421,6653
875,Sett,4,12,True,6,6,10,127514,13192,16,172,3047,6630
202,Jhin,4,3,True,1,6,13,145545,11716,16,193,0,6671
245,Ekko,4,11,True,15,3,9,232626,15609,15,62,3020,3152
28,Evelynn,11,4,False,10,3,6,143226,11694,15,33,1082,3102
266,Aatrox,12,4,False,3,6,5,127630,10869,15,158,1011,6630
81,Ezreal,4,7,False,6,7,6,163417,12361,14,191,3158,3078
157,Yasuo,14,4,False,6,6,5,141925,11089,14,192,3006,6673
48,Trundle,4,14,False,3,8,12,32308,8241,12,28,3857,2055
102,Shyvana,11,4,False,2,4,5,129327,8148,12,24,6632,2031
13,Ryze,4,12,False,2,7,2,117392,8311,13,175,6656,3040
67,Vayne,7,4,False,8,11,2,67774,9130,11,134,3006,6673
12,Alistar,14,4,False,6,6,7,18857,8073,10,38,3190,3050
164,Camille,4,12,False,0,3,3,85210,8245,13,180,1055,3074
498,Xayah,4,7,True,8,5,7,117293,11291,14,173,1055,3086
76,Nidalee,4,11,True,5,3,10,126136,9341,13,27,3020,4636
246,Qiyana,14,4,True,9,4,6,93249,10477,13,123,6630,2031
497,Rakan,4,14,True,0,5,19,13439,6739,11,24,2031,3859
6,Urgot,4,12,True,9,1,2,137570,11722,15,177,3748,6029
38,Kassadin,14,4,False,9,10,6,137893,13796,15,186,1082,3157
81,Ezreal,4,7,False,11,3,10,263454,16624,17,282,3110,3042
164,Camille,4,12,False,5,6,7,157702,12820,17,241,2421,3074
497,Rakan,14,4,False,1,6,22,24885,8966,14,44,3047,3860
79,Gragas,4,11,False,5,3,11,171497,11510,15,57,3020,1029
51,Caitlyn,4,3,True,5,7,8,256224,15797,16,254,3035,3006
18,Tristana,4,12,True,9,5,12,342745,20364,18,304,6672,3046
31,Chogath,4,12,True,5,6,8,170550,13515,17,212,2421,6656
412,Thresh,14,4,True,2,7,14,19513,9015,14,36,0,3050
64,LeeSin,4,11,True,7,6,15,172521,13247,17,41,2055,6630
497,Rakan,14,4,True,3,0,1,12288,4281,9,28,3859,3067
498,Xayah,7,4,True,0,0,2,48006,5490,10,127,6671,0
164,Camille,14,12,True,1,1,2,51899,6252,11,133,1055,2010
64,LeeSin,4,11,True,8,0,0,97177,8874,11,15,2055,3111
134,Syndra,14,4,True,0,2,3,62129,5764,11,130,1056,1026
92,Riven,14,12,False,1,4,1,48370,5084,11,111,0,2031
37,Sona,4,7,False,0,2,0,7124,3041,8,7,0,3851
81,Ezreal,4,12,False,0,2,0,48125,5386,9,137,0,1036
13,Ryze,12,4,False,1,4,0,49439,5118,10,126,1056,3070
35,Shaco,14,11,False,1,0,1,76062,5168,10,12,6653,0
164,Camille,14,12,True,7,5,5,99185,11435,15,158,1028,1037
3,Galio,4,14,True,5,3,11,133278,11222,15,159,3111,3152
25,Morgana,4,14,True,1,4,14,22811,8249,12,17,2055,3853
141,Kayn,4,11,True,5,2,7,224565,11443,15,26,3158,2031
51,Caitlyn,7,4,True,9,1,3,175973,13927,15,203,6671,6676
887,Gwen,12,14,False,7,7,3,114010,11822,14,172,1082,0
74,Heimerdinger,12,4,False,4,6,4,103510,9347,14,171,3157,1058
432,Bard,4,3,False,0,3,9,11580,6033,11,20,3047,3190
22,Ashe,4,7,False,0,5,5,84166,7202,12,149,6673,3006
107,Rengar,11,4,False,4,6,3,112234,8652,12,21,3814,6029
107,Rengar,12,4,True,5,3,2,68207,7993,11,110,6695,2031
876,Lillia,4,11,True,4,1,8,116586,8416,12,29,3157,2031
53,Blitzcrank,4,14,True,2,0,17,13139,6302,10,23,3860,3190
51,Caitlyn,7,4,True,4,1,6,91188,8870,11,165,6671,6676
38,Kassadin,14,4,True,6,4,4,70760,7750,12,136,1082,2420
432,Bard,3,4,False,2,6,1,13629,4984,9,20,2055,2031
15,Sivir,4,1,False,0,4,2,76443,6165,11,160,3070,6692
245,Ekko,4,11,False,3,4,3,102592,6160,11,13,3152,1082
777,Yone,4,14,False,4,4,3,59022,7252,11,114,6673,3006
223,TahmKench,6,12,False,0,3,4,63007,6392,12,145,1054,3047
117,Lulu,3,4,True,0,5,17,18949,9294,14,19,3158,6617
13,Ryze,4,12,True,4,6,12,301663,15396,18,257,6656,3040
875,Sett,12,4,True,3,10,13,148803,13258,16,181,1037,6630
22,Ashe,4,7,True,7,6,8,210063,15513,15,235,3124,3026
23,Tryndamere,11,4,True,13,7,7,271616,16575,17,68,6672,3086
157,Yasuo,3,4,False,4,7,9,254650,14532,17,255,6333,3006
54,Malphite,14,4,False,5,7,17,117175,11793,17,141,3068,3143
35,Shaco,11,14,False,15,4,9,241399,18043,18,67,6333,3036
223,TahmKench,4,14,False,1,6,11,32062,8165,14,48,2055,3190
67,Vayne,4,7,False,9,3,11,247921,17412,18,284,6673,3006
28,Evelynn,11,4,False,11,10,10,124381,13569,14,19,3152,3020
202,Jhin,4,7,False,3,6,12,99407,9096,14,153,3094,2031
875,Sett,4,12,False,3,8,9,132392,11050,15,180,3111,6630
89,Leona,14,4,False,2,11,14,23176,7110,13,36,3860,3190
38,Kassadin,12,4,False,8,6,9,116018,11991,16,178,3041,6656
412,Thresh,4,14,True,0,6,27,20288,8062,13,29,3860,3190
103,Ahri,4,14,True,9,3,10,145031,12650,15,193,6655,3157
69,Cassiopeia,4,12,True,4,6,11,102994,11043,15,140,6656,3157
5,XinZhao,11,4,True,6,8,19,149650,11532,15,27,0,1029
119,Draven,4,1,True,22,4,5,228879,20515,15,208,3139,6673
