champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
236,Lucian,4,7,False,0,7,7,50165,5878,10,103,1083,3006
89,Leona,4,14,False,2,6,5,13852,4870,8,31,3105,2031
68,Rumble,12,4,False,3,4,4,58182,7131,12,137,4636,3191
64,LeeSin,4,11,False,4,5,8,81935,7497,11,21,0,2031
131,Diana,4,14,False,8,7,6,77350,8605,12,111,3115,1082
517,Sylas,4,12,True,7,2,7,83599,9074,13,138,6656,3157
497,Rakan,4,14,True,2,2,18,19226,7022,11,32,2055,2065
107,Rengar,11,4,True,6,6,10,100271,7735,12,10,3158,6691
6,Urgot,12,4,True,4,3,6,95854,9467,12,163,1055,3748
523,Aphelios,4,1,True,10,4,5,79927,10366,11,139,6673,6676
523,Aphelios,4,7,False,12,5,10,298997,18613,17,278,6673,3006
350,Yuumi,3,14,False,1,4,21,21002,9887,17,7,3114,3853
104,Graves,4,11,False,7,6,7,244197,15365,18,94,6692,3111
245,Ekko,4,14,False,8,3,6,212749,15336,18,236,3100,3041
92,Riven,12,4,False,2,10,8,142361,12150,17,187,3142,3158
51,Caitlyn,7,4,True,1,9,11,170013,12000,15,212,6671,3036
26,Zilean,4,14,True,0,7,16,18131,8366,16,16,3853,2065
55,Katarina,4,14,True,9,5,10,207449,16375,18,247,3152,3157
64,LeeSin,11,4,True,8,4,6,274496,15436,18,43,6630,6333
268,Azir,12,4,True,9,5,8,272351,18999,18,280,3089,3157
81,Ezreal,4,7,True,9,0,6,132547,12359,14,196,1055,6632
127,Lissandra,12,4,True,1,3,5,105006,8101,13,167,1056,2420
28,Evelynn,4,11,True,13,3,9,114938,12361,14,18,3041,1058
875,Sett,12,4,True,1,4,7,98683,8736,14,170,6630,3053
89,Leona,4,14,True,3,5,14,14711,6941,11,28,2031,8001
67,Vayne,4,1,False,2,7,4,75287,8372,12,156,6672,3006
76,Nidalee,11,4,False,7,5,3,135330,9797,12,27,4636,3157
246,Qiyana,14,4,False,2,3,5,97289,7846,12,143,3158,6630
48,Trundle,14,4,False,1,7,7,32848,5925,10,43,3190,3857
58,Renekton,4,12,False,3,5,6,106547,9857,13,183,3082,6630
412,Thresh,14,4,True,0,10,20,22952,8558,14,35,3107,3857
875,Sett,14,4,True,7,10,11,181479,15172,16,176,6630,0
141,Kayn,11,4,True,13,9,9,189226,15100,17,23,3142,6693
92,Riven,14,4,True,5,5,7,137001,12902,17,191,3067,6630
51,Caitlyn,4,7,True,11,5,11,229890,17494,17,257,3031,6671
266,Aatrox,4,12,False,13,5,12,179864,16093,17,202,6333,6630
121,Khazix,4,11,False,11,5,13,199009,13690,16,44,6691,2421
18,Tristana,4,7,False,6,10,11,174218,12952,15,190,6672,2421
69,Cassiopeia,4,12,False,7,9,12,142401,13833,16,205,6653,3070
432,Bard,14,4,False,2,7,22,27253,8987,15,25,3110,3853
37,Sona,7,4,False,0,4,11,22952,6340,12,63,3851,6617
235,Senna,4,3,False,0,5,12,29846,6444,11,44,3864,6672
10,Kayle,12,14,False,2,8,8,76824,8621,12,135,3006,2420
234,Viego,4,11,False,10,8,2,117612,10837,13,52,1018,3153
45,Veigar,4,12,False,5,6,4,175025,10678,14,212,1056,3157
40,Janna,4,14,True,2,5,22,16508,8168,11,6,6617,3853
203,Kindred,11,4,True,17,2,9,178805,14900,14,44,3508,2055
202,Jhin,7,4,True,1,1,12,139069,10186,14,183,6671,3142
4,TwistedFate,4,12,True,7,5,11,104197,12443,13,160,6656,3157
876,Lillia,4,12,True,4,4,6,104305,9142,13,141,1056,3158
154,Zac,11,4,False,1,7,9,73860,7295,11,13,6662,8001
78,Poppy,14,4,False,1,4,6,21580,6183,11,35,3742,3857
131,Diana,14,4,False,5,7,4,110344,9848,15,170,1082,2033
85,Kennen,4,12,False,4,9,1,94362,10423,13,171,3020,4633
51,Caitlyn,4,7,False,7,6,1,126533,10805,13,195,3036,3094
121,Khazix,11,4,True,11,2,6,144764,12040,16,18,6694,3814
40,Janna,4,3,True,1,6,14,11473,7145,12,11,3853,0
36,DrMundo,4,12,True,9,1,14,124772,12660,15,127,3065,3111
13,Ryze,12,4,True,5,4,10,203539,12076,16,207,2420,2033
29,Twitch,4,7,True,7,5,8,132878,12344,14,206,3036,3031
12,Alistar,14,4,True,2,9,19,22173,9474,15,37,3860,3190
134,Syndra,12,4,True,5,6,11,155749,12363,17,220,1082,0
29,Twitch,7,4,True,7,2,12,148611,14845,17,195,3123,3031
48,Trundle,4,12,True,4,7,9,146402,12913,16,212,2033,6632
121,Khazix,11,4,True,20,5,12,267701,19005,18,70,3142,3026
497,Rakan,14,4,False,1,7,18,22332,8470,13,45,3190,3860
245,Ekko,11,4,False,11,7,11,212537,14720,17,66,3157,3152
157,Yasuo,14,4,False,7,7,5,216608,14031,17,247,3067,3006
39,Irelia,4,12,False,2,9,7,194253,12794,16,266,1055,3153
110,Varus,4,7,False,8,8,7,122059,13508,14,193,3042,3142
131,Diana,11,4,True,5,4,12,193270,11403,15,22,0,2421
166,Akshan,4,7,True,13,3,10,113087,14030,14,170,6672,3006
48,Trundle,4,3,True,0,3,23,16276,6916,12,29,3857,3190
38,Kassadin,14,4,True,16,4,10,84925,12677,14,129,3041,6656
92,Riven,12,4,True,4,5,11,107728,10405,15,166,1054,3071
96,KogMaw,4,7,False,3,7,6,66021,7968,11,146,3020,6673
777,Yone,4,14,False,7,11,2,84421,9098,13,136,1055,3006
56,Nocturne,11,4,False,4,8,6,128108,9136,13,34,3053,2031
89,Leona,4,14,False,1,7,7,19423,5681,11,40,3860,3190
875,Sett,4,12,False,4,5,3,75947,8724,13,134,3047,6630
117,Lulu,3,4,False,4,8,11,14462,8163,12,6,2065,3158
102,Shyvana,4,11,False,5,9,6,120824,9424,13,41,3115,2421
119,Draven,4,7,False,6,6,7,150072,13228,14,211,1055,3508
4,TwistedFate,4,14,False,2,11,6,92639,8110,12,130,1082,3158
39,Irelia,12,4,False,2,6,5,112288,9362,13,178,1055,3047
32,Amumu,11,4,True,10,2,14,150524,13083,15,44,3068,3047
92,Riven,4,14,True,13,3,11,139135,15608,15,186,6695,6630
12,Alistar,4,14,True,2,4,19,21699,7431,12,25,3860,3190
18,Tristana,7,4,True,3,4,12,111109,9621,13,121,6671,3046
23,Tryndamere,6,4,True,12,6,9,149240,14020,15,145,1054,1018
117,Lulu,7,4,False,2,11,15,19951,8724,13,23,2065,1082
203,Kindred,11,4,False,8,12,8,177136,14198,15,35,3123,6672
236,Lucian,4,3,False,5,9,9,175259,12970,16,227,6672,3508
266,Aatrox,12,4,False,7,6,9,131659,12988,15,162,3047,1036
875,Sett,4,14,False,5,8,8,123991,12313,15,159,3053,3071
154,Zac,12,4,True,3,8,18,114638,11170,15,126,3020,3152
121,Khazix,4,11,True,17,2,13,236345,17040,17,63,6695,3026
145,Kaisa,7,4,True,7,7,15,227372,16482,17,231,3006,3036
54,Malphite,4,12,True,15,3,25,138980,15519,16,149,3075,3193
267,Nami,4,14,True,4,7,25,24101,10256,14,10,2065,3853
