champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
48,Trundle,11,4,False,1,3,5,27381,4783,8,16,2422,2031
145,Kaisa,3,4,False,5,1,1,73401,8826,11,130,6676,3006
111,Nautilus,14,4,False,0,1,3,6927,3510,7,13,3859,1029
164,Camille,14,12,False,4,3,1,52501,6580,11,109,1055,3158
4,TwistedFate,12,4,False,2,2,3,61965,6387,11,110,3158,6656
107,Rengar,11,4,True,5,2,3,97404,8197,10,27,6632,2031
14,Sion,4,12,True,0,4,2,73749,6411,11,124,2033,2055
61,Orianna,4,12,True,2,2,5,95071,8200,12,163,3070,3020
267,Nami,4,14,True,0,2,7,10584,5762,8,3,3853,2003
236,Lucian,4,7,True,3,2,2,66603,7119,10,107,6671,1083
23,Tryndamere,6,4,True,15,0,4,163762,13901,14,149,1055,6672
64,LeeSin,4,11,True,5,4,11,103159,8728,12,26,2031,6630
498,Xayah,4,7,True,5,1,6,116906,10325,12,189,6671,1055
38,Kassadin,14,4,True,7,1,3,80435,9761,13,158,3110,2031
497,Rakan,14,4,True,0,4,13,15390,5781,10,29,3860,2065
126,Jayce,4,14,False,3,2,1,100132,7855,12,173,1055,3070
54,Malphite,4,12,False,0,12,1,46361,5227,10,96,2033,3047
104,Graves,4,11,False,5,10,1,92572,7637,11,44,1001,2055
202,Jhin,4,7,False,1,3,3,51504,6335,10,125,2031,6671
412,Thresh,4,3,False,1,5,3,12429,4588,9,28,3009,2031
26,Zilean,3,4,False,2,6,7,31167,7385,13,22,2065,3853
238,Zed,4,11,False,8,7,7,208524,13677,16,58,3123,3133
22,Ashe,4,11,False,2,9,2,78293,7816,12,116,1055,6673
246,Qiyana,4,14,False,8,12,4,96419,9479,14,114,6693,3142
58,Renekton,4,12,False,7,6,6,154411,13067,16,194,3053,3047
35,Shaco,14,11,True,10,5,17,127540,11631,15,26,3157,3165
104,Graves,12,4,True,10,9,9,151836,13531,15,157,6692,3047
81,Ezreal,12,4,True,5,3,14,158219,13104,15,208,1055,3042
64,LeeSin,4,12,True,10,6,13,132704,12638,15,147,6630,2055
16,Soraka,7,4,True,5,4,21,17500,8681,13,8,3853,3107
13,Ryze,12,4,False,2,8,1,254506,12329,16,223,3040,0
429,Kalista,21,4,False,8,8,7,147948,14223,15,188,7018,6609
516,Ornn,4,12,False,4,7,5,123433,10699,15,145,3067,3001
74,Heimerdinger,4,3,False,5,11,10,61728,9905,13,54,1058,2031
59,JarvanIV,11,4,False,6,3,8,128913,11433,14,67,3047,6630
10,Kayle,12,4,True,10,5,6,218343,16786,18,285,3006,2421
235,Senna,4,7,True,4,7,19,140295,12439,15,174,3009,3094
48,Trundle,11,4,True,8,4,6,165511,12998,15,27,3091,0
