champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
161,Velkoz,7,4,False,10,19,14,70694,14368,16,46,3157,3853
13,Ryze,12,4,False,14,15,19,399729,20568,18,252,3135,6656
76,Nidalee,11,4,False,8,16,16,141244,14379,18,38,4636,4628
17,Teemo,4,14,False,20,12,12,178106,20383,18,195,3089,3020
14,Sion,14,4,False,5,13,12,189984,14011,17,151,6676,6693
141,Kayn,11,4,True,12,10,14,251625,17623,18,100,3042,6694
39,Irelia,4,12,True,21,10,16,176974,19688,18,193,6632,3091
50,Swain,7,4,True,23,6,27,317195,21852,18,235,6653,3157
59,JarvanIV,4,14,True,16,16,34,216942,19841,18,177,3814,6692
497,Rakan,4,14,True,3,16,41,35804,12261,18,49,3065,2065
240,Kled,32,4,False,15,12,37,95573,18896,18,53,3748,3047
29,Twitch,4,32,False,26,14,19,166189,21256,18,133,6672,3006
43,Karma,3,4,False,13,12,38,96604,17460,18,46,4629,3040
875,Sett,4,6,False,8,15,27,51347,16375,18,25,3075,3083
111,Nautilus,32,4,False,2,14,38,56567,15274,18,29,3143,3075
41,Gangplank,32,4,True,14,9,30,147022,18257,18,51,6691,3158
55,Katarina,32,4,True,10,13,29,101316,16631,18,39,3157,3020
202,Jhin,3,4,True,21,10,27,248280,22612,18,130,3046,6671
246,Qiyana,32,4,True,15,16,23,96983,17395,18,34,3158,6676
39,Irelia,32,4,True,7,16,33,102798,17185,18,87,3065,3153
84,Akali,4,14,True,11,10,18,50112,14028,18,26,4636,3157
43,Karma,3,4,True,5,9,22,48687,12604,18,41,6653,3165
24,Jax,32,4,True,13,10,23,91116,16192,18,65,6632,3111
25,Morgana,32,4,True,9,7,31,65447,14667,18,59,6653,3158
166,Akshan,7,4,True,7,8,18,68769,14161,17,53,3184,2031
80,Pantheon,4,32,False,5,11,14,31671,12380,17,16,3111,6630
68,Rumble,32,4,False,9,9,22,73538,14096,18,57,3157,3165
142,Zoe,1,4,False,14,5,23,72011,15505,18,48,2420,3102
18,Tristana,4,32,False,9,9,18,97824,14349,18,91,1038,3184
64,LeeSin,32,4,False,7,11,29,53998,13131,18,40,3177,6692
111,Nautilus,32,4,False,2,7,14,16184,6948,12,7,2051,3068
75,Nasus,32,4,False,8,6,8,36928,9414,11,47,6632,3111
115,Ziggs,3,4,False,4,6,10,45241,7856,12,38,6655,3020
420,Illaoi,32,4,False,1,8,12,30312,6752,11,15,2051,6630
61,Orianna,32,4,False,4,4,12,21707,7801,12,31,3070,4632
234,Viego,4,32,True,10,6,11,18120,9235,12,0,2031,3111
5,XinZhao,4,32,True,6,6,18,27290,8418,12,22,3184,2031
99,Lux,13,4,True,3,2,27,26250,8580,13,14,6653,3158
51,Caitlyn,1,4,True,7,3,15,47887,9910,13,66,3006,6672
127,Lissandra,4,32,True,5,2,21,43133,9152,13,34,1001,3157
