champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,4,11,False,7,8,5,152204,10893,13,17,3157,3152
3,Galio,4,12,False,3,7,12,102132,9621,14,146,2033,6656
412,Thresh,3,4,False,0,10,11,15476,6391,11,38,3857,3050
429,Kalista,7,4,False,6,10,7,96434,10879,13,152,1055,3091
126,Jayce,4,12,False,9,9,7,159434,13368,15,185,3047,3042
1,Annie,4,12,True,7,4,16,94691,11877,15,157,1058,1082
111,Nautilus,4,3,True,5,5,26,25343,9410,14,32,2055,3860
22,Ashe,7,4,True,11,5,20,129189,13332,14,149,3031,0
121,Khazix,11,4,True,15,3,15,162118,15014,15,47,3047,2420
516,Ornn,4,12,True,6,8,14,89921,10634,15,126,3075,7005
22,Ashe,1,4,True,9,9,17,215038,17145,18,211,6673,2421
517,Sylas,12,4,True,6,12,13,121988,12496,18,161,1026,6656
2,Olaf,11,6,True,24,9,15,261450,21605,18,85,6630,3071
92,Riven,4,12,True,11,6,11,179993,17225,18,186,3111,6630
53,Blitzcrank,14,4,True,3,12,18,22937,9460,16,26,3855,6664
30,Karthus,12,4,False,20,13,14,248621,18830,18,229,3089,3040
104,Graves,4,11,False,8,15,10,167531,12297,16,42,3142,3134
516,Ornn,4,12,False,4,10,20,119102,12040,17,144,7005,8001
412,Thresh,4,14,False,2,10,28,20839,9140,15,34,3857,2065
41,Gangplank,14,4,False,14,6,20,320203,19904,18,245,3042,7000
236,Lucian,4,7,False,11,6,9,149259,14040,14,211,6672,6676
64,LeeSin,11,4,False,6,6,12,123441,10447,14,28,2055,6630
201,Braum,3,4,False,0,5,21,28105,7386,13,33,3857,3190
517,Sylas,14,4,False,8,7,9,118138,11717,15,170,3067,6656
266,Aatrox,4,14,False,7,7,8,125376,12348,15,165,3047,3143
59,JarvanIV,4,11,True,6,6,19,133364,12497,16,28,6630,3026
42,Corki,4,3,True,6,9,6,155117,11600,15,167,3042,2031
22,Ashe,7,4,True,7,4,14,125586,13183,16,191,6673,3091
48,Trundle,3,4,True,1,5,20,25611,8467,14,33,3857,3190
157,Yasuo,4,14,True,11,8,12,188335,16329,17,200,6673,3031
67,Vayne,4,6,False,0,8,1,60401,5831,11,131,3006,6673
412,Thresh,14,4,False,0,8,6,15979,4628,9,30,3855,2055
127,Lissandra,12,4,False,6,4,0,111112,9148,14,182,1056,1082
102,Shyvana,11,3,False,3,3,2,125833,8237,12,37,3020,2031
81,Ezreal,4,7,False,3,4,4,58148,7177,12,142,3070,6632
122,Darius,6,4,True,3,2,4,105744,10427,13,167,3047,1054
245,Ekko,11,4,True,11,2,5,129344,10007,13,27,2031,3152
91,Talon,4,14,True,4,1,4,112976,9706,13,187,1055,6630
110,Varus,7,4,True,1,2,4,73540,7483,11,148,6692,2055
246,Qiyana,14,4,True,8,5,5,39156,7977,11,31,3864,3134
53,Blitzcrank,14,4,False,2,5,18,19022,7545,12,30,3860,3190
245,Ekko,11,4,False,11,8,4,145756,10771,12,5,0,3152
104,Graves,14,4,False,6,8,8,107772,10650,13,139,6692,6676
150,Gnar,12,4,False,0,5,6,83578,7467,13,153,1055,6632
51,Caitlyn,7,4,False,8,3,9,103672,11351,13,171,6673,3046
523,Aphelios,7,4,True,9,3,4,141127,12969,14,176,6672,1055
141,Kayn,11,4,True,11,3,4,171467,13317,15,48,3158,6630
412,Thresh,14,4,True,0,9,12,14197,6665,11,23,3855,3190
24,Jax,14,12,True,3,2,9,111409,10838,15,129,3078,2033
246,Qiyana,14,4,True,6,10,8,86287,9378,13,107,6695,3035
202,Jhin,7,4,True,13,2,3,209110,15474,15,210,2420,3095
412,Thresh,14,4,True,1,3,13,23581,7886,12,44,2055,3190
64,LeeSin,4,11,True,7,3,8,153506,12512,15,27,6630,0
27,Singed,6,12,True,1,4,14,131686,10803,15,190,4633,3009
887,Gwen,14,12,True,4,6,10,145963,12107,16,211,4633,3115
59,JarvanIV,4,11,False,7,5,7,149971,11157,14,24,6632,3748
37,Sona,4,3,False,0,3,10,25399,6502,12,26,3853,6617
81,Ezreal,4,7,False,4,5,4,154559,10982,14,220,1055,3042
38,Kassadin,4,12,False,4,6,3,104127,9262,13,168,6655,3040
164,Camille,12,14,False,3,7,7,152213,11364,15,219,3074,6333
245,Ekko,11,4,True,5,4,4,165301,10627,15,30,3020,3152
18,Tristana,4,7,True,6,6,2,126520,11287,13,174,3006,6671
59,JarvanIV,12,14,True,1,3,14,102816,10430,15,163,6630,3047
526,Rell,14,4,True,0,8,12,15385,6442,11,34,3158,3190
157,Yasuo,14,4,True,10,4,2,166858,13171,15,184,1055,3033
497,Rakan,4,14,False,3,2,15,19647,7158,11,31,3050,2065
50,Swain,4,12,False,3,4,4,85390,8896,13,145,1026,3165
101,Xerath,4,12,False,4,7,7,79685,7940,12,137,1056,3158
81,Ezreal,4,7,False,6,5,6,72018,8743,12,141,3042,1029
104,Graves,11,4,False,9,4,6,146391,11075,14,57,2031,3036
12,Alistar,4,14,True,3,2,10,12686,5979,11,25,3859,3190
121,Khazix,4,11,True,8,3,7,112220,8825,13,11,6691,1036
82,Mordekaiser,12,4,True,6,1,2,134464,10056,13,184,4633,3115
360,Samira,4,7,True,2,3,10,73953,7866,12,141,1055,3047
236,Lucian,4,12,True,9,3,1,98846,10191,13,170,6672,6676
80,Pantheon,14,4,False,2,8,5,22894,5047,9,28,3855,2055
61,Orianna,12,4,False,2,6,4,61223,6850,11,131,0,2033
523,Aphelios,7,4,False,0,5,6,51531,5903,10,129,6671,1055
164,Camille,12,4,False,1,5,2,44774,5610,11,112,1055,3123
154,Zac,11,4,False,7,4,5,87738,8779,11,29,2055,3075
412,Thresh,14,4,False,0,0,0,1623,837,2,5,2419,3854
154,Zac,11,4,False,0,0,0,0,692,1,0,1035,2031
22,Ashe,4,7,False,0,0,0,3929,1025,2,16,2003,2010
777,Yone,12,4,False,1,1,0,5327,1285,3,9,1055,1055
68,Rumble,14,4,False,0,1,0,6858,969,3,13,1056,0
40,Janna,4,14,True,0,0,0,1605,969,2,13,1056,2003
7,Leblanc,14,4,True,1,0,0,3489,1241,4,12,0,2033
104,Graves,11,4,True,0,0,0,10395,1162,3,0,2031,0
58,Renekton,12,4,True,1,1,0,3401,1180,3,9,1054,2031
16,Soraka,4,7,True,0,0,0,2365,866,2,2,0,0
166,Akshan,4,14,False,3,3,1,52019,5689,10,109,1055,1036
887,Gwen,11,6,False,1,5,3,74021,5166,9,12,3115,3158
157,Yasuo,4,14,False,2,5,2,59573,5478,9,101,6670,3006
526,Rell,14,4,False,0,3,6,9392,3474,8,21,3859,1033
79,Gragas,4,12,False,2,3,2,37311,5731,10,92,1056,6656
111,Nautilus,4,14,True,4,3,8,14597,4867,8,18,3190,0
107,Rengar,12,14,True,4,0,0,62058,6767,11,117,2055,6632
518,Neeko,14,4,True,2,1,5,48303,5668,11,111,1082,2033
22,Ashe,7,4,True,3,1,10,53254,7533,11,119,2031,2010
245,Ekko,11,4,True,6,3,5,78424,7096,10,6,1026,3152
