champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
81,Ezreal,3,4,False,5,7,9,35742,9682,13,32,6632,3042
61,Orianna,3,4,False,2,9,13,30845,8070,13,31,6655,3157
23,Tryndamere,32,4,False,9,12,8,23678,10045,13,21,3134,6671
54,Malphite,4,32,False,5,9,5,27945,8337,14,21,3020,4636
142,Zoe,4,6,False,4,9,14,33890,8612,13,23,6655,3020
104,Graves,4,32,True,17,7,10,37984,12053,15,24,6692,3006
17,Teemo,4,21,True,5,4,11,21218,9414,14,21,6653,3020
79,Gragas,4,32,True,3,5,10,15073,8540,14,8,3111,3211
523,Aphelios,4,3,True,11,2,16,73753,11649,16,57,6673,2031
8,Vladimir,4,6,True,10,7,16,45022,10802,15,37,3152,2031
131,Diana,14,4,False,3,7,9,132213,11816,16,206,1056,3157
45,Veigar,4,7,False,4,7,11,152320,11906,17,188,1058,6656
121,Khazix,4,11,False,18,6,3,248370,17570,17,26,6691,3814
432,Bard,4,14,False,2,6,15,30246,9447,15,24,3117,3190
875,Sett,4,12,False,7,7,15,257927,17749,18,246,6630,3053
122,Darius,6,4,True,5,13,7,171055,13511,18,220,6631,2420
350,Yuumi,14,3,True,0,4,22,25005,9480,16,4,3916,3222
876,Lillia,11,4,True,2,7,9,219356,11706,17,35,6653,3157
157,Yasuo,4,14,True,11,4,4,203549,15930,16,230,3026,3033
51,Caitlyn,4,7,True,15,6,5,266920,17924,17,259,3006,6672
238,Zed,4,14,True,8,5,12,115398,11694,16,127,6691,6694
236,Lucian,4,7,True,17,5,8,156894,16069,15,182,3031,6671
131,Diana,4,11,True,12,3,14,222206,14240,17,42,3165,3157
201,Braum,4,14,True,4,4,19,24799,8951,14,35,3117,3190
24,Jax,4,12,True,7,5,9,186735,14181,17,199,6632,1031
13,Ryze,12,4,False,1,8,8,127461,9322,15,179,6656,3157
234,Viego,4,12,False,6,8,5,147384,13023,16,189,1055,6632
48,Trundle,11,4,False,4,9,6,115726,9268,13,22,3047,2031
22,Ashe,7,4,False,6,9,7,69263,9741,13,121,1055,6673
143,Zyra,14,4,False,5,14,6,72873,9078,13,73,3853,3157
7,Leblanc,14,4,False,7,8,3,59028,8291,13,94,3165,3020
25,Morgana,14,4,False,0,8,5,18577,5438,11,14,3853,3157
202,Jhin,7,4,False,4,3,2,110907,9013,13,172,6671,3036
64,LeeSin,11,4,False,5,6,3,91930,8078,12,36,6630,1037
14,Sion,12,4,False,3,8,2,109367,7861,13,154,2033,3068
27,Singed,12,4,True,4,6,5,133725,9975,15,197,2033,4633
81,Ezreal,7,4,True,8,1,6,151989,12169,14,184,1055,3042
121,Khazix,4,11,True,13,0,4,221376,13693,16,37,6691,6694
16,Soraka,21,4,True,2,4,11,12985,6793,11,13,3853,6617
777,Yone,14,4,True,6,8,6,103385,9757,14,138,0,6673
119,Draven,4,7,True,8,6,9,57726,12935,15,70,6673,6676
497,Rakan,4,32,True,8,5,24,29170,11896,16,7,3152,3108
61,Orianna,6,4,True,4,7,28,68256,12170,17,58,6655,3020
98,Shen,4,32,True,5,4,23,27720,11540,17,14,2051,3083
62,MonkeyKing,14,4,True,11,8,14,35529,12721,16,26,6632,3111
110,Varus,4,3,False,7,6,15,46125,11053,15,31,6693,3042
161,Velkoz,4,1,False,10,6,9,37039,12551,15,16,3020,4629
31,Chogath,32,4,False,5,9,10,37797,10696,15,26,2051,3068
96,KogMaw,6,4,False,7,7,12,73006,12082,15,59,3184,3006
235,Senna,4,32,False,1,8,23,52892,11215,16,59,3042,3124
35,Shaco,11,14,False,2,6,9,166773,10394,15,16,3158,6653
81,Ezreal,12,4,False,2,4,6,164019,11562,15,240,3042,6632
245,Ekko,4,12,False,2,6,2,166081,10038,15,236,1026,3152
432,Bard,14,4,False,0,11,10,14863,6832,12,18,3190,2055
39,Irelia,4,12,False,10,7,4,199501,15013,16,253,3111,3153
106,Volibear,4,11,True,5,2,10,132268,10860,15,19,3067,3211
98,Shen,4,12,True,2,7,13,83079,10188,16,166,1054,6662
18,Tristana,3,4,True,16,0,8,300573,19280,18,276,3072,3031
50,Swain,7,4,True,8,1,14,172365,15123,17,239,3135,1082
53,Blitzcrank,4,14,True,3,6,16,23421,8548,14,41,2065,3117
