champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
166,Akshan,12,4,False,2,9,2,102025,8855,13,180,2055,2031
45,Veigar,12,4,False,5,6,7,144488,11040,14,190,6656,3157
79,Gragas,4,12,False,3,7,6,101598,9153,14,156,0,6656
59,JarvanIV,4,11,False,7,4,7,158579,11377,14,59,3047,6630
350,Yuumi,3,14,False,1,2,9,10460,6133,12,7,6617,2055
7,Leblanc,4,14,True,7,3,5,90314,11346,16,146,6655,3135
22,Ashe,7,4,True,7,1,8,162446,13911,15,195,3006,3091
111,Nautilus,14,4,True,1,3,13,27006,8039,12,33,3190,3111
56,Nocturne,4,11,True,7,3,7,240985,13903,17,60,3026,6631
107,Rengar,4,12,True,6,8,3,143672,12919,16,184,6630,3153
59,JarvanIV,4,11,False,5,6,23,228159,15269,18,45,3047,3026
81,Ezreal,4,7,False,8,9,9,253855,16133,17,235,3042,3140
23,Tryndamere,6,4,False,22,9,3,287970,20984,18,235,3031,6672
74,Heimerdinger,4,3,False,8,10,14,136464,13371,16,53,4630,3157
7,Leblanc,4,14,False,5,9,11,155905,14211,18,208,6655,4629
58,Renekton,4,12,True,2,16,9,174770,12583,17,197,6630,3143
69,Cassiopeia,4,12,True,12,5,15,243717,19020,18,272,6653,3116
526,Rell,4,14,True,2,10,24,35533,10855,18,35,3860,3190
234,Viego,4,11,True,8,8,12,217155,15512,18,75,3143,6632
360,Samira,4,7,True,19,9,7,415583,24568,18,344,6673,3026
412,Thresh,4,14,True,4,1,23,18017,7873,12,28,2055,3190
107,Rengar,11,14,True,14,0,3,194414,13700,15,37,6029,3142
777,Yone,4,3,True,7,3,13,107160,10198,14,139,3006,6333
119,Draven,7,4,True,12,2,10,116904,13700,13,157,1055,6676
164,Camille,14,12,True,3,5,17,50041,8728,13,96,1011,3047
203,Kindred,3,4,False,3,8,0,56248,6796,11,117,6673,1055
246,Qiyana,14,4,False,4,6,0,67302,8086,12,130,6695,1036
106,Volibear,11,4,False,1,6,4,94957,6804,11,28,2420,2031
201,Braum,14,4,False,0,13,5,11749,4561,9,23,3047,3190
122,Darius,12,6,False,3,7,3,77354,8175,12,147,1055,1029
18,Tristana,4,14,False,3,4,8,130570,11357,14,170,3031,3046
85,Kennen,12,4,False,4,4,8,92055,9540,13,171,2031,3152
119,Draven,3,4,False,1,9,1,84123,7725,12,154,1055,3006
37,Sona,4,7,False,0,12,8,20581,5730,10,15,3853,2055
107,Rengar,11,4,False,7,6,4,105817,10639,12,18,3508,3047
131,Diana,4,14,True,8,2,2,127113,10442,14,151,1056,1082
58,Renekton,4,12,True,9,4,3,135170,11184,14,156,6630,3142
235,Senna,3,4,True,5,3,15,43226,10161,13,22,3864,3123
51,Caitlyn,7,4,True,8,2,8,163030,12917,14,208,1055,6673
48,Trundle,4,11,True,5,4,12,108843,9773,14,27,3047,6632
39,Irelia,4,12,False,2,4,2,117642,9496,14,208,1054,3076
145,Kaisa,4,7,False,6,3,0,100953,10190,12,179,1038,3006
245,Ekko,4,11,False,4,3,2,119968,8042,12,18,2055,3152
43,Karma,4,14,False,1,6,8,26494,6950,9,24,3853,4005
107,Rengar,3,14,False,1,6,0,87682,7617,12,150,6631,1031
875,Sett,12,4,True,4,3,5,104752,9913,14,166,3123,3047
81,Ezreal,4,7,True,4,3,4,104377,10304,13,160,1055,2031
432,Bard,4,3,True,1,4,8,12750,6818,12,14,3853,3190
876,Lillia,11,4,True,4,3,4,137405,9635,14,32,6653,2421
92,Riven,4,14,True,9,1,5,140792,13196,14,175,6630,3133
98,Shen,14,4,True,4,1,4,47125,6705,11,111,1054,3068
28,Evelynn,4,11,True,6,3,7,96897,8216,12,22,3152,2031
201,Braum,3,4,True,0,2,15,15828,5730,10,26,0,3855
517,Sylas,4,14,True,9,3,6,66091,8813,12,112,1082,6656
51,Caitlyn,7,4,True,9,2,5,76685,9200,11,130,6671,6676
121,Khazix,12,14,False,1,4,1,40731,4815,10,82,3070,6630
117,Lulu,4,7,False,1,5,4,12868,4930,9,33,3860,6617
45,Veigar,4,12,False,2,6,1,61985,6212,11,121,6656,3070
29,Twitch,3,4,False,2,6,1,46308,6154,9,115,3006,6671
131,Diana,4,11,False,5,8,1,94975,7974,11,29,2055,3152
107,Rengar,12,14,True,11,5,5,132561,12698,15,163,6029,3142
234,Viego,11,4,True,15,2,11,183664,14115,15,22,6672,3153
412,Thresh,14,4,True,4,1,26,20463,9132,13,35,3860,4643
69,Cassiopeia,4,12,True,11,2,12,114307,12316,14,178,6653,3070
523,Aphelios,7,4,True,3,5,11,73859,9306,13,135,2031,6671
164,Camille,14,12,False,2,12,4,61681,7787,12,131,3077,6632
37,Sona,4,3,False,1,12,8,32626,6360,11,51,3853,2055
147,Seraphine,7,4,False,2,6,8,59178,8086,12,77,1052,6617
134,Syndra,12,4,False,5,6,4,86855,9608,14,152,3135,6655
64,LeeSin,4,11,False,5,8,4,108665,8231,12,47,2055,6630
59,JarvanIV,4,11,True,11,9,22,130475,13608,15,32,2421,0
360,Samira,4,1,True,12,12,14,126091,13457,15,156,1055,6673
412,Thresh,14,4,True,1,10,34,23158,8860,14,34,3857,3190
112,Viktor,4,12,True,14,6,14,207491,16336,17,191,3157,3102
92,Riven,4,14,True,16,2,14,175203,17551,17,197,3158,2421
526,Rell,4,14,False,1,11,24,23328,7910,14,36,3860,3067
34,Anivia,14,4,False,8,10,11,112825,11132,14,138,0,3157
107,Rengar,12,3,False,3,13,7,87350,9555,13,127,6029,6609
131,Diana,4,11,False,14,9,10,201131,15848,16,68,3152,3157
236,Lucian,3,4,False,13,11,11,168042,15250,15,194,3026,3006
115,Ziggs,4,12,True,8,3,15,242297,15884,16,203,3157,3102
234,Viego,4,11,True,10,9,9,185063,14159,15,23,3047,3026
39,Irelia,12,4,True,8,6,9,181184,14747,17,252,3143,6630
85,Kennen,12,4,True,6,7,10,117476,12387,16,151,3157,3152
555,Pyke,14,4,True,7,5,5,25489,13558,13,42,3009,3179
107,Rengar,12,14,False,13,10,5,154106,15349,16,197,6029,3142
59,JarvanIV,4,11,False,6,6,10,162709,12077,15,65,3091,0
142,Zoe,4,14,False,7,4,9,148585,11922,16,198,2033,3020
523,Aphelios,4,7,False,2,10,3,160205,10485,15,226,6673,6676
412,Thresh,4,3,False,2,9,13,17821,7969,13,40,3857,3107
777,Yone,12,4,False,6,6,0,183599,12231,15,223,3133,1031
107,Rengar,11,3,False,13,11,3,140502,11879,14,18,6029,3142
85,Kennen,4,12,False,1,8,4,72255,7658,14,155,3152,3157
43,Karma,14,3,False,2,14,11,29776,7235,11,12,3853,1052
235,Senna,7,4,False,7,9,6,85386,9583,13,135,1055,6677
56,Nocturne,11,4,True,9,9,16,128388,12168,15,35,3053,3143
92,Riven,4,14,True,19,4,9,151723,16197,17,179,6630,3143
236,Lucian,4,7,True,3,9,12,137080,11082,15,171,6671,2031
432,Bard,4,3,True,1,6,28,17298,8498,14,14,3190,3853
84,Akali,12,4,True,16,1,6,143048,15313,17,197,3152,3157
