champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
3,Galio,4,14,True,5,7,14,35505,9766,14,35,1011,3860
777,Yone,4,12,True,7,8,13,220397,15970,18,218,3026,3006
56,Nocturne,11,4,True,5,7,10,157684,11854,16,31,3158,6631
103,Ahri,4,14,True,11,5,10,152636,15884,17,201,1058,3157
15,Sivir,4,12,True,5,6,18,239099,15364,17,252,0,6692
164,Camille,14,12,False,9,9,3,144054,14581,17,226,3026,3074
7,Leblanc,14,4,False,5,4,5,129778,11390,16,200,6655,2033
104,Graves,11,4,False,9,7,5,307058,16331,18,128,6692,3111
497,Rakan,4,14,False,5,7,14,45846,10386,14,56,3860,3157
37,Sona,3,4,False,5,6,14,70746,12642,15,122,3222,3853
53,Blitzcrank,14,4,False,1,6,3,19106,5630,10,36,3067,3190
59,JarvanIV,4,11,False,2,5,8,118191,8185,12,41,6630,3047
517,Sylas,12,4,False,2,8,3,71978,7187,12,133,2055,6656
145,Kaisa,3,4,False,6,7,1,77105,9146,11,144,1055,6672
266,Aatrox,4,12,False,2,8,2,85751,7876,13,151,2031,3047
412,Thresh,14,4,True,3,3,16,15645,7648,12,31,3860,0
131,Diana,12,4,True,1,4,8,112912,8331,14,133,1056,3157
429,Kalista,4,7,True,11,1,9,153943,14737,15,217,2421,3091
35,Shaco,14,11,True,12,2,10,136888,12786,14,13,1036,6630
103,Ahri,4,14,True,7,3,5,97532,9889,13,144,1056,1058
59,JarvanIV,4,11,False,7,6,12,232090,15476,17,95,6630,2421
21,MissFortune,7,4,False,1,7,7,148764,11624,15,211,3042,2420
887,Gwen,12,6,False,8,11,6,201688,15897,17,216,3157,4633
166,Akshan,14,4,False,11,10,7,189059,15313,17,180,0,6672
147,Seraphine,4,14,False,1,7,13,35894,8783,14,23,3853,3158
236,Lucian,7,4,True,15,2,12,250839,20063,18,284,3139,3036
245,Ekko,12,4,True,13,8,3,237972,18092,18,258,3115,3135
111,Nautilus,14,4,True,2,5,16,38644,9195,15,36,3860,3190
106,Volibear,4,11,True,6,4,16,197091,13496,17,19,6632,3047
266,Aatrox,4,12,True,4,9,12,164194,13431,18,184,6630,3047
103,Ahri,4,14,True,3,2,5,57947,6550,11,97,1056,0
238,Zed,11,4,True,4,1,4,103619,8178,12,16,6693,2031
350,Yuumi,3,14,True,1,0,5,6246,5332,9,4,6616,2003
58,Renekton,12,4,True,3,0,5,89553,8507,12,138,3053,0
29,Twitch,4,7,True,2,0,4,67767,7651,10,138,1056,0
111,Nautilus,14,4,False,0,2,0,14805,3488,7,25,3859,2055
23,Tryndamere,6,4,False,2,3,1,63672,6411,12,138,1054,6671
28,Evelynn,11,4,False,1,2,0,71381,5537,9,15,1082,2031
360,Samira,4,7,False,0,3,0,46545,6336,9,140,1055,6673
164,Camille,4,12,False,0,3,1,30954,4657,10,100,2031,3057
81,Ezreal,3,4,False,10,2,3,147843,12254,13,193,6632,3158
161,Velkoz,4,14,False,2,8,10,63102,8067,12,43,0,3157
555,Pyke,4,14,False,2,6,4,34993,6426,11,82,3158,6691
245,Ekko,4,11,False,1,9,3,132801,7281,12,39,1026,3152
14,Sion,4,12,False,0,6,3,107229,7397,13,170,3143,2033
76,Nidalee,4,11,True,8,2,8,177298,11993,15,30,3020,3089
412,Thresh,14,4,True,0,6,11,16128,6869,11,28,2055,3190
18,Tristana,7,4,True,8,2,5,153583,12462,15,192,6673,3006
31,Chogath,12,4,True,7,2,6,119241,11396,15,179,1056,4401
238,Zed,4,14,True,8,3,3,134518,12615,15,159,3142,6691
99,Lux,4,3,False,9,8,17,39001,10438,13,25,6655,3020
150,Gnar,4,32,False,9,9,17,45486,10305,13,29,6630,3111
126,Jayce,4,32,False,3,14,19,43537,8235,13,41,3042,6692
117,Lulu,32,4,False,0,8,21,6425,7355,14,8,6617,3011
254,Vi,32,4,False,12,12,8,27834,9445,12,12,6691,3111
498,Xayah,4,1,True,9,6,19,43974,10326,14,51,3006,6671
114,Fiora,4,32,True,14,7,10,19699,10231,14,9,3111,6630
134,Syndra,4,21,True,4,6,18,41065,8747,14,32,2031,3157
26,Zilean,13,4,True,3,6,23,13946,8489,14,10,3112,2031
55,Katarina,4,32,True,21,8,12,50147,13516,15,36,4633,3115
142,Zoe,1,4,False,13,10,13,64610,14256,18,38,6655,3111
145,Kaisa,4,1,False,6,13,12,81535,12875,17,87,3042,6672
4,TwistedFate,4,7,False,2,14,24,76022,12166,17,54,3094,3020
235,Senna,4,32,False,8,5,23,66741,14103,18,33,3042,3123
121,Khazix,4,32,False,8,9,15,52167,13085,17,23,3042,6691
147,Seraphine,4,6,True,17,6,27,119751,16435,18,96,3158,6653
14,Sion,4,32,True,2,10,17,26578,11355,17,16,6662,3143
412,Thresh,4,3,True,4,7,28,21406,12653,18,12,3075,4401
36,DrMundo,32,4,True,13,7,19,30191,13591,18,15,3075,2031
13,Ryze,4,1,True,14,7,21,118524,15639,18,98,3089,6656
