champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
15,Sivir,6,4,False,4,8,9,85412,11550,15,80,6673,3006
203,Kindred,4,7,False,4,10,9,34467,10109,14,40,3184,6676
234,Viego,4,32,False,10,10,5,16864,10708,14,11,6632,3153
64,LeeSin,32,4,False,6,8,12,22102,10708,15,13,6692,3047
75,Nasus,4,32,False,2,6,14,45043,9605,15,39,6655,3089
51,Caitlyn,7,4,True,5,3,17,50862,10747,16,36,3042,6672
134,Syndra,4,7,True,10,6,21,69232,12112,16,69,6655,4629
555,Pyke,32,4,True,5,6,21,13812,11447,15,5,3142,2031
21,MissFortune,4,21,True,12,4,21,50285,12305,16,17,6653,2421
67,Vayne,4,1,True,10,7,13,56172,12335,16,80,6673,3006
267,Nami,4,3,True,1,3,30,18167,8050,14,8,3853,2065
238,Zed,14,4,True,12,4,6,163471,14202,16,212,2031,3142
150,Gnar,4,12,True,11,3,14,140435,13779,15,158,3053,3742
76,Nidalee,11,4,True,8,2,14,191599,11749,15,25,4636,2420
29,Twitch,7,4,True,7,4,12,108694,11593,14,169,6671,1055
497,Rakan,14,4,False,0,8,10,18501,5869,11,41,3860,1082
102,Shyvana,4,11,False,5,9,4,153839,11096,13,40,3020,4636
145,Kaisa,4,7,False,7,4,4,130910,12973,15,227,3091,6676
164,Camille,4,12,False,2,11,5,54866,7129,12,117,6632,3044
127,Lissandra,12,4,False,2,7,5,100991,8911,13,189,3157,6656
360,Samira,4,7,False,0,0,0,380,1788,2,4,1055,0
517,Sylas,4,14,False,0,1,0,11410,2365,6,30,2033,1052
79,Gragas,11,4,False,0,3,1,38682,3132,7,5,2031,3145
432,Bard,4,14,False,0,6,0,2645,2044,4,3,3850,3117
23,Tryndamere,4,6,False,2,0,0,33155,4187,9,83,1054,2031
234,Viego,14,11,True,1,0,1,55317,4514,8,3,0,2031
223,TahmKench,12,4,True,2,1,0,22785,3921,9,77,1054,3076
119,Draven,4,7,True,4,0,0,40318,6618,8,88,1055,6673
34,Anivia,4,21,True,1,1,1,27629,4167,9,62,1056,3802
35,Shaco,14,4,True,2,0,3,9536,4129,6,5,3851,2003
143,Zyra,4,14,True,5,5,15,71685,10082,14,56,2055,3020
81,Ezreal,7,4,True,9,4,5,103182,11387,13,144,1055,3042
266,Aatrox,4,12,True,5,4,6,98617,10925,14,183,1055,6630
60,Elise,11,4,True,12,4,11,109285,11876,14,17,2421,2421
13,Ryze,12,4,True,8,6,9,137023,12205,14,145,3040,6656
245,Ekko,11,4,False,3,9,5,84855,7286,12,16,3152,3157
90,Malzahar,4,12,False,7,5,4,142937,11860,14,186,3116,3040
526,Rell,4,14,False,1,9,10,20377,6267,11,29,3047,3190
360,Samira,7,4,False,8,8,3,72231,9335,12,130,1055,6673
92,Riven,14,4,False,3,8,6,48375,7504,13,98,1055,2031
48,Trundle,4,11,False,2,2,3,72737,5954,10,6,2031,3111
134,Syndra,4,12,False,5,2,2,72078,7627,12,156,1056,6655
202,Jhin,7,4,False,0,3,1,40016,4670,9,107,6670,1018
164,Camille,4,14,False,1,6,0,33229,4771,10,89,6632,2055
40,Janna,4,14,False,0,6,4,11173,3908,8,7,3853,2015
13,Ryze,12,4,True,3,4,2,78432,6680,11,130,3070,6656
78,Poppy,4,12,True,3,1,4,35858,5870,11,76,3047,3105
81,Ezreal,7,4,True,6,0,5,71897,8591,11,138,1055,6632
497,Rakan,14,4,True,0,1,7,19546,5107,8,25,0,3860
876,Lillia,4,11,True,6,2,3,108210,7451,11,20,2421,3802
421,RekSai,11,4,True,12,3,5,161903,12735,15,40,3053,2031
4,TwistedFate,3,4,True,6,6,13,126479,11496,15,149,3158,3108
18,Tristana,4,1,True,10,9,14,126301,13219,14,159,6672,3006
75,Nasus,12,4,True,3,2,6,116120,10178,14,161,3211,1054
53,Blitzcrank,14,4,True,8,5,16,30258,9951,13,36,3860,2065
412,Thresh,3,4,False,4,11,6,26082,7299,11,59,3190,3050
245,Ekko,4,11,False,9,5,5,159227,11130,14,40,3157,3100
523,Aphelios,4,7,False,4,6,8,57783,8516,13,117,1055,0
777,Yone,4,14,False,3,10,2,139126,10292,14,170,1055,3031
36,DrMundo,12,4,False,4,7,3,122669,9299,14,178,3076,3068
32,Amumu,11,4,True,9,7,28,200879,16812,18,41,3157,3047
13,Ryze,4,12,True,16,8,13,330413,20091,18,241,6656,3157
202,Jhin,7,4,True,22,5,11,219421,19715,18,216,6671,3094
50,Swain,14,4,True,9,6,27,90617,14231,18,46,3853,6656
41,Gangplank,4,14,True,3,8,13,170775,12437,18,136,3111,2033
39,Irelia,12,4,False,6,12,6,155816,13664,16,189,6630,2421
234,Viego,4,11,False,10,13,6,190482,15512,16,39,6673,3153
75,Nasus,4,12,False,12,10,10,351583,19363,18,287,4629,3089
81,Ezreal,7,4,False,4,11,10,199523,14227,17,211,1055,3042
43,Karma,4,14,False,2,13,17,35829,10117,15,31,2065,3853
245,Ekko,11,4,True,7,1,17,181376,12409,15,47,3152,2421
111,Nautilus,4,14,True,3,6,10,18021,7425,13,34,3860,3190
21,MissFortune,4,7,True,13,5,6,168602,15932,15,225,3140,6672
150,Gnar,4,12,True,2,4,15,112449,10432,15,151,0,3091
3,Galio,4,14,True,7,6,10,108122,11651,15,168,3020,3152
203,Kindred,4,14,False,2,6,5,108894,8710,14,171,1055,3508
498,Xayah,4,7,False,1,7,7,82356,7470,11,131,6671,3035
876,Lillia,11,4,False,8,5,7,177078,11570,14,19,3041,3108
25,Morgana,3,4,False,5,9,9,24536,8008,11,20,6653,3020
82,Mordekaiser,12,4,False,6,5,4,110890,10182,15,182,3108,3111
23,Tryndamere,14,4,True,7,8,12,224835,15454,18,229,3031,6631
245,Ekko,11,4,True,7,12,11,174320,14252,18,32,3152,1058
268,Azir,4,12,True,2,13,15,227085,14963,18,230,1056,2421
350,Yuumi,14,3,True,1,11,50,22917,13985,18,6,3504,2065
51,Caitlyn,4,7,True,39,10,8,429604,29959,18,280,3139,6671
876,Lillia,11,4,False,8,10,15,246251,15701,18,43,6655,3165
150,Gnar,4,12,False,7,10,17,208052,17499,18,227,3143,3053
202,Jhin,7,4,False,18,10,14,172377,18429,18,193,6676,3031
69,Cassiopeia,4,12,False,12,8,14,246955,18887,18,242,3157,6653
99,Lux,3,4,False,9,18,22,51897,13621,15,33,3020,6655
113,Sejuani,14,4,False,5,9,4,45795,8327,11,85,1056,3041
222,Jinx,7,4,False,4,9,12,83405,8916,12,131,6655,1001
166,Akshan,4,14,False,10,8,2,77345,10024,12,106,1055,3091
27,Singed,4,11,False,7,10,2,88287,8327,12,49,3116,6664
40,Janna,4,14,False,0,10,15,26412,6395,11,16,3853,6655
41,Gangplank,4,3,True,4,6,6,163422,12014,15,174,3508,6673
18,Tristana,7,4,True,23,4,1,218675,18707,16,200,6672,0
887,Gwen,6,11,True,8,4,6,143005,10721,13,16,4633,3158
103,Ahri,14,4,True,2,9,15,24303,7714,12,16,2055,3853
80,Pantheon,4,14,True,7,3,4,96530,10808,14,132,6676,2031
