champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
111,Nautilus,4,14,True,4,8,20,32875,8753,13,41,3860,3190
238,Zed,4,14,True,13,4,10,172180,16598,16,187,6692,3158
85,Kennen,4,12,True,7,2,6,163293,13379,17,223,3152,1058
5,XinZhao,11,4,True,4,4,15,180065,11590,15,19,6630,0
360,Samira,4,7,True,7,7,12,157250,13048,15,192,0,6673
35,Shaco,14,11,False,4,4,10,152688,10707,15,25,6653,4629
58,Renekton,12,4,False,4,6,4,165522,13881,16,234,3067,3047
110,Varus,4,7,False,11,4,4,146176,13607,14,234,1055,3042
517,Sylas,4,14,False,6,9,12,111582,11116,15,154,6656,4629
78,Poppy,4,3,False,0,12,17,25093,6984,11,23,3857,3190
56,Nocturne,14,12,True,2,1,5,49360,5534,10,97,2033,6630
412,Thresh,4,14,True,0,3,6,11085,4092,7,26,3158,3855
245,Ekko,12,4,True,7,3,0,63520,8373,11,117,1056,3020
59,JarvanIV,4,11,True,0,0,5,78675,5595,10,15,6630,1001
29,Twitch,4,3,True,5,1,1,50656,7305,10,136,3006,6671
31,Chogath,12,4,False,1,2,1,65208,5687,10,130,1056,6662
18,Tristana,7,4,False,0,4,2,45710,4681,8,102,1055,6670
76,Nidalee,11,4,False,3,3,2,64183,5213,9,12,1026,2031
238,Zed,4,14,False,3,4,2,44831,5949,10,96,6692,2031
16,Soraka,4,3,False,1,1,3,13822,4056,8,17,2055,3851
48,Trundle,4,11,False,3,8,10,115657,10019,15,13,3211,8001
114,Fiora,12,4,False,7,6,5,118472,12471,16,180,1054,6630
13,Ryze,4,12,False,8,7,7,234317,15271,17,233,6656,3157
555,Pyke,4,14,False,5,12,12,24688,10856,13,36,3857,6693
15,Sivir,1,4,False,6,8,7,219607,15048,16,273,3508,3035
59,JarvanIV,4,11,True,7,8,24,174518,14097,16,54,3179,6630
89,Leona,4,14,True,3,7,20,21495,8534,14,38,3860,3190
85,Kennen,4,12,True,8,4,8,181222,15094,17,251,3157,3152
4,TwistedFate,4,12,True,4,5,10,153803,12991,16,227,6656,3157
360,Samira,4,7,True,19,5,5,213582,16982,16,175,3047,6676
90,Malzahar,12,4,True,2,0,7,113693,8201,13,175,1011,6653
64,LeeSin,4,11,True,4,1,7,120554,7824,11,8,3111,6630
360,Samira,4,7,True,1,2,9,68685,7900,11,177,3047,6673
