champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
79,Gragas,4,14,True,1,3,12,35778,7391,12,36,0,6656
82,Mordekaiser,12,4,True,7,4,4,127127,11401,16,168,1056,4633
35,Shaco,14,11,True,8,4,10,97994,9931,13,8,3006,6029
127,Lissandra,4,12,True,10,2,9,134810,12547,15,194,3165,6655
51,Caitlyn,4,7,True,5,4,6,109891,11112,13,169,1055,3033
104,Graves,4,11,False,0,10,5,154038,7980,13,30,6673,3133
236,Lucian,4,14,False,7,7,2,129336,12014,15,184,3031,2031
37,Sona,7,4,False,2,4,9,25859,7564,12,29,3070,3853
115,Ziggs,12,4,False,6,5,5,102126,9738,12,177,2421,1056
78,Poppy,4,12,False,2,5,3,94051,8249,14,144,2033,3111
127,Lissandra,4,12,False,2,6,6,115525,8645,13,190,3165,2055
126,Jayce,4,12,False,6,8,7,98372,9911,13,156,6692,3158
111,Nautilus,14,4,False,1,6,10,21005,5846,11,45,3860,3190
21,MissFortune,7,4,False,4,6,11,74241,9285,13,145,1001,6695
20,Nunu,11,14,False,6,8,5,135871,9377,12,31,2031,3157
13,Ryze,4,12,True,6,3,9,159619,11942,15,201,3157,6656
78,Poppy,4,12,True,3,5,19,81413,9714,14,138,2033,3001
203,Kindred,11,4,True,24,4,4,271218,18634,16,55,3046,3139
37,Sona,7,4,True,1,4,22,41028,9440,13,92,6617,3853
44,Taric,14,4,True,0,4,24,39685,7656,13,64,0,2065
157,Yasuo,12,4,True,8,6,6,225906,15120,16,209,6035,1018
360,Samira,7,4,True,17,8,9,129921,15161,15,174,1055,3047
42,Corki,4,12,True,4,2,12,147619,11433,16,187,3140,1018
89,Leona,14,4,True,1,2,19,17606,8156,14,35,0,3190
20,Nunu,11,14,True,7,6,16,152014,12028,15,30,4636,3157
235,Senna,4,3,False,2,10,12,44278,8109,13,30,6692,3123
37,Sona,7,4,False,3,8,11,44486,9435,13,94,3222,3853
245,Ekko,11,4,False,10,5,3,133081,12066,14,52,3157,3152
164,Camille,4,12,False,5,8,4,70449,8585,14,119,3078,3074
127,Lissandra,4,12,False,3,6,3,131182,9803,15,219,6655,3916
157,Yasuo,14,4,True,14,5,12,202488,15890,17,191,2421,3123
131,Diana,11,4,True,3,7,15,202096,12963,16,49,3152,3157
98,Shen,4,14,True,3,3,20,29139,9218,14,45,3857,3190
92,Riven,12,4,True,12,7,11,141862,15447,17,192,3071,3123
222,Jinx,4,7,True,5,4,14,167388,13291,16,190,6671,3031
111,Nautilus,14,4,False,4,4,10,23812,8006,13,33,3860,3190
127,Lissandra,4,12,False,4,9,8,125357,10461,15,180,6655,1082
39,Irelia,4,12,False,11,10,9,164775,15275,15,208,6333,2421
202,Jhin,4,7,False,4,6,13,128899,10575,14,188,6695,6671
64,LeeSin,4,11,False,3,8,14,120796,9846,14,51,6630,3053
127,Lissandra,4,12,True,7,2,10,104571,10259,14,158,6655,3165
22,Ashe,4,7,True,9,5,11,58686,9308,12,84,6677,0
107,Rengar,12,4,True,4,3,8,99883,8937,14,150,0,3142
74,Heimerdinger,4,3,True,11,3,12,66515,10148,11,36,3020,3157
254,Vi,11,4,True,5,3,3,130920,8858,14,21,3074,0
37,Sona,4,7,False,1,11,6,11478,5258,9,15,3853,6617
234,Viego,11,4,False,2,5,5,122801,8654,13,37,2031,3111
555,Pyke,12,4,False,8,7,2,27757,9923,11,67,3155,3142
92,Riven,12,4,False,2,4,0,81358,8497,13,158,3133,3076
81,Ezreal,4,12,False,3,9,3,81568,7335,11,146,6632,3042
166,Akshan,12,4,False,13,8,6,150162,14289,16,161,6673,3111
1,Annie,14,4,False,7,9,14,58520,12057,15,26,3853,0
56,Nocturne,11,4,False,5,11,9,240679,13487,16,66,6609,3211
134,Syndra,12,4,False,6,8,9,211245,14316,17,262,3020,4630
202,Jhin,4,3,False,3,7,16,140831,12331,15,192,3094,6671
16,Soraka,4,3,True,0,8,29,19570,9763,15,13,2065,3222
2,Olaf,11,4,True,13,4,11,209672,16147,17,64,3047,3026
127,Lissandra,4,12,True,1,6,11,160055,11700,18,228,4630,3916
236,Lucian,7,4,True,21,9,8,214232,19491,17,220,3031,6671
142,Zoe,14,4,True,7,7,9,127460,12862,17,166,3020,6655
22,Ashe,4,7,False,2,8,11,130943,11236,15,193,6673,3026
39,Irelia,12,4,False,2,6,9,206568,14236,17,265,3047,3153
101,Xerath,4,12,False,7,8,12,198007,15086,16,225,4628,3158
432,Bard,4,3,False,3,7,14,20052,8820,13,24,3853,3107
421,RekSai,4,11,False,13,10,6,186296,15028,16,18,3053,6693
81,Ezreal,1,4,True,14,4,9,231043,17254,17,229,3042,6632
40,Janna,4,14,True,0,5,29,32631,10388,15,27,4643,3853
98,Shen,4,12,True,7,8,18,97857,12298,16,126,1054,3143
127,Lissandra,4,12,True,7,9,16,239510,15929,17,268,3165,3108
121,Khazix,11,4,True,11,2,8,215505,15022,16,63,3047,2421
64,LeeSin,11,4,True,6,0,9,102755,9416,12,12,6630,2031
202,Jhin,7,4,True,4,0,6,67736,7562,11,143,6671,1055
127,Lissandra,4,12,True,3,1,7,65881,8186,12,122,6655,1082
267,Nami,4,3,True,1,1,12,9077,5374,9,10,4005,3853
166,Akshan,4,14,True,6,0,11,92751,8486,13,150,6671,1055
236,Lucian,4,7,False,1,3,0,64160,6795,10,161,1036,6671
56,Nocturne,11,4,False,0,4,0,81767,5172,10,8,2031,0
34,Anivia,12,4,False,1,7,0,71289,6819,12,151,1056,3070
114,Fiora,4,12,False,0,3,0,47317,6160,11,140,1054,3078
44,Taric,4,14,False,0,3,1,20188,4526,9,33,3067,1033
91,Talon,14,4,False,4,2,2,132601,10861,14,213,6630,3035
412,Thresh,14,4,False,0,10,7,4593,5656,8,11,3066,3864
115,Ziggs,4,12,False,2,4,4,136408,8534,12,157,3040,3020
28,Evelynn,11,4,False,4,2,3,137773,9871,13,13,3152,3089
122,Darius,6,4,False,4,5,3,96131,9974,14,186,3742,6631
51,Caitlyn,4,7,True,8,2,9,181815,15058,14,235,1055,6673
111,Nautilus,4,14,True,4,3,14,20687,7694,11,28,3860,3111
166,Akshan,12,4,True,4,3,6,113506,10087,14,157,6673,3047
64,LeeSin,4,11,True,6,2,11,144236,11600,14,26,6630,3026
127,Lissandra,4,12,True,1,4,10,119987,9593,14,190,3916,1056
5,XinZhao,4,11,False,1,5,1,85745,5947,10,15,3111,6630
134,Syndra,4,12,False,2,4,1,70864,6804,11,150,2033,3020
523,Aphelios,1,4,False,2,4,2,83035,8112,11,158,2031,3035
89,Leona,4,14,False,0,5,1,12848,4255,9,25,3859,3190
516,Ornn,4,12,False,1,4,2,72865,6361,12,126,3076,2031
235,Senna,1,4,True,2,2,9,46726,7697,10,94,3009,6672
127,Lissandra,4,12,True,3,0,11,89421,8636,13,152,2033,3102
876,Lillia,4,12,True,1,2,4,77991,6850,11,126,2420,3158
37,Sona,4,3,True,2,2,9,12074,5663,9,5,3853,6617
2,Olaf,11,6,True,14,0,6,135972,11848,13,20,3047,3053
