champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
143,Zyra,4,14,True,4,2,6,25047,6401,9,17,2055,3020
203,Kindred,11,4,True,2,1,2,92911,6657,10,8,1001,2031
119,Draven,4,7,True,7,2,4,74593,9754,10,134,1055,6676
13,Ryze,4,12,True,3,1,3,74561,8130,11,131,6656,3070
164,Camille,4,12,True,2,1,1,49326,5551,11,110,1055,6632
3,Galio,12,4,False,1,3,4,31020,4415,9,72,3152,1001
102,Shyvana,11,4,False,1,4,2,66373,4819,9,8,2422,3115
16,Soraka,21,4,False,2,4,2,11225,4232,7,6,3851,6617
67,Vayne,7,4,False,2,5,2,36275,4930,8,92,1055,3006
24,Jax,4,12,False,1,2,0,38650,4452,10,95,3057,1055
245,Ekko,4,11,True,14,1,4,133361,11710,14,19,3111,3152
134,Syndra,4,12,True,3,4,7,105461,9349,13,191,1056,6655
202,Jhin,4,1,True,2,5,2,78627,7284,11,159,2031,6671
67,Vayne,12,4,True,8,6,3,95501,10776,14,154,3006,6673
497,Rakan,14,4,True,0,2,8,15700,5095,10,30,3190,3860
89,Leona,14,4,False,0,4,6,18936,4763,10,25,3111,3857
20,Nunu,4,11,False,6,5,3,93588,7303,11,16,4630,3152
145,Kaisa,4,7,False,7,4,2,87718,9423,13,191,0,3134
126,Jayce,4,12,False,1,8,5,70162,7078,12,114,3133,1036
13,Ryze,4,12,False,4,6,3,110532,8573,13,171,6656,2033
246,Qiyana,4,14,True,1,3,4,44791,5751,10,111,0,6693
82,Mordekaiser,11,6,True,5,0,2,91549,7342,11,19,4633,2031
164,Camille,12,14,True,7,0,2,50311,7600,10,85,6632,0
157,Yasuo,4,3,True,2,1,3,33830,5141,9,84,1055,2031
201,Braum,4,14,True,0,0,6,10153,3932,8,23,3855,2055
39,Irelia,4,14,False,2,3,1,60847,5443,10,121,2033,1053
245,Ekko,4,11,False,1,2,0,79854,5004,10,23,3020,3152
78,Poppy,12,4,False,0,6,0,28637,3317,8,59,3047,2033
16,Soraka,21,4,False,0,3,1,9557,3501,7,1,1001,3853
236,Lucian,4,7,False,1,1,0,46540,5484,8,119,6671,2031
85,Kennen,12,4,False,1,5,4,59239,6613,12,112,3108,3020
202,Jhin,3,4,False,2,4,3,61299,6911,11,128,2031,6671
120,Hecarim,11,6,False,6,2,2,148795,10021,14,48,6632,1028
82,Mordekaiser,14,4,False,6,4,3,96974,8409,13,150,1056,3047
12,Alistar,4,14,False,2,4,3,12082,5306,8,34,3859,3190
92,Riven,4,12,True,8,2,1,86902,9387,14,134,2031,6630
497,Rakan,4,14,True,0,4,10,17558,5127,10,31,3860,2065
517,Sylas,4,12,True,4,5,5,71864,7517,13,136,6656,2031
104,Graves,4,11,True,3,4,7,109685,8106,12,43,6692,3036
18,Tristana,4,7,True,4,3,8,96599,10217,12,168,1055,3046
18,Tristana,4,7,False,3,5,4,102331,8191,12,179,6672,3006
555,Pyke,14,4,False,2,6,8,14214,5729,10,25,3855,6691
517,Sylas,4,12,False,2,4,4,88373,7255,12,130,3191,3108
35,Shaco,11,14,False,7,5,2,111703,9189,12,33,3134,2031
223,TahmKench,4,12,False,1,4,2,62863,7463,12,147,1054,6662
157,Yasuo,4,3,True,9,1,9,151911,12616,14,178,2421,3133
777,Yone,4,12,True,6,3,4,123922,11058,14,174,6673,0
30,Karthus,4,11,True,5,3,7,123284,9064,13,26,6653,3916
39,Irelia,12,4,True,2,3,3,105568,8714,14,157,3153,3047
25,Morgana,3,4,True,2,5,13,22365,7421,11,9,3853,3157
24,Jax,12,4,True,8,0,2,75048,9325,12,123,2031,3078
120,Hecarim,6,11,True,9,3,10,138435,9965,13,18,6632,2031
12,Alistar,4,14,True,1,1,10,17210,5073,9,30,0,3190
22,Ashe,7,4,True,2,2,2,60685,6878,11,130,3091,2003
38,Kassadin,4,12,True,4,3,6,89928,7918,12,136,6656,2031
26,Zilean,14,4,False,2,1,5,30196,6013,11,35,3853,2031
245,Ekko,4,11,False,3,6,2,84151,6461,10,23,3152,2031
157,Yasuo,4,3,False,1,5,3,66441,6439,10,137,1054,6673
131,Diana,12,4,False,1,7,2,50966,5542,10,88,1056,2424
266,Aatrox,4,12,False,2,5,0,64331,7279,12,142,1054,6630
203,Kindred,4,7,True,1,0,0,24064,3961,7,92,1055,3057
111,Nautilus,12,4,True,0,2,4,11334,2834,8,39,1054,6660
555,Pyke,4,14,True,0,1,1,6143,2160,5,15,3854,2003
9,Fiddlesticks,11,4,True,2,3,2,43912,3591,7,8,1001,2055
126,Jayce,4,12,True,3,0,0,35742,4484,8,90,6692,0
2,Olaf,4,11,False,1,1,2,57325,3972,8,9,0,2422
74,Heimerdinger,12,4,False,0,0,0,32685,3532,9,91,1056,3802
147,Seraphine,21,4,False,1,0,0,19221,2753,7,46,3850,1001
157,Yasuo,4,3,False,0,2,0,0,1542,1,0,1055,2003
68,Rumble,12,4,False,4,3,0,36236,4449,9,76,1056,3145
8,Vladimir,14,4,True,11,2,6,200931,14851,17,211,3152,3041
523,Aphelios,4,7,True,3,3,12,177994,12235,14,172,6673,3085
39,Irelia,12,4,True,9,3,8,188670,15060,16,228,3051,3153
427,Ivern,11,4,True,1,0,22,337460,10084,15,22,6617,3117
432,Bard,3,4,True,5,1,16,28908,9442,14,20,3853,4643
240,Kled,14,12,False,2,5,3,159105,11524,15,217,3748,6630
119,Draven,4,7,False,4,8,0,144880,10547,13,183,3508,6676
203,Kindred,11,4,False,2,5,3,175408,9485,14,60,6672,1001
350,Yuumi,14,3,False,0,5,6,13113,6300,12,9,3853,6617
13,Ryze,4,12,False,1,6,4,245558,12311,16,268,6656,3089
85,Kennen,14,4,False,4,7,7,51016,7110,12,91,2031,3152
86,Garen,12,14,False,2,9,2,82924,7327,12,135,6631,3006
104,Graves,4,11,False,8,7,1,136542,10432,14,48,3047,3036
523,Aphelios,4,7,False,2,13,0,72022,7051,11,125,6673,3006
