champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
39,Irelia,4,12,True,13,7,3,127197,12499,13,164,3153,3047
101,Xerath,4,21,True,4,3,10,45026,7830,10,29,3853,6655
91,Talon,14,4,True,7,4,5,64057,8739,12,125,6630,2031
76,Nidalee,11,4,True,4,3,11,93887,7842,12,8,3020,2031
523,Aphelios,7,4,True,6,3,11,91201,9977,12,153,6676,6671
887,Gwen,12,14,False,5,8,3,75682,9208,11,130,1055,3047
64,LeeSin,11,4,False,6,4,4,102587,8727,12,19,3047,3142
202,Jhin,4,7,False,2,8,5,41908,5700,9,86,0,6671
234,Viego,3,4,False,5,7,3,68108,7578,12,137,1055,2031
412,Thresh,4,14,False,2,7,10,19914,5678,10,35,3855,3117
238,Zed,4,14,True,20,12,6,168107,17630,18,178,3142,6691
101,Xerath,14,4,True,3,10,18,85337,11173,16,73,3853,1082
114,Fiora,4,12,True,11,6,8,190653,17484,18,242,6630,3074
245,Ekko,11,4,True,6,8,15,274108,15027,18,44,1052,3152
81,Ezreal,7,4,True,12,6,10,187170,16282,18,181,6632,3077
523,Aphelios,4,7,False,6,11,9,177081,13681,16,237,6673,2421
432,Bard,4,14,False,6,9,24,45957,10640,16,42,3011,3190
122,Darius,4,6,False,10,9,8,165725,14507,17,214,3047,3078
157,Yasuo,4,3,False,4,13,10,198952,12258,17,208,1054,3006
76,Nidalee,4,11,False,15,10,14,221977,17106,18,64,3020,4636
201,Braum,4,14,True,4,1,18,23385,7922,12,29,2055,3857
81,Ezreal,4,3,True,8,2,8,122804,12579,14,208,6632,3042
147,Seraphine,4,12,True,3,4,10,92341,9538,14,175,6653,4629
164,Camille,14,12,True,2,3,9,95158,9770,15,182,1055,3158
245,Ekko,4,11,True,10,4,10,188048,12687,15,34,3020,3152
57,Maokai,4,14,False,1,9,3,24236,5282,9,10,3853,6653
236,Lucian,4,7,False,3,7,2,84497,9193,12,151,0,6671
78,Poppy,12,4,False,0,4,4,83486,7245,13,145,3068,2033
11,MasterYi,11,14,False,6,4,1,184046,10050,14,63,6672,3044
34,Anivia,14,4,False,4,3,4,96343,8839,14,181,6656,3003
141,Kayn,11,4,False,9,4,6,132610,11766,14,66,6630,1028
6,Urgot,4,12,False,0,7,1,85305,7473,13,171,3047,2031
235,Senna,3,4,False,3,6,3,37457,6959,11,25,3864,6672
105,Fizz,14,4,False,4,7,9,72289,8930,13,144,1082,3157
202,Jhin,4,7,False,2,5,5,93102,8480,12,169,3036,6671
51,Caitlyn,4,7,True,4,5,6,141431,11000,13,197,1055,2421
238,Zed,4,14,True,5,6,4,89260,8946,13,144,6692,6676
102,Shyvana,11,4,True,7,2,7,221716,11846,15,26,3115,2031
164,Camille,4,12,True,9,2,4,117724,11682,15,213,3026,0
98,Shen,4,14,True,4,3,16,26172,8862,12,46,3857,3190
17,Teemo,4,32,True,10,12,27,58181,13280,18,38,6653,3916
412,Thresh,4,32,True,4,7,36,31121,12284,18,25,2051,3068
25,Morgana,32,4,True,8,8,29,41494,13521,18,37,6653,3157
498,Xayah,1,4,True,18,11,21,109992,16056,17,81,3006,6671
99,Lux,4,3,True,7,7,33,58919,13310,18,39,3020,6653
223,TahmKench,4,32,False,12,10,16,38950,12937,17,35,2051,3076
201,Braum,4,32,False,7,8,32,17969,12587,18,11,3190,3083
235,Senna,3,4,False,7,9,24,104122,13693,18,76,6672,3006
350,Yuumi,3,14,False,7,8,25,21865,12722,17,5,6617,3040
8,Vladimir,4,32,False,12,12,22,88062,14500,17,73,3135,3152
39,Irelia,12,4,False,0,7,2,72332,5837,11,139,3153,0
18,Tristana,4,7,False,3,2,4,85860,8453,11,156,6672,3006
89,Leona,4,14,False,0,3,7,15568,4564,9,29,3190,3860
8,Vladimir,6,4,False,4,2,1,75002,7202,12,139,3152,2031
234,Viego,11,4,False,1,5,2,87738,6043,11,38,6632,3047
523,Aphelios,4,1,True,4,2,8,130030,10795,13,189,6673,6676
245,Ekko,4,14,True,8,1,2,128833,11437,14,172,3100,3152
164,Camille,14,12,True,1,1,5,55937,7353,12,108,2031,1055
121,Khazix,11,4,True,3,2,3,117407,8336,12,26,6691,3158
44,Taric,4,14,True,3,2,8,33065,6925,10,34,3860,3190
6,Urgot,4,12,True,4,2,1,60320,7045,11,105,1055,3181
236,Lucian,14,4,True,4,3,2,42546,5981,9,108,1055,1042
267,Nami,4,3,True,0,1,9,5464,4443,9,7,3851,3158
9,Fiddlesticks,4,11,True,6,0,4,74997,7239,11,30,6653,3108
246,Qiyana,14,4,True,5,5,5,55284,7374,11,97,6029,2031
28,Evelynn,4,11,False,5,3,2,85062,6806,11,12,1082,3020
523,Aphelios,4,7,False,1,4,3,38318,4819,9,98,6670,3006
92,Riven,12,4,False,1,3,0,61186,5508,11,134,6630,2031
43,Karma,4,14,False,1,3,3,8270,3890,8,10,3851,1001
18,Tristana,4,3,False,3,7,3,53081,6435,10,88,6671,3086
53,Blitzcrank,4,14,False,2,5,5,15836,5484,9,28,3117,3190
517,Sylas,4,12,False,1,7,7,46815,5933,11,101,2033,6656
131,Diana,4,11,False,2,4,8,108786,7635,11,22,3916,3108
110,Varus,4,7,False,4,3,1,68545,6739,11,136,3042,3035
19,Warwick,4,21,False,5,4,3,55522,7671,12,124,1055,6632
223,TahmKench,14,12,True,5,3,6,50925,6627,12,90,3105,8001
69,Cassiopeia,12,4,True,1,2,7,65996,6834,12,146,3070,2031
30,Karthus,4,3,True,2,4,14,28821,6325,10,25,0,3853
