champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
875,Sett,12,4,True,8,6,11,133186,13185,16,153,3047,3082
90,Malzahar,4,12,True,6,2,20,206652,14198,18,236,3041,2420
51,Caitlyn,7,4,True,15,6,10,192263,15674,16,164,3031,3006
64,LeeSin,4,11,True,11,3,13,206630,15419,18,69,3211,6630
40,Janna,3,4,True,0,7,26,15446,8636,14,18,2065,3011
267,Nami,14,4,False,8,7,13,31336,10027,12,25,3158,4005
15,Sivir,4,7,False,5,8,12,194159,13659,15,201,6673,3033
82,Mordekaiser,12,4,False,2,9,5,127117,9453,13,119,4633,3157
23,Tryndamere,4,6,False,4,10,3,198294,13645,16,199,6671,3006
131,Diana,11,4,False,5,6,4,222176,11766,15,52,3152,3157
59,JarvanIV,4,11,False,3,10,14,176666,11737,15,22,3047,3053
164,Camille,12,4,False,5,3,4,147648,12259,16,234,6632,2421
147,Seraphine,4,1,False,4,8,5,152246,11002,13,217,2421,3067
246,Qiyana,14,4,False,7,5,4,134536,11237,15,176,6694,6693
37,Sona,4,7,False,2,8,9,27512,7550,13,32,2055,3853
69,Cassiopeia,3,4,True,9,7,10,106370,11982,14,150,4633,3157
41,Gangplank,4,12,True,4,5,9,212893,13845,17,249,6695,6632
35,Shaco,14,11,True,4,3,9,223735,12807,17,58,6631,3142
166,Akshan,3,4,True,13,2,3,208205,18003,17,266,3031,6676
89,Leona,14,4,True,4,4,15,24304,9220,13,37,3001,3190
28,Evelynn,11,4,False,6,7,9,173983,11363,14,19,3152,1026
119,Draven,7,4,False,6,11,9,193739,14284,15,213,3033,1018
58,Renekton,12,4,False,5,10,4,178589,13118,15,228,3053,3077
555,Pyke,14,4,False,5,8,8,23509,10800,12,38,3179,3158
238,Zed,4,14,False,5,4,4,179679,12301,16,223,6692,6609
141,Kayn,4,11,True,17,5,15,251501,17803,18,68,3158,6630
8,Vladimir,4,14,True,3,5,4,156788,11306,16,212,3089,3152
111,Nautilus,4,3,True,1,7,5,30278,7114,13,43,3067,3157
202,Jhin,7,4,True,8,6,20,156783,13673,17,182,6671,2031
223,TahmKench,12,4,True,11,4,14,117622,14578,16,152,6662,3193
526,Rell,3,4,True,2,5,18,20291,9705,14,35,3190,3860
98,Shen,4,14,True,2,5,12,107709,11329,16,180,3143,3047
81,Ezreal,1,4,True,11,4,7,156716,14389,16,222,3077,3078
76,Nidalee,4,11,True,9,4,17,192261,13795,17,38,1082,3157
39,Irelia,4,12,True,12,5,8,213453,16014,17,230,6630,3026
164,Camille,12,4,False,3,5,11,91251,10908,15,170,6632,3748
133,Quinn,4,14,False,9,9,7,102599,12685,16,178,3036,3033
163,Taliyah,4,11,False,6,5,9,159044,11878,15,38,3157,3916
89,Leona,14,4,False,0,12,8,25232,6287,12,31,3860,3190
67,Vayne,7,4,False,4,5,2,143389,11365,14,224,3036,6672
89,Leona,4,14,False,0,6,5,12641,4331,9,23,1001,3190
13,Ryze,12,4,False,2,8,5,70299,6796,11,139,6656,3916
119,Draven,7,4,False,2,6,3,69840,7311,11,140,6673,3035
876,Lillia,4,11,False,1,7,4,83895,5894,10,28,4633,0
150,Gnar,4,12,False,4,6,4,53309,8090,11,124,3044,6632
164,Camille,12,4,True,4,2,8,67858,8727,13,129,6632,2420
245,Ekko,4,11,True,12,0,9,163458,11230,13,13,3020,3152
236,Lucian,3,4,True,6,2,10,98684,10401,12,164,6671,3508
517,Sylas,4,12,True,9,3,12,102124,10799,13,133,3041,6656
412,Thresh,4,14,True,2,2,17,18171,6430,10,26,3857,3190
350,Yuumi,14,3,True,3,6,28,16772,10453,15,3,2055,3853
236,Lucian,4,7,True,11,7,9,191153,15084,16,211,3508,6671
91,Talon,14,4,True,2,12,7,101201,9348,14,145,3053,6630
36,DrMundo,12,4,True,5,7,12,134662,11348,16,158,6662,3065
245,Ekko,11,4,True,17,7,9,236550,17806,16,45,3020,3157
267,Nami,14,4,False,1,11,17,16225,7930,13,14,4005,3853
28,Evelynn,4,11,False,12,5,11,163079,13631,16,10,3020,3157
85,Kennen,14,4,False,13,4,10,165526,14979,17,211,3157,3152
164,Camille,12,14,False,6,7,15,115886,11486,16,171,2420,3044
523,Aphelios,7,4,False,7,11,9,149014,13905,15,203,6673,2420
121,Khazix,4,11,False,4,3,10,157158,9589,14,32,6630,1036
23,Tryndamere,6,4,False,4,6,3,139134,10716,14,177,1054,1038
37,Sona,4,7,False,2,8,14,12286,7043,12,7,3853,6617
119,Draven,3,4,False,10,11,3,100770,12330,12,167,3006,1036
61,Orianna,12,4,False,4,5,10,113997,10607,14,181,6655,3040
104,Graves,4,14,True,11,4,6,137635,13243,15,186,3036,2422
350,Yuumi,3,7,True,1,5,20,17305,7434,13,8,3853,3011
