champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
555,Pyke,12,4,True,24,3,6,80460,19886,16,131,3156,3142
68,Rumble,4,11,True,9,5,13,196884,12527,15,47,3152,3157
51,Caitlyn,7,4,True,4,8,26,121805,12521,15,163,6691,1037
412,Thresh,4,14,True,2,7,29,19112,8425,13,28,4643,3857
266,Aatrox,12,4,True,7,0,12,157058,13215,16,206,6630,6333
254,Vi,11,4,False,8,9,6,175295,12955,14,34,1029,3074
41,Gangplank,12,4,False,0,7,5,122201,8825,14,182,3033,1036
111,Nautilus,4,14,False,2,6,13,27474,7876,13,48,3860,3111
115,Ziggs,4,12,False,9,13,3,105325,11343,13,169,4628,6653
245,Ekko,14,4,False,4,11,6,109002,10050,14,180,2033,3100
164,Camille,14,12,False,3,9,8,51876,7944,12,126,1036,6632
412,Thresh,4,14,False,0,8,10,18680,5250,10,30,0,3857
81,Ezreal,7,4,False,10,6,2,124576,12133,13,174,3158,3042
13,Ryze,12,4,False,2,10,7,98149,8337,13,163,3110,6656
234,Viego,11,4,False,1,7,7,97837,7230,12,24,6632,3047
236,Lucian,7,4,True,2,3,10,126519,10866,14,201,1055,3133
64,LeeSin,4,11,True,17,2,15,152139,14640,15,25,2055,3026
238,Zed,14,4,True,13,4,11,90182,12244,14,140,3142,6691
82,Mordekaiser,12,4,True,8,2,18,137700,13778,15,154,3115,3116
201,Braum,4,14,True,0,5,25,24421,6945,13,25,3190,0
126,Jayce,12,4,True,21,2,7,139778,14227,14,156,2031,3042
235,Senna,4,7,True,4,4,14,65162,8516,12,84,1083,6672
105,Fizz,14,4,True,10,1,7,59089,9421,13,124,2033,3152
497,Rakan,14,4,True,2,3,24,20535,8000,12,17,3158,6656
30,Karthus,11,3,True,2,3,12,153346,9298,14,50,6653,3157
43,Karma,3,4,False,1,7,8,26636,6501,11,20,2065,3853
58,Renekton,12,4,False,1,5,1,65800,6352,12,132,6630,3047
5,XinZhao,11,4,False,4,7,1,111133,7819,11,34,6630,2031
236,Lucian,7,4,False,5,10,5,80642,10597,11,116,6671,1055
238,Zed,14,4,False,2,10,1,77993,7057,12,139,6692,1033
48,Trundle,11,4,False,6,4,7,136192,11322,14,22,6632,3143
523,Aphelios,7,4,False,2,5,7,111837,9821,14,190,3051,1033
412,Thresh,14,4,False,3,9,7,24789,7244,12,43,3190,8001
41,Gangplank,4,12,False,5,3,6,173350,13214,15,210,3078,1018
115,Ziggs,12,4,False,3,5,7,107685,8988,13,172,3020,2055
121,Khazix,11,4,True,5,2,8,203410,11116,15,35,3142,6692
266,Aatrox,12,4,True,4,7,5,140848,10705,15,188,6630,2055
497,Rakan,14,4,True,1,4,15,21057,7992,12,41,2065,3860
61,Orianna,12,4,True,8,4,4,175739,14077,16,209,3089,3040
202,Jhin,7,4,True,8,2,5,157461,12635,14,215,6671,3031
89,Leona,14,4,False,2,6,3,16100,6411,10,46,3190,3857
360,Samira,4,7,False,0,9,0,74963,7582,11,170,6673,2031
876,Lillia,4,11,False,4,9,3,137656,8725,12,30,6653,3157
23,Tryndamere,6,4,False,3,5,2,118303,9538,14,154,1054,6672
518,Neeko,12,4,False,1,3,2,94337,7781,12,172,3020,2033
59,JarvanIV,4,11,True,6,3,19,108285,11004,14,18,3111,0
82,Mordekaiser,4,14,True,12,1,6,100260,11406,14,142,3111,2420
875,Sett,12,4,True,5,1,4,106926,9976,15,153,6630,1055
432,Bard,3,4,True,5,1,17,23579,8071,13,5,2055,3190
202,Jhin,4,1,True,4,4,11,122658,10834,13,174,3031,6671
76,Nidalee,4,11,True,12,7,11,186449,16083,16,26,1058,3157
875,Sett,12,4,True,4,3,7,153115,13193,16,203,6630,3077
74,Heimerdinger,4,3,True,6,12,11,77233,11383,13,62,3191,2421
89,Leona,12,4,True,2,4,21,33988,9281,15,68,3109,3158
119,Draven,7,4,True,17,6,6,267086,20151,16,220,3031,6673
92,Riven,4,14,False,8,7,7,166662,13883,16,232,6630,2421
147,Seraphine,4,7,False,3,9,18,77128,9133,13,37,3158,3853
30,Karthus,4,11,False,6,10,11,245671,13361,17,78,6653,3102
20,Nunu,14,4,False,8,10,12,114160,12164,15,135,1056,6656
202,Jhin,4,3,False,7,5,14,174726,12617,15,212,6695,6671
245,Ekko,4,11,True,10,0,8,199642,11524,15,14,0,3152
240,Kled,12,4,True,6,2,7,98931,9671,13,144,3053,6630
80,Pantheon,4,14,True,9,4,10,89087,10348,14,134,3134,6631
12,Alistar,14,4,True,1,4,22,16552,6721,11,26,2055,3859
360,Samira,4,7,True,10,3,5,131298,12723,13,189,6676,3036
40,Janna,4,7,False,4,7,3,14680,6639,10,12,3158,3853
246,Qiyana,14,4,False,1,8,5,89090,7344,12,151,3134,2031
68,Rumble,4,12,False,1,8,2,76380,6760,12,148,3152,0
74,Heimerdinger,4,12,False,4,7,0,81965,7748,12,154,3020,6653
106,Volibear,11,4,False,3,6,5,95926,7631,11,18,6632,3044
51,Caitlyn,7,4,True,4,2,6,77725,8323,11,150,6691,3134
497,Rakan,14,4,True,5,2,7,18567,6329,10,29,4642,3860
245,Ekko,12,4,True,4,2,3,111290,8293,13,154,3152,1052
427,Ivern,11,4,True,2,0,12,197725,7084,11,4,2055,6617
164,Camille,14,12,True,6,2,3,72133,9488,13,138,2031,3074
203,Kindred,4,14,False,3,4,3,67864,7394,12,145,1055,3508
99,Lux,14,4,False,2,4,3,14731,5390,9,15,3802,3158
134,Syndra,12,4,False,2,4,2,67595,7005,10,132,1056,6653
875,Sett,12,4,False,1,4,2,70327,6167,12,128,6630,2055
64,LeeSin,4,11,False,0,5,4,85883,5711,10,16,3047,2031
235,Senna,3,4,False,1,3,4,34349,6422,11,34,2055,3190
121,Khazix,4,11,False,1,9,2,51091,5150,9,13,6691,0
777,Yone,14,4,False,5,10,2,106902,8738,13,133,3006,6673
41,Gangplank,4,12,False,2,4,3,136353,9646,14,186,3078,3134
67,Vayne,7,4,False,1,9,3,79912,6897,11,143,1055,6673
58,Renekton,12,4,True,2,3,5,101630,8723,14,154,6630,3044
145,Kaisa,4,7,True,9,3,6,122093,10930,13,155,6676,3006
53,Blitzcrank,4,14,True,1,0,10,16245,6323,12,23,3190,3860
35,Shaco,11,14,True,10,3,6,124714,12323,14,42,0,2031
68,Rumble,4,14,True,13,1,7,133920,12792,15,161,3152,3157
3,Galio,4,14,True,1,3,11,27373,6652,11,34,3117,1028
245,Ekko,4,11,True,8,4,7,177934,11856,14,17,3152,3020
142,Zoe,4,12,True,7,1,10,106405,10686,14,159,3041,2033
62,MonkeyKing,12,4,True,11,4,4,123661,14779,15,170,3123,6632
110,Varus,4,7,True,2,4,11,101326,9663,13,148,3004,3142
164,Camille,12,4,False,6,5,2,99287,10620,14,164,6632,2055
432,Bard,14,4,False,0,6,6,16679,5203,10,28,3190,3859
1,Annie,14,4,False,4,5,3,64411,8432,13,144,1056,3152
59,JarvanIV,4,11,False,4,9,8,102676,8404,12,24,0,6630
30,Karthus,4,3,False,2,4,6,117480,9278,13,214,1056,0
